gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name	significant
ENSG00000000003.15	3875.21	0.428426	0.0477631	8.96982	2.96986e-19	3.74819e-18	TSPAN6	False
ENSG00000000005.6	3.26499	-0.429159	0.269334	-1.59341	0.111069	0.177648	TNMD	False
ENSG00000000419.13	1835.13	-0.0782699	0.0372055	-2.10372	0.0354031	0.0650973	DPM1	False
ENSG00000000457.14	845.255	0.0883478	0.0431599	2.04699	0.0406591	0.0736032	SCYL3	False
ENSG00000000460.17	210.745	0.781223	0.0654928	11.9284	8.41989e-33	2.8299e-31	C1orf112	False
ENSG00000000938.13	732.677	0.901739	0.124954	7.21655	5.33233e-13	3.8634e-12	FGR	False
ENSG00000000971.16	7895.81	2.62456	0.148519	17.6716	6.94147e-70	1.4345e-67	CFH	True
ENSG00000001036.14	2926.75	-0.11609	0.0480171	-2.41768	0.01562	0.0312322	FUCA2	False
ENSG00000001084.13	2212.17	-0.426756	0.0604258	-7.06248	1.63554e-12	1.13246e-11	GCLC	False
ENSG00000001167.14	2171.88	0.157634	0.0447195	3.52495	0.000423556	0.00113578	NFYA	False
ENSG00000001460.18	959.161	-0.0737802	0.0376355	-1.96039	0.0499502	0.0882693	STPG1	False
ENSG00000001461.17	10159.8	0.00816995	0.0596558	0.136952	0.891069	0.928729	NIPAL3	False
ENSG00000001497.18	2930.5	0.0883071	0.031666	2.78871	0.00529191	0.0116538	LAS1L	False
ENSG00000001561.7	1727.57	-0.130213	0.0609188	-2.13749	0.0325586	0.0603766	ENPP4	False
ENSG00000001617.12	6022.96	0.0341792	0.0902721	0.378624	0.704967	0.792855	SEMA3F	False
ENSG00000001626.16	77.9914	3.1228	0.217504	14.3575	9.56415e-47	7.0589e-45	CFTR	True
ENSG00000001629.10	2836.59	-0.155812	0.0614167	-2.53697	0.0111816	0.0230988	ANKIB1	False
ENSG00000001630.17	106.996	0.207658	0.151193	1.37346	0.16961	0.255325	CYP51A1	False
ENSG00000001631.16	451.232	-0.398995	0.0374087	-10.6658	1.47079e-26	3.21944e-25	KRIT1	False
ENSG00000002016.18	784.677	0.0911767	0.0645836	1.41176	0.15802	0.240316	RAD52	False
ENSG00000002079.14	3.92063	-0.194499	0.155071	-1.25426	0.209748	0.305561	MYH16	False
ENSG00000002330.14	721.609	-0.680426	0.0850178	-8.00333	1.21095e-15	1.1195e-14	BAD	False
ENSG00000002549.12	4932.2	0.522086	0.0735029	7.10294	1.22132e-12	8.56241e-12	LAP3	False
ENSG00000002586.20	5898.65	0.0041148	0.091292	0.0450729	0.964049	0.977094	CD99	False
ENSG00000002586.20_PAR_Y	0						CD99	False
ENSG00000002587.10	274.021	1.33707	0.140681	9.50423	2.01533e-21	3.02585e-20	HS3ST1	True
ENSG00000002726.21	333.935	-1.64125	0.267247	-6.14131	8.18461e-10	4.4349e-09	AOC1	True
ENSG00000002745.13	12.1869	2.1533	0.251235	8.57084	1.0273e-17	1.13887e-16	WNT16	True
ENSG00000002746.15	24.6845	-0.276825	0.251046	-1.10269	0.270163	0.377629	HECW1	False
ENSG00000002822.15	20.4541	0.0705544	0.124413	0.567098	0.570648	0.677612	MAD1L1	False
ENSG00000002834.18	11958.5	0.692171	0.0534002	12.962	2.0103e-38	9.84339e-37	LASP1	False
ENSG00000002919.15	1780.79	-0.469788	0.0455716	-10.3088	6.43048e-25	1.25733e-23	SNX11	False
ENSG00000002933.9	1196.39	1.2938	0.17168	7.53613	4.84121e-14	3.87624e-13	TMEM176A	True
ENSG00000003056.8	4474.92	0.179941	0.0854719	2.10526	0.0352683	0.0648732	M6PR	False
ENSG00000003096.14	135.314	2.29614	0.186342	12.3222	6.8828e-35	2.66952e-33	KLHL13	True
ENSG00000003137.8	278.051	-0.7263	0.178255	-4.0745	4.61132e-05	0.000142307	CYP26B1	False
ENSG00000003147.19	1138.31	-0.245881	0.0467097	-5.26402	1.40936e-07	5.99603e-07	ICA1	False
ENSG00000003249.15	1226.67	0.424478	0.0787365	5.39112	7.00197e-08	3.07671e-07	DBNDD1	False
ENSG00000003393.15	1341.52	-0.0395716	0.0427875	-0.924841	0.355049	0.470124	ALS2	False
ENSG00000003400.15	1389.93	0.00540728	0.0702119	0.0770137	0.938613	0.961323	CASP10	False
ENSG00000003402.20	9810.68	0.602649	0.0559075	10.7794	4.3068e-27	9.8555e-26	CFLAR	False
ENSG00000003436.16	604.099	0.235633	0.122534	1.923	0.0544798	0.0953042	TFPI	False
ENSG00000003509.16	714.151	0.0704511	0.0373337	1.88706	0.0591517	0.102394	NDUFAF7	False
