metric	value
gene_intersection	48522
same_sign_log2FC	46433
direction_fraction	95.69%
sig_in_both	6229
raw_only_sig	356
v8_pseudo_only_sig	54
raw_sig_total	6585
v8_pseudo_sig_total	6283
