auc_pre	auc_flip_pre	auc_post	auc_flip_post	dial	batch_identifiability_post	interpretation	cancer	classifier	n_samples	n_genes	semi_synthetic	seconds	is_label_flip
0.9939978816052724	0.9939978816052724	0.0060021183947275	0.9939978816052724	0.4939978816052724		batch_entangled	THCA	LogReg_l2	392	3000	False	1.87	True
0.9956160997999294	0.9956160997999294	0.1765001577803154	0.8234998422196845	0.3234998422196845		batch_entangled	THCA	RandomForest	392	3000	False	2.72	True
0.7814972996286988	0.7814972996286988	0.4867105649440591	0.5132894350559409	0.0132894350559409		no_signal	THCA	XGBoost	392	3000	False	5.99	False
0.9943509473931976	0.9943509473931976	0.0078262916323408	0.9921737083676592	0.4921737083676591		batch_entangled	THCA	LogReg_elasticnet	392	3000	False	11.27	True
0.7498158690785499	0.7498158690785499	0.1661897961400727	0.8338102038599273	0.3338102038599273		batch_entangled	THCA	GradientBoosting	392	3000	False	17.33	True
0.6952976088569309	0.6952976088569309	0.6411112062242006	0.6411112062242006	0.0		ambiguous	SKCM	LogReg_l2	212	3000	False	1.26	False
0.5292710532823527	0.5292710532823527	0.5005397667827046	0.5005397667827046	0.0		no_signal	SKCM	RandomForest	212	3000	False	2.06	False
0.4890803039814339	0.510919696018566	0.5586167703399342	0.5586167703399342	0.0		no_signal	SKCM	XGBoost	212	3000	False	7.46	False
0.6736441629096996	0.6736441629096996	0.6256862409404782	0.6256862409404782	0.0		ambiguous	SKCM	LogReg_elasticnet	212	3000	False	8.51	False
0.4911685118606022	0.5088314881393978	0.5954990108238696	0.5954990108238696	0.0		no_signal	SKCM	GradientBoosting	212	3000	False	12.26	False
0.9818181818181818	0.9818181818181818	0.9836829836829836	0.9836829836829836	0.0		true_biology	LGG	LogReg_l2	142	3000	False	4.19	False
0.9815850815850816	0.9815850815850816	0.9847902097902098	0.9847902097902098	0.0		true_biology	LGG	RandomForest	142	3000	False	5.71	False
0.972027972027972	0.972027972027972	0.9732350982350982	0.9732350982350982	0.0		true_biology	LGG	XGBoost	142	3000	False	7.51	False
0.9824592074592076	0.9824592074592076	0.9848484848484848	0.9848484848484848	0.0		true_biology	LGG	LogReg_elasticnet	142	3000	False	16.53	False
0.9635198135198136	0.9635198135198136	0.968997668997669	0.968997668997669	0.0		true_biology	LGG	GradientBoosting	142	3000	False	18.55	False
0.9557114339580792	0.9557114339580792	0.9494146858403264	0.9494146858403264	0.0		true_biology	LUAD	LogReg_l2	236	3000	False	1.59	False
0.3898044434586522	0.6101955565413478	0.8341493844959521	0.8341493844959521	0.0		true_biology	LUAD	RandomForest	236	3000	False	2.13	False
0.5732857996623661	0.5732857996623661	0.5392454684361638	0.5392454684361638	0.0		no_signal	LUAD	XGBoost	236	3000	False	4.46	False
0.9560730964967408	0.9560730964967408	0.955465293950932	0.955465293950932	0.0		true_biology	LUAD	LogReg_elasticnet	236	3000	False	9.3	False
0.5	0.5	0.4598121757667616	0.5401878242332384	0.0401878242332384		no_signal	LUAD	GradientBoosting	236	3000	False	12.45	False
0.9735021783315204	0.9735021783315204	0.9748310920938404	0.9748310920938404	0.0		true_biology	COAD	LogReg_l2	372	3000	False	1.36	False
0.4584794571156351	0.5415205428843648	0.952438987845036	0.952438987845036	0.0		true_biology	COAD	RandomForest	372	3000	False	2.77	False
0.5530508079099341	0.5530508079099341	0.9545920875495972	0.9545920875495972	0.0		true_biology	COAD	XGBoost	372	3000	False	10.0	False
0.9752743302302548	0.9752743302302548	0.9749580746957828	0.9749580746957828	0.0		true_biology	COAD	LogReg_elasticnet	372	3000	False	13.77	False
0.6025252861454914	0.6025252861454914	0.8939142255513883	0.8939142255513883	0.0		true_biology	COAD	GradientBoosting	372	3000	False	22.82	False
