cancer	label	n_patients
SKCM	BRAF	204
SKCM	NRAS	110
LGG	IDHmut	414
LGG	IDHwt	95
LUAD	KRAS	139
LUAD	EGFR	51
COAD	KRAS	150
COAD	BRAF	49
