cancer	cohort_type	cohort_id	total_downloaded	label_universe	usable_intersection	class_A	class_B	n_shared_genes	status	download_error	semi_synthetic	n_samples	n_class_A	n_class_B
THCA	tcga	TCGA-THCA	351	330	330	276	54	51711	included		False	351	276	54
THCA	geo	GSE27155	99	41	41	28	13	12548	included		False	99	28	13
THCA	geo	GSE33630	105	0	0	0	0	0	excluded_no_labels		False	105	0	0
THCA	geo	GSE29265	49	0	0	0	0	0	excluded_no_labels		False	49	0	0
SKCM	tcga	TCGA-SKCM	260	314	172	117	55	59427	included		False	260	117	55
SKCM	geo	GSE65904	214	0	0	0	0	0	excluded_no_labels		False	214	0	0
SKCM	geo	GSE22153	57	39	39	27	12	18141	included		False	57	27	12
LGG	tcga	TCGA-LGG	260	509	257	213	44	59427	included		False	260	213	44
LGG	geo	GSE16011	284	0	0	0	0	0	excluded_no_labels		False	284	0	0
LGG	geo	GSE4271	0	0	0	0	0	0	excluded_download_fail	HTTP Error 404: Not Found	False	0	0	0
LUAD	tcga	TCGA-LUAD	260	190	87	69	18	59427	included		False	260	69	18
LUAD	geo	GSE31210	246	147	147	20	127	20848	included		False	246	20	127
LUAD	geo	GSE72094	0	0	0	0	0	0	excluded_no_labels	probe->symbol mapping failed (GPL15048)	False	0	0	0
COAD	tcga	TCGA-COAD	260	199	102	25	77	59427	included		False	260	25	77
COAD	geo	GSE39582	585	268	268	51	217	20848	included		False	585	51	217
COAD	geo	GSE17536	177	0	0	0	0	0	excluded_no_labels		False	177	0	0
