cancer	best_classifier	dial	auc_pre	auc_post	interpretation	n_samples	n_cohorts	cohort_ids	n_class_A	n_class_B
THCA	LogReg_l2	0.494	0.994	0.006	batch_entangled	392	2	TCGA-THCA,GSE27155	321	71
SKCM	LogReg_l2	0.0	0.6953	0.6411	ambiguous	212	2	TCGA-SKCM,GSE22153	145	67
LGG	LogReg_l2	0.0	0.9818	0.9837	true_biology	142	4	TCGA-LGG-TSS-HT,TCGA-LGG-TSS-DU,TCGA-LGG-TSS-S9,TCGA-LGG-TSS-DB	116	26
LUAD	GradientBoosting	0.0402	0.5	0.4598	no_signal	236	2	TCGA-LUAD,GSE31210	91	145
COAD	LogReg_l2	0.0	0.9735	0.9748	true_biology	372	2	TCGA-COAD,GSE39582	76	296
