perturbation	dial_high	dial_low	auc_post_high	auc_post_low	total_label_changes	n_THCA_BE_lost	n_nonTHCA_BE_gained	list_of_changed_rows
baseline_v5.1b	0.3	0.1	0.7	0.6	0	0	0	
dial_high-0.05	0.25	0.1	0.7	0.6	0	0	0	
dial_high+0.05	0.35	0.1	0.7	0.6	2	2	0	THCA/RandomForest:batch_entangled->partial_batch; THCA/GradientBoosting:batch_entangled->partial_batch
dial_low-0.05	0.3	0.05	0.7	0.6	0	0	0	
dial_low+0.05	0.3	0.15	0.7	0.6	0	0	0	
auc_post_high-0.05	0.3	0.1	0.65	0.6	0	0	0	
auc_post_high+0.05	0.3	0.1	0.75	0.6	0	0	0	
auc_post_low-0.05	0.3	0.1	0.7	0.55	2	0	0	SKCM/XGBoost:no_signal->ambiguous; SKCM/GradientBoosting:no_signal->ambiguous
auc_post_low+0.05	0.3	0.1	0.7	0.65	2	0	0	SKCM/LogReg_l2:ambiguous->no_signal; SKCM/LogReg_elasticnet:ambiguous->no_signal
