gene	wilcoxon_z	pval	padj	delta_mean_scaled	mean_ATC_scaled	mean_PTC_scaled	pct_in_ATC	pct_in_PTC
CLU	96.799614	0.0	0.0	-2.513907471857472	-0.2638849009542343	2.2500225709032375	0.1751740139211137	0.9583574991300313
TG	96.79549	0.0	0.0	-2.454071030968016	-0.4302706281612287	2.0238004028067875	0.004971826317533974	0.9345783551792135
NPC2	92.1982	0.0	0.0	-2.0035570127140723	-0.2510374851502586	1.7525195275638135	0.31024196221412	0.942814058693887
C2orf40	88.63652	0.0	0.0	-2.5055307086350616	-0.3339473694028096	2.171583339232252	0.04441498176997017	0.8654448439856165
EPCAM	87.84197	0.0	0.0	-2.4852220919054004	-0.25481792145023274	2.230404170455168	0.07524030493868081	0.8998956037582647
SERPINA1	87.15486	0.0	0.0	-2.1179570465288045	-0.48078275406294624	1.6371742924658583	0.030162412993039442	0.859993040250551
CD24	85.53477	0.0	0.0	-2.172233434835688	-0.2771193372812425	1.8951140975544458	0.07275439177991382	0.8841201716738197
CST6	84.35137	0.0	0.0	-2.372071922731369	-0.3377828350184773	2.034289087712892	0.03662578720583361	0.829834125971465
CLDN3	83.97765	0.0	0.0	-2.3665446045632184	-0.24593247395758808	2.1206121306056303	0.07954922108054359	0.8544252406913351
NEAT1	83.226555	0.0	0.0	-1.553854660764985	-0.5652095134314271	0.9886451473335579	0.2686443486907524	0.9429300545180374
TACSTD2	83.01819	0.0	0.0	-2.3324499533989123	-0.30279119750182937	2.0296587558970827	0.035299966854491216	0.8249623013571511
MGST1	82.26829	0.0	0.0	-2.07736581939215	0.039964464089852034	2.1173302834820023	0.2533974146503149	0.9087112863936898
TSC22D1	80.99495	0.0	0.0	-1.8560142002657727	-0.015158619792019688	1.840855580473753	0.42243950944647	0.8928198584850945
CLDN4	80.86356	0.0	0.0	-2.151006714653134	-0.09032671561846646	2.060679999034668	0.13639376864434868	0.8789003595870548
TSHR	80.76437	0.0	0.0	-2.24887241285467	-0.32971815392825954	1.9191542589264106	0.011766655618163738	0.788075629277346
PAX8	80.446396	0.0	0.0	-2.1452511334556066	-0.22350493770767108	1.9217461957479356	0.09231024196221412	0.8219464099292425
APOE	79.26741	0.0	0.0	-1.6993255396649343	-0.1003639018985905	1.5989616377663438	0.34057010275107724	0.8725205892587867
CPE	79.193474	0.0	0.0	-2.060044356027065	-0.26314884193726346	1.7968955140898015	0.10689426582698044	0.8037350655376406
APOC1	77.569374	0.0	0.0	-1.6096346576821392	-0.38581138461196596	1.2238232730701732	0.05601590984421611	0.7675443684027375
GPX3	77.11039	0.0	0.0	-1.8924189750403884	-0.3096388003826612	1.5827801746577272	0.0760689426582698	0.7777520009279666
LMO3	76.60963	0.0	0.0	-2.242253799614553	-0.3045749207896539	1.9376788788248993	0.009115014915478952	0.7471291033522793
GSN	75.12265	0.0	0.0	-1.3073646280507216	0.036860208084485827	1.3442248361352074	0.4937023533311236	0.8885280129915323
PDLIM1	75.11961	0.0	0.0	-1.9056224785162126	-0.09743234268334282	1.8081901358328698	0.2678157109711634	0.8323860341027723
ZCCHC12	74.9291	0.0	0.0	-2.2242334070795375	-0.31063893455276037	1.9135944725267773	0.002154458070931389	0.7269458299501218
KRT7	72.479256	0.0	0.0	-1.8712255085140108	-0.12782570331678575	1.743399805197225	0.12180974477958237	0.7896995708154506
PLPP3	71.31449	0.0	0.0	-1.923598649610934	-0.08238316331209497	1.841215486298839	0.25754060324825984	0.784943742025287
WFDC2	70.286415	0.0	0.0	-1.9612131082162607	-0.12628912855143426	1.8349239796648265	0.09081869406695393	0.7536248695046979
SLC34A2	69.89079	0.0	0.0	-2.149652418465918	-0.28675321879274496	1.8628991996731732	0.008452104739807755	0.6822874376522445
S100A1	68.80053	0.0	0.0	-2.0229357585922103	-0.272792479501538	1.7501432790906724	0.02535631421942327	0.6805475002899896
S100A13	65.96432	0.0	0.0	-1.2903439911808932	0.5864545894977133	1.8767985806786065	0.6421942326814717	0.8940958125507482
KRT18	65.17762	0.0	0.0	-1.454816423764998	0.4057850096502769	1.860601433415275	0.4736493205170699	0.8778563971697019
LRRK2	64.53381	0.0	0.0	-1.6907417498302688	-0.18499677893414973	1.505744970896119	0.14650314882333443	0.7065305648996636
MAL2	62.185654	0.0	0.0	-1.748189680330937	-0.16571953947097035	1.5824701408599666	0.021710308253231687	0.6315972624985501
S100A14	62.03244	0.0	0.0	-1.7840580063199345	-0.12815112019750713	1.6559068861224273	0.02717931720251906	0.6418048950237791
