gene	wilcoxon_z	pval	padj	delta_mean_scaled	mean_ATC_scaled	mean_PTC_scaled	pct_in_ATC	pct_in_PTC
COL1A2	89.81925	0.0	0.0	2.737094792852026	2.4269101254726957	-0.3101846673793304	0.8626118660921445	0.03769864284885744
COL6A2	89.091446	0.0	0.0	2.4754657679533976	2.1784923624676478	-0.29697340548574985	0.8728869738150481	0.04953021691219116
COL6A1	84.829575	0.0	0.0	2.400137078641645	2.1332986964970413	-0.26683838214460387	0.83659264169705	0.05927386614081893
COL3A1	82.870056	0.0	0.0	2.607585840714468	2.292055023866741	-0.3155308168477271	0.7948293006297646	0.020763252522909174
COL1A1	81.460884	0.0	0.0	2.5067611886027255	2.331620976362984	-0.17514021223974155	0.8293006297646669	0.20113675907667325
RPS16	80.086784	0.0	0.0	1.6343680943472583	1.2186844770030232	-0.4156836173442351	0.8735498839907193	0.3455515601438348
MAP1B	79.96758	0.0	0.0	2.518754432119156	2.2989938915738595	-0.2197605405452967	0.7968180311567783	0.05904187449251827
VCAN	79.871284	0.0	0.0	2.0566382793059375	1.7114689270935686	-0.345169352212369	0.776433543254889	0.014731469667091985
CTHRC1	77.70675	0.0	0.0	2.4442989718132524	2.2184776890366695	-0.22582128277658278	0.7754391779913822	0.056605962185361326
GNG11	77.14791	0.0	0.0	2.384820975200742	2.106480842401462	-0.2783401327992798	0.7572091481604243	0.022387194061013804
COL6A3	76.04364	0.0	0.0	2.356349788942029	2.0641948229647284	-0.2921549659773005	0.740139211136891	0.008931678459575456
COL5A2	75.00507	0.0	0.0	2.3990721559724024	2.137893834318289	-0.26117832165411325	0.7353331123632748	0.022155202412713144
BGN	73.79277	0.0	0.0	2.4845689156882105	2.1937412020583595	-0.2908277136298511	0.7184289028836592	0.008931678459575456
RAI14	72.30763	0.0	0.0	2.267619824863446	2.1663293279216176	-0.10129049694182837	0.7575406032482599	0.11773576151258555
COL5A1	71.16569	0.0	0.0	2.40891849701727	2.140474949152195	-0.2684435478650753	0.6912495856811403	0.00405985384526157
PLTP	70.600494	0.0	0.0	1.9083424187890383	1.6646432706748528	-0.24369914811418553	0.7245608220086178	0.09082473030970885
SERPINH1	70.403145	0.0	0.0	1.7223594641284516	1.6859002130866791	-0.03645925104177251	0.8067616837918462	0.30356107180141517
LRP1	70.22024	0.0	0.0	2.035546996274877	1.8739363792597619	-0.1616106170151148	0.7625124295657938	0.20473262962533348
SPARC	70.11113	0.0	0.0	1.8019881414434442	2.1115079232442073	0.3095197818007632	0.8583029499502818	0.6505045818350539
CDK6	69.92083	0.0	0.0	2.1277401826365447	1.7211155523346262	-0.4066246303019185	0.6690420947961552	0.03410277230019719
POSTN	69.65786	0.0	0.0	2.286546010758614	2.027015102615603	-0.25953090814301066	0.6776599270798807	0.005103816262614546
FSTL1	68.71773	0.0	0.0	2.0516677492261017	1.9314983455763548	-0.12016940364974703	0.7316871063970832	0.14163090128755365
TRIO	68.57256	0.0	0.0	2.161992956158481	1.9424667774423743	-0.21952617871610675	0.7091481604242625	0.08815682635425125
FBLN1	67.30949	0.0	0.0	2.2778511977807456	2.0344604453433077	-0.24339075243743796	0.6612529002320185	0.0197192901055562
TGFBI	67.20433	0.0	0.0	1.4029548000346594	1.0335163766668376	-0.3694384233678219	0.6876035797149487	0.07145342767660365
CCT2	66.46729	0.0	0.0	1.738793108746061	1.54867121406693	-0.19012189467913093	0.7903546569439841	0.3620229671731818
PLAC9	63.67306	0.0	0.0	2.290751939391987	2.0392150858670317	-0.25153685352495525	0.6206496519721578	0.0069597494490198355
NR2F2	63.63438	0.0	0.0	2.167506147248614	2.0180443090183733	-0.14946183823024078	0.6672190918130594	0.09523257162742141
SGCE	62.481125	0.0	0.0	2.0385095033896756	2.2008806829315226	0.16237117954184704	0.7608551541266159	0.33198004871824616
SLC35E3	61.464252	0.0	0.0	1.980456519243051	1.7638936621163095	-0.2165628571267414	0.6702021876035797	0.1478946757916715
IFITM3	60.662285	0.0	0.0	1.398866839280035	1.2367316445922352	-0.16213519468779977	0.7565462379847531	0.32200440784131773
PCOLCE	60.529026	0.0	0.0	1.8768363904999554	1.6484276416719454	-0.22840874882801	0.6037454424925423	0.029346943510033637
MMP2	60.06831	0.0	0.0	1.6023953246825338	1.476433042517167	-0.12596228216536684	0.6544580709313887	0.11216796195336969
CALD1	59.83302	0.0	0.0	1.0402625436577686	1.877080111616491	0.8368175679587224	0.890288365926417	0.7938754204848626
