sample	HLA_I	HLA_II	group	TLS_score	is_PTC_HT	HLA_I_z	HLA_II_z	TLS_score_z	AP_TLS_composite
NG_10	-0.4000398147269609	-0.6148096567178175	PTC	-0.8762143811991786	False	-0.4108602134379837	-0.6372045729555228	-0.9459978989819029	-0.6646875617918031
NG_11	-0.8377661681735593	-0.9062715510713382	PTC	-0.9127206705143914	False	-0.8604263225695179	-0.939283191752469	-0.9854116243587366	-0.9283737128935745
NG_12	-0.8994524700889167	-0.8078329449098147	PTC	-0.9448220021747776	False	-0.923781134361044	-0.8372588833895312	-1.0200695721816033	-0.9270365299773928
NG_16	-1.5954571841783638	-1.245108841915858	PTC	-0.9165415506179978	False	-1.6386115958735055	-1.2904628924205173	-0.989536807222463	-1.3062037651721619
NG_18	-0.8362452605178761	-0.9700068953586666	PTC	-1.023344789951483	False	-0.8588642769404847	-1.0053401451445014	-1.1048460764856105	-0.9896834995235322
NG_21	-0.587887839818925	-0.6376520570720088	PTC	-0.7268687786825437	False	-0.6037892091077401	-0.660879025371699	-0.7847581051205333	-0.6831421131999909
NG_22	-0.8587188992875179	-0.95063450286255	PTC	-1.0261449284654467	False	-0.8819457895342382	-0.985262098300679	-1.1078692237973937	-0.9916923705441038
NG_32	-1.4170395945975645	-1.300911328951076	PTC	-0.8087878722793148	False	-1.4553681130059553	-1.3482980281126886	-0.8732014040344225	-1.225622515051022
NG_35	0.79767497673226	-0.063194335700721	PTC	0.3685540237050979	False	0.819250732375332	-0.06549623815012326	0.3979064251481334	0.38388697312444736
TH_1	0.8159902832279374	1.2686820193622288	PTC_HT	1.178911486878562	True	0.838061436857665	1.314894741048448	1.2728024255279093	1.1419195344780075
TH_14	0.7816645952710506	0.953307789938544	PTC_HT	1.1787730022069802	True	0.8028072972415923	0.98803276192158	1.2726529116518894	1.0211643236050205
TH_2	1.2263431364155122	1.196232693233902	PTC_HT	1.05251052868244	True	1.2595136389606116	1.2398063923016676	1.1363346347126282	1.2118848886583022
TH_20	1.297783726981551	1.2411419650203888	PTC_HT	0.9682954399492124	True	1.332886576372184	1.2863515189726138	1.0454124828812739	1.221550192742024
TH_29	1.2858833019060196	1.2330708013443452	PTC_HT	1.2717546443587049	True	1.3206642649758227	1.277986356930587	1.373039803269711	1.3238968083920402
TH_31	0.126192130823407	0.0581158187480791	PTC_HT	-0.057318495714632	True	0.1296054140003195	0.06023273229803406	-0.06188345875427854	0.042651562514691675
TH_4	0.1693731468802543	0.4469556027831736	PTC_HT	-0.171801845847276	True	0.1739544033270301	0.46323630556155676	-0.18548449865694602	0.15056873674388027
TH_8	1.1277577822853035	1.1235148145107998	PTC_HT	1.118084461160207	True	1.1582617181550727	1.164439708724586	1.2071310102149921	1.1766108123648837
TH_9	-0.1960558491336092	-0.0245993903816159	PTC_HT	0.3276817285058368	True	-0.20135882743516084	-0.025495442161341874	0.35377897618735243	0.04230823553028324
