representation	model	AUROC_mean_valid_sources	AUROC_std	n_valid_sources
biophys (24)	logreg	0.45236599988929416	0.07012210345483964	3
biophys (24)	rf	0.555787898977979	0.10787498294143132	3
ESM2-35M (480)	logreg	0.6317357284861161	0.11515429699908783	3
ESM2-35M (480)	rf	0.7371176342849165	0.11337203590100511	3
ESM2-150M (640)	logreg	0.5928729332376096	0.04713680373053677	3
ESM2-150M (640)	rf	0.7539811181750481	0.15461936590769484	3
ESM2-650M (1280)	logreg	0.6666264520603778	0.14567202836616777	3
ESM2-650M (1280)	rf	0.711052952128778	0.11510080546488714	3
mhcflurry (2)	logreg	0.664532269843381	0.20839125054006377	3
mhcflurry (2)	rf	0.7128258883470786	0.16344162337824278	3
ESM2-150M + mhcflurry	logreg	0.5538299292082915	0.07226888021457156	3
ESM2-150M + mhcflurry	rf	0.7414422878523531	0.13115499878602901	3
ESM2-650M + mhcflurry	logreg	0.6227731454984774	0.16595594721933998	3
ESM2-650M + mhcflurry	rf	0.7341194998624742	0.09907180042917062	3
biophys + mhcflurry	logreg	0.4478041333983911	0.09222952157965135	3
biophys + mhcflurry	rf	0.7323521157575327	0.1309569942494648	3
