feature_set	model	AUROC_mean	AUROC_std	n_sources
esm2_650m	logreg			4
esm2_650m	rf			4
esm2_650m	mlp_2layer			4
esm2_650m_plus_biophys	logreg			4
esm2_650m_plus_biophys	rf			4
esm2_650m_plus_biophys	mlp_2layer			4
