feature_set	model	split	AUROC_mean	AUROC_std
biophys	logreg	LOSO	0.45236599988929416	0.07012210345483964
biophys	rf	LOSO	0.555787898977979	0.10787498294143132
biophys	mlp_2layer	LOSO	0.5078300666116317	0.09877400333158562
esm2_35m	logreg	LOSO	0.6317357284861161	0.11515429699908783
esm2_35m	rf	LOSO	0.7371176342849165	0.11337203590100511
esm2_35m	mlp_2layer	LOSO	0.6806367296622774	0.10512040039401435
esm2_150m	logreg	LOSO	0.5928729332376096	0.04713680373053677
esm2_150m	rf	LOSO	0.7539811181750481	0.15461936590769484
esm2_150m	mlp_2layer	LOSO	0.6667547258820586	0.1017413767712004
esm2_150m_plus_biophys	logreg	LOSO	0.5867191570209811	0.050187539330411535
esm2_150m_plus_biophys	rf	LOSO	0.6882048314798069	0.14568297665260993
esm2_150m_plus_biophys	mlp_2layer	LOSO	0.6917868851181875	0.15399303206952467
