mhc_class	n	n_pos	n_neg	val_rate	median_pep_len	mean_pep_len	n_unique_alleles
I	71160	4571	35377	0.114	9.0	11.844578821544086	163
II	11984	6866	5182	0.57	20.0	18.963152164810317	272
