fold	best_val_auc	ckpt
1	1.0	clam_fold1_best.pt
2	1.0	clam_fold2_best.pt
3	0.9642857142857143	clam_fold3_best.pt
4	1.0	clam_fold4_best.pt
5	0.7916666666666667	clam_fold5_best.pt
