algorithm	algorithm_family	claim_track	neo_strict_AUPRC	neo_strict_AUROC	patients_evaluated	primary_disposition
BAR-Neo_confidence	production_reliability_ranker	strict no-overlap production	0.8569028593475232	0.9799403632420712	1.0	Best strict no-overlap production reliability baseline; compare separately from 2,715-board GA
BAR-Neo	production_reliability_ranker	strict no-overlap production	0.8253183819027167	0.9788560585524532	1.0	Best strict no-overlap production reliability baseline; compare separately from 2,715-board GA
RF_biophys	neoimmune_stack_baseline	strict no-overlap production	0.7519070984866539	0.6852226834508903	1.0	Comparator or component
MHCflurry_2.0_presentation	neoimmune_stack_baseline	strict no-overlap production	0.7258412375505164	0.6206976717812631	1.0	Comparator or component
KG_GA_evolved_controller	new_ga_controller	production/experiment-priority + strict no-overlap production	0.6240744847718823	0.8970862875818413	82.0	Production GA/RL branch in NeoImmune stack; strong but not clean-track allowed
