sample	n_cells	r_spearman	p	histology
ATC13	3308	1.0	0.0	ATC
ATC12	1296	0.999	0.0	ATC
ATC08	213	0.991	2.0242741740272593e-185	ATC
ATC11	174	0.977	2.10456130456807e-117	ATC
ATC10	67	0.968	1.3749263448674297e-40	ATC
NORM03	136	0.942	1.2270438825035748e-65	NORM
PTC06	417	0.924	9.026032916468039e-176	PTC
NORM07	123	0.921	2.3848513098430726e-51	NORM
PTC03	86	0.916	4.2590113046744975e-35	PTC
PTC07	2727	0.903	0.0	PTC
ATC15	56	0.898	5.997458403727855e-21	ATC
NORM19	261	0.893	7.830515071090516e-92	NORM
PTC05	629	0.877	6.859942579005634e-202	PTC
PTC04	1197	0.832	3.4546349661696246e-308	PTC
NORM18	123	0.819	6.540168693118242e-31	NORM
PTC01	3565	0.783	0.0	PTC
ATC09	897	0.329	3.857237500523445e-24	ATC
