primary_vulnerability_label	n	fraction_of_braf	claim_boundary
CD8-excluded myeloid/CAF-high	34	0.12408759124087591	BRAF-only heterogeneity; mutation status is not dismissed, but it is insufficient to determine vulnerability state.
Drug-delivery barrier-high	91	0.33211678832116787	BRAF-only heterogeneity; mutation status is not dismissed, but it is insufficient to determine vulnerability state.
HLA-low immune-invisible	18	0.06569343065693431	BRAF-only heterogeneity; mutation status is not dismissed, but it is insufficient to determine vulnerability state.
HLA-visible inflamed	19	0.06934306569343066	BRAF-only heterogeneity; mutation status is not dismissed, but it is insufficient to determine vulnerability state.
Mixed/Other	85	0.3102189781021898	BRAF-only heterogeneity; mutation status is not dismissed, but it is insufficient to determine vulnerability state.
RAI-low dedifferentiated	18	0.06569343065693431	BRAF-only heterogeneity; mutation status is not dismissed, but it is insufficient to determine vulnerability state.
RAI-readable differentiated	9	0.032846715328467155	BRAF-only heterogeneity; mutation status is not dismissed, but it is insufficient to determine vulnerability state.
