metric	n_slides	n_conditions	spearman_condition_order_rho	spearman_p	kruskal_p	normal_mean	PTC_mean	locally_advanced_PTC_mean	ATC_mean	claim_boundary	spearman_fdr_q	kruskal_fdr_q
fraction_CD8-excluded / myeloid-CAF niche	16	4	-0.7761140001162655	0.0004084679791109782	0.024207564350127653	0.15171102230990713	0.08063490841041156	0.07842075802009435	0.04219246634431555	Exploratory slide-level trend only; n=4 slides per condition and no clinical-response claim.	0.011845571394218367	0.2074645048850714
delivery_high_neighbor_cd8_low_fraction	16	4	-0.7154800938571823	0.001831833707077388	0.03079382403474287	0.8293786833645085	0.7119199249880971	0.7270763027072727	0.36365774684013463	Exploratory slide-level trend only; n=4 slides per condition and no clinical-response claim.	0.026561588752622125	0.2074645048850714
hla_low_tumor_neighbor_cd8_high_fraction	16	4	-0.6163470783010434	0.01100309591640575	0.06636970454646493	0.8023809523809524	0.392319530028808	0.582517006802721	0.13653920942940906	Exploratory slide-level trend only; n=4 slides per condition and no clinical-response claim.	0.09261467515700807	0.24059017898093538
same_niche_z	16	4	0.6063390625908325	0.012774437952690768	0.03269718004601045	11.488657876132356	25.4587512071326	30.162471339817824	26.292778983367135	Exploratory slide-level trend only; n=4 slides per condition and no clinical-response claim.	0.09261467515700807	0.2074645048850714
mean_cytotoxic_t_score	16	4	-0.5699587188353825	0.02116498444579391	0.09472471627837747	1.3638640355972953e-09	2.187707617117651e-09	-8.785768773881096e-09	-6.955312853440532e-09	Exploratory slide-level trend only; n=4 slides per condition and no clinical-response claim.	0.10229742482133723	0.27470167720729466
hla_low_tumor_neighbor_barrier_high_fraction	16	4	-0.5699587188353825	0.02116498444579391	0.05699436716111791	0.20214248273325353	0.15306614710620514	0.17952977170086465	0.10568820924991525	Exploratory slide-level trend only; n=4 slides per condition and no clinical-response claim.	0.10229742482133723	0.24059017898093538
delivery_high_neighbor_barrier_high_fraction	16	4	0.5335783750799326	0.03328463554337424	0.03576974222156404	0.28978218865965283	0.3763802034497496	0.3657215449826412	0.37539101391565505	Exploratory slide-level trend only; n=4 slides per condition and no clinical-response claim.	0.12703363576735596	0.2074645048850714
barrier_high_minus_low_cd8_neighbor_fraction	16	4	0.5291868854099868	0.035043761590994746	0.023768280074260288	0.010766201601237924	0.035394106386633026	-0.000761693017127793	0.17776430532122459	Exploratory slide-level trend only; n=4 slides per condition and no clinical-response claim.	0.12703363576735596	0.2074645048850714
fraction_HLA-low invisible tumor niche	16	4	0.5093248125762992	0.04389216719315027	0.061661548513760184	0.008283753746404126	0.0262952158612932	0.016719367682119825	0.036225502188552305	Exploratory slide-level trend only; n=4 slides per condition and no clinical-response claim.	0.14143031651126198	0.24059017898093538
fraction_Mixed/Other	16	4	0.47294446882084934	0.06429378290389041	0.31414765798464256	0.3427147368699801	0.4217971757998221	0.42623077850396923	0.446205852588094	Exploratory slide-level trend only; n=4 slides per condition and no clinical-response claim.	0.15222923027517918	0.4794885306081387
