score	n_paired_patients	mean_before	mean_after	mean_after_minus_before	wilcoxon_p	claim_boundary	fdr_q
rai8_z_mean	2	-0.13588591705774813	-0.9391005811811244	-0.8032146641233762		Before/after RAI public samples are observational and not a controlled perturbation experiment.	
rai6_z_mean	2	-0.05737888356022269	-0.856329392491687	-0.7989505089314644		Before/after RAI public samples are observational and not a controlled perturbation experiment.	
SLC5A5	2	5.7709793395	5.7201121315000005	-0.05086720800000011		Before/after RAI public samples are observational and not a controlled perturbation experiment.	
TG	2	10.75387871575	9.843032628500001	-0.9108460872499995		Before/after RAI public samples are observational and not a controlled perturbation experiment.	
TPO	2	9.71551339875	7.3674990035	-2.34801439525		Before/after RAI public samples are observational and not a controlled perturbation experiment.	
TSHR	2	9.32052997625	8.204062039	-1.1164679372500004		Before/after RAI public samples are observational and not a controlled perturbation experiment.	
PAX8	2	9.23261864825	7.989024937	-1.2435937112499995		Before/after RAI public samples are observational and not a controlled perturbation experiment.	
NKX2-1	2	7.63469270475	7.2385653055	-0.39612739925000007		Before/after RAI public samples are observational and not a controlled perturbation experiment.	
FOXE1	2	7.56225743825	6.2015136535	-1.3607437847499995		Before/after RAI public samples are observational and not a controlled perturbation experiment.	
DIO1	2	5.174378859	4.7850435815	-0.38933527749999985		Before/after RAI public samples are observational and not a controlled perturbation experiment.	
