contrast	axis_label	expected_direction	n_datasets	datasets	median_effect_cohens_d	min_effect	max_effect	n_direction_match	direction_match_fraction	n_strong_or_moderate	stouffer_signed_z_expected_direction	stouffer_one_sided_p_expected_direction	claim_boundary	stouffer_fdr_q	support_summary
ATC_vs_PTC	RAI differentiation	down	2	GSE29265,GSE33630	-2.9454429516120997	-4.252460957945046	-1.6384249452791535	2	1.0	2	5.302810744588995	5.701656290765929e-08	Cross-cohort direction consistency supports reproducibility of expression axes, not therapy response.	9.69281569430208e-08	consistent_strong
ATC_vs_normal	RAI differentiation	down	3	GSE29265,GSE33630,GSE65144	-3.098284522141603	-5.841216903566064	-2.383796184385778	3	1.0	3	7.366775313376413	8.740236596254831e-14	Cross-cohort direction consistency supports reproducibility of expression axes, not therapy response.	1.4858402213633212e-12	consistent_strong
PTC_vs_normal	RAI differentiation	down	3	GSE29265,GSE33630,GSE53157	-1.921266112906552	-2.3622248494374896	-1.0699592860862686	3	1.0	2	6.58836211136273	2.223524917667036e-11	Cross-cohort direction consistency supports reproducibility of expression axes, not therapy response.	5.399989085762802e-11	consistent_strong
PDTC_vs_PTC	RAI differentiation	down	1	GSE53157	-0.1904049242746229	-0.1904049242746229	-0.1904049242746229	1	1.0	0	0.3119868658408361	0.37752525252525254	Cross-cohort direction consistency supports reproducibility of expression axes, not therapy response.	0.40112058080808083	weak_or_underpowered
ATC_vs_PTC	RAI-restorable proxy	down	2	GSE29265,GSE33630	-1.8963163823041291	-2.7941065892631807	-0.9985261753450776	2	1.0	1	4.082283847777274	2.2297641328510504e-05	Cross-cohort direction consistency supports reproducibility of expression axes, not therapy response.	2.707570732747704e-05	consistent_strong
ATC_vs_normal	RAI-restorable proxy	down	3	GSE29265,GSE33630,GSE65144	-2.385451803986844	-4.924400827381545	-2.172659535639625	3	1.0	3	7.123919920074844	5.245000311093557e-13	Cross-cohort direction consistency supports reproducibility of expression axes, not therapy response.	2.972166842953016e-12	consistent_strong
ATC_vs_PTC	Aggressive dedifferentiation	up	2	GSE29265,GSE33630	1.79652226198515	1.1265828069332922	2.466461717037008	2	1.0	2	4.111230861916556	1.9677772195416444e-05	Cross-cohort direction consistency supports reproducibility of expression axes, not therapy response.	2.5732471332467657e-05	consistent_strong
ATC_vs_normal	Aggressive dedifferentiation	up	3	GSE29265,GSE33630,GSE65144	2.429584187785787	2.227677755529842	3.8086160120419086	3	1.0	3	7.037040960465945	9.818257250778584e-13	Cross-cohort direction consistency supports reproducibility of expression axes, not therapy response.	3.735904627093838e-12	consistent_strong
PDTC_vs_PTC	Aggressive dedifferentiation	up	1	GSE53157	-0.4202919940865268	-0.4202919940865268	-0.4202919940865268	0	0.0	0	-0.6275435014018497	0.7348484848484849	Cross-cohort direction consistency supports reproducibility of expression axes, not therapy response.	0.7348484848484849	inconsistent
ATC_vs_PTC	Drug-delivery failure proxy	up	2	GSE29265,GSE33630	2.3617002789284736	1.427057531153482	3.296343026703465	2	1.0	2	5.4424598390534635	2.627490524022658e-08	Cross-cohort direction consistency supports reproducibility of expression axes, not therapy response.	4.9630376564872425e-08	consistent_strong
ATC_vs_normal	Drug-delivery failure proxy	up	3	GSE29265,GSE33630,GSE65144	2.6091927540591184	2.466762509542316	5.915669454775406	3	1.0	3	7.264189845516289	1.876403182424083e-13	Cross-cohort direction consistency supports reproducibility of expression axes, not therapy response.	1.5949427050604705e-12	consistent_strong
ATC_vs_PTC	Proliferation	up	2	GSE29265,GSE33630	2.1326865811014253	1.882230330366216	2.383142831836634	2	1.0	2	4.711230861916557	1.2311255704170076e-06	Cross-cohort direction consistency supports reproducibility of expression axes, not therapy response.	1.744094558090761e-06	consistent_strong
ATC_vs_normal	Proliferation	up	3	GSE29265,GSE33630,GSE65144	2.47939883099933	2.425452549214131	2.5259868008721504	3	1.0	3	6.598975419323423	2.0700447083651854e-11	Cross-cohort direction consistency supports reproducibility of expression axes, not therapy response.	5.399989085762802e-11	consistent_strong
ATC_vs_PTC	Hypoxia	up	2	GSE29265,GSE33630	1.486576350796064	1.006740472732159	1.966412228859969	2	1.0	1	3.952634484058594	3.8647730779959005e-05	Cross-cohort direction consistency supports reproducibility of expression axes, not therapy response.	4.380076155062021e-05	consistent_strong
ATC_vs_normal	Hypoxia	up	3	GSE29265,GSE33630,GSE65144	1.8254684863637067	1.6338774954092707	2.397071373410136	3	1.0	3	6.296715828538337	1.5200893898923883e-10	Cross-cohort direction consistency supports reproducibility of expression axes, not therapy response.	3.230189953521325e-10	consistent_strong
ATC_vs_PTC	Myeloid/CAF barrier	up	2	GSE29265,GSE33630	1.8455097118109764	0.9353476157230348	2.755671807898918	2	1.0	1	4.889301958487895	5.059708495153163e-07	Cross-cohort direction consistency supports reproducibility of expression axes, not therapy response.	7.819549492509434e-07	consistent_strong
ATC_vs_normal	Myeloid/CAF barrier	up	3	GSE29265,GSE33630,GSE65144	4.588553564721147	1.637304265329181	5.259399845822187	3	1.0	3	7.0213344522146635	1.0987954785570113e-12	Cross-cohort direction consistency supports reproducibility of expression axes, not therapy response.	3.735904627093838e-12	consistent_strong
