axis	axis_label	covariate	spearman_rho	p_value	n	fdr_q
rai_differentiation_score	RAI differentiation	tumor_epithelial_score	0.3233008704597168	9.459949818818057e-14	505	2.2703879565163338e-12
rai_differentiation_score	RAI differentiation	age_at_diagnosis	-0.047245619374479964	0.29561780776583846	492	0.39415707702111796
rai_differentiation_score	RAI differentiation	stage_order	-0.1829571788614237	8.068245654105637e-05	459	0.00027662556528362185
hla_i_apm_score	HLA-I/APM	tumor_epithelial_score	-0.14061427881918628	0.0015357854785317247	505	0.0036858851484761397
hla_i_apm_score	HLA-I/APM	age_at_diagnosis	-0.00926190187465346	0.8376340372245251	492	0.8740529084082
hla_i_apm_score	HLA-I/APM	stage_order	0.07548275379600337	0.10629786565265904	459	0.15944679847898857
immune_visibility_score	Immune visibility	tumor_epithelial_score	-0.12854021426987422	0.0038105217795239565	505	0.008313865700779542
immune_visibility_score	Immune visibility	age_at_diagnosis	-0.03929959162509819	0.38439556857327883	492	0.4855522971451944
immune_visibility_score	Immune visibility	stage_order	0.02880240395280088	0.5382139785341137	459	0.6458567742409365
cd8_exclusion_proxy	CD8 exclusion	tumor_epithelial_score	-0.18193027377271892	3.912045794218439e-05	505	0.00015648183176873755
cd8_exclusion_proxy	CD8 exclusion	age_at_diagnosis	0.05243329403864597	0.2456959608410734	492	0.34686488589328013
cd8_exclusion_proxy	CD8 exclusion	stage_order	0.16421638634474783	0.00041143838787172603	459	0.0011900040584222403
myeloid_caf_barrier_score	Myeloid/CAF barrier	tumor_epithelial_score	-0.2090660308266852	2.1477461778918167e-06	505	1.7181969423134534e-05
myeloid_caf_barrier_score	Myeloid/CAF barrier	age_at_diagnosis	-0.003197918219523953	0.943594330021938	492	0.9435943300219382
myeloid_caf_barrier_score	Myeloid/CAF barrier	stage_order	0.08702718313802192	0.06246971539434063	459	0.11532870534339809
drug_delivery_failure_proxy	Drug-delivery failure	tumor_epithelial_score	-0.19748077292201274	7.787835524583048e-06	505	4.672701314749829e-05
drug_delivery_failure_proxy	Drug-delivery failure	age_at_diagnosis	0.019963864471262822	0.6586791020547522	492	0.7252303401765849
drug_delivery_failure_proxy	Drug-delivery failure	stage_order	0.16322890631690068	0.00044625152190834016	459	0.0011900040584222403
aggressive_dedifferentiation_score	Aggressive dediff.	tumor_epithelial_score	-0.25630090959406504	5.118985967992634e-09	505	6.142783161591161e-08
aggressive_dedifferentiation_score	Aggressive dediff.	age_at_diagnosis	-0.09179933682846077	0.04181790600147558	492	0.08363581200295116
aggressive_dedifferentiation_score	Aggressive dediff.	stage_order	0.08322739278181661	0.0748606898327591	459	0.12833261114187275
proliferation_score	Proliferation	tumor_epithelial_score	-0.18608177587945132	2.57510586928283e-05	505	0.00012360508172557584
proliferation_score	Proliferation	age_at_diagnosis	-0.0785668896970627	0.08169110172928977	492	0.13070576276686363
proliferation_score	Proliferation	stage_order	0.02027807674744853	0.6647944784952029	459	0.7252303401765849
