endpoint	axis	axis_label	n_high_or_event	n_low_or_nonevent	effect_cohens_d_high_minus_low	spearman_stage_rho	spearman_p	mannwhitney_p	claim_boundary	fdr_q_mannwhitney	fdr_q_spearman
stage_III_IV_vs_I_II	drug_delivery_failure_proxy	Drug-delivery failure proxy	166	336	0.47051987170630566	0.139038193650718	0.0017925252972808997	2.9841908355788768e-06	Exploratory TCGA clinical association; not a validated prognostic or predictive biomarker.	2.3873526684631014e-05	0.00519110535144298
stage_III_IV_vs_I_II	rai_differentiation_score	RAI differentiation	166	336	-0.4191727658031193	-0.1603965548006931	0.0003083637800516419	6.756806045298945e-06	Exploratory TCGA clinical association; not a validated prognostic or predictive biomarker.	2.702722418119578e-05	0.0024669102404131353
stage_III_IV_vs_I_II	cd8_exclusion_proxy	CD8 exclusion	166	336	0.3806908018756748	0.13796382600952137	0.0019466645067911176	0.00019793969675057008	Exploratory TCGA clinical association; not a validated prognostic or predictive biomarker.	0.0005278391913348536	0.00519110535144298
stage_III_IV_vs_I_II	aggressive_dedifferentiation_score	Aggressive dedifferentiation	166	336	0.2910705329887717	0.058334690064217286	0.19193961579628266	0.007779683868436829	Exploratory TCGA clinical association; not a validated prognostic or predictive biomarker.	0.015559367736873659	0.3838792315925653
stage_III_IV_vs_I_II	myeloid_caf_barrier_score	Myeloid/CAF barrier	166	336	0.2407313906080245	0.05036729026171371	0.2599967142584183	0.015292031872641809	Exploratory TCGA clinical association; not a validated prognostic or predictive biomarker.	0.024467250996226896	0.41599474281346926
stage_III_IV_vs_I_II	hla_i_apm_score	HLA-I/APM	166	336	0.1639558989452689	0.028507846070594953	0.5239517903502384	0.02524142205590223	Exploratory TCGA clinical association; not a validated prognostic or predictive biomarker.	0.03365522940786964	0.6986023871336512
stage_III_IV_vs_I_II	immune_visibility_score	Immune visibility	166	336	0.05423991585768179	-0.015914585279669248	0.7220610601661406	0.1567011636464946	Exploratory TCGA clinical association; not a validated prognostic or predictive biomarker.	0.1790870441674224	0.825212640189875
stage_III_IV_vs_I_II	proliferation_score	Proliferation	166	336	0.10711826028954582	-0.0014256113360366727	0.9745823261955078	0.1835430091856115	Exploratory TCGA clinical association; not a validated prognostic or predictive biomarker.	0.1835430091856115	0.9745823261955078
tumor_present_vs_tumor_free_status	rai_differentiation_score	RAI differentiation	493	1					Exploratory TCGA clinical association; tumor status fields are heterogeneous.		
tumor_present_vs_tumor_free_status	hla_i_apm_score	HLA-I/APM	493	1					Exploratory TCGA clinical association; tumor status fields are heterogeneous.		
tumor_present_vs_tumor_free_status	immune_visibility_score	Immune visibility	493	1					Exploratory TCGA clinical association; tumor status fields are heterogeneous.		
tumor_present_vs_tumor_free_status	cd8_exclusion_proxy	CD8 exclusion	493	1					Exploratory TCGA clinical association; tumor status fields are heterogeneous.		
tumor_present_vs_tumor_free_status	myeloid_caf_barrier_score	Myeloid/CAF barrier	493	1					Exploratory TCGA clinical association; tumor status fields are heterogeneous.		
tumor_present_vs_tumor_free_status	drug_delivery_failure_proxy	Drug-delivery failure proxy	493	1					Exploratory TCGA clinical association; tumor status fields are heterogeneous.		
tumor_present_vs_tumor_free_status	aggressive_dedifferentiation_score	Aggressive dedifferentiation	493	1					Exploratory TCGA clinical association; tumor status fields are heterogeneous.		
tumor_present_vs_tumor_free_status	proliferation_score	Proliferation	493	1					Exploratory TCGA clinical association; tumor status fields are heterogeneous.		
