panel	author_celltype	n_cells	median_score	mean_score	contribution_signal	fraction_of_total
FA12	Malignant cell	7028	0.11302550045847778	0.11844530015985923	794.3432172221819	0.6366144407914998
FA12	Myeloid cell	5064	0.07787347965896513	0.08947610422587608	394.3513009929994	0.3160469272148878
FA12	Fibroblast	623	0.06941710180096333	0.07908002535736246	43.246854422000155	0.03465954192965974
FA12	Endothelial cell	143	0.1106327620348163	0.11453176494149288	15.82048497097873	0.012679090063952654
FA12	B cell	344	0.0	0.04321543849021591	0.0	0.0
FA12	T cell	13819	0.0	0.04976346144491161	0.0	0.0
FA12	NK cell	733	0.0	0.055677887389816605	0.0	0.0
HT13	Myeloid cell	5064	1.7587438423835366	1.6259821481271093	8906.278817830229	0.505453755225938
HT13	T cell	13819	0.5627864741475983	0.6120538113594245	7777.146286245661	0.44137264010358085
HT13	B cell	344	1.5397531507909084	1.396121139800594	529.6750838720725	0.030060395106513954
HT13	Malignant cell	7028	0.030409280989148406	0.08788061323581317	213.716426791735	0.01212894550966559
HT13	NK cell	733	0.24813980068272434	0.2954649650790554	181.88647390043695	0.010322515512733287
HT13	Endothelial cell	143	0.08154020797953902	0.15310055390018626	11.66024974107408	0.0006617485415681168
HT13	Fibroblast	623	0.0	0.0363820068016614	0.0	0.0
MAPK9	T cell	13819	0.2430158117834259	0.25703211834966927	3358.2355030351628	0.5425381269548856
MAPK9	Malignant cell	7028	0.23488892126976957	0.2711639167919729	1650.7993386839405	0.26669409586626336
MAPK9	Myeloid cell	5064	0.16206618950000742	0.17607829210007236	820.7031836280376	0.13258830943483266
MAPK9	Fibroblast	623	0.31089999863702666	0.31434849816065197	193.6906991508676	0.03129160805754059
MAPK9	NK cell	733	0.15260644181888086	0.17597038118785277	111.86052185323967	0.018071572988732486
MAPK9	Endothelial cell	143	0.38161949463235395	0.3820295632177363	54.571587732426615	0.008816286697745314
MAPK9	B cell	344	0.0	0.08513486852959594	0.0	0.0
