author_celltype	histology	n_cells	HT13_median	HT13_mean	HT13_q25	HT13_q75	HT13_iqr	FA12_median	FA12_mean	FA12_q25	FA12_q75	FA12_iqr	MAPK9_median	MAPK9_mean	MAPK9_q25	MAPK9_q75	MAPK9_iqr
B cell	ATC	270	1.4871481260034576	1.3584716240689312	1.1123347983206189	1.7461858748577936	0.6338510765371748	0.0	0.04312502794884414	0.0	0.08796280884978289	0.08796280884978289	0.0	0.09089737797877838	0.0	0.1691487671747155	0.1691487671747155
B cell	PTC	74	1.6082870725641203	1.5334909944972013	1.3971429318341348	1.7649367791073014	0.36779384727316655	0.0	0.04354531478981561	0.0	0.08728825032737514	0.08728825032737514	0.0	0.06410949621501136	0.0	0.11547013358950742	0.11547013358950742
Endothelial cell	ATC	98	0.0	0.07231348218623614	0.0	0.09064190049497142	0.09064190049497142	0.11675867711662559	0.12557616485336712	0.01565397356435423	0.1903715427151041	0.17471756915074987	0.3903182240594672	0.41226279453091413	0.26432172651354324	0.5369078940548879	0.2725861675413447
Endothelial cell	PTC	45	0.2517124511220868	0.32903684341056655	0.17486452397864055	0.44279077775135833	0.2679262537727178	0.08704241257644936	0.09047951624452229	0.0	0.1467070687309504	0.1467070687309504	0.32847882627374453	0.3161883039134822	0.19053822057119432	0.4589383268518365	0.26840010628064215
Fibroblast	ATC	588	0.0	0.03373118218366066	0.0	0.045051385647946786	0.045051385647946786	0.06985779523689759	0.07930857223012847	0.0	0.120193874188488	0.120193874188488	0.3201911894530106	0.31980725098039464	0.18840292431937827	0.45910631303712734	0.27070338871774907
Fibroblast	PTC	35	0.07312709903878359	0.0809158603840737	0.0	0.1400417602938046	0.1400417602938046	0.06916694629472689	0.07524043789489342	0.0	0.12704908661557088	0.12704908661557088	0.2546679181534161	0.22264145078897574	0.0	0.37292929883244147	0.37292929883244147
Malignant cell	ATC	5896	0.022532152025148446	0.044515948082425254	0.0	0.0636531980040509	0.0636531980040509	0.12401356849126607	0.12592592299047622	0.054180153352999395	0.1868840175933567	0.13270386424035732	0.19863586501095415	0.22515321856357426	0.09444895185442599	0.33584358933051317	0.2413946374760872
Malignant cell	PTC	1132	0.21226001034515826	0.31374462891105626	0.09919617009281251	0.5120734508470477	0.4128772807542352	0.07602503258215128	0.07948262152971979	0.03672298208464631	0.11499199041450386	0.07826900832985756	0.5062995383412132	0.5108097443137377	0.3611111410705872	0.6673247595649883	0.30621361849440104
Myeloid cell	ATC	2064	1.4087735082216395	1.3293063862300811	1.0610016043147614	1.6667491171609212	0.6057475128461598	0.08095626173416194	0.09132811450270036	0.0	0.14488036152433048	0.14488036152433048	0.15645959375689572	0.17123214116560762	0.0	0.2557179073242968	0.2557179073242968
Myeloid cell	PTC	3000	1.9101977118101536	1.8300950723122649	1.7314391461909366	2.0304550169169184	0.2990158707259818	0.07611215703708141	0.08820192115542098	0.037202455237727514	0.12970711669814333	0.09250466146041582	0.16493665912058786	0.17941244394298406	0.08148199344326261	0.2571422497819476	0.17566025633868498
NK cell	ATC	499	0.23695931554681077	0.28798174230361323	0.11245151433575229	0.3920469308897112	0.2795954165539589	0.0	0.05904519667524982	0.0	0.11408513725139059	0.11408513725139059	0.15359249773919828	0.1667382799025556	0.0	0.26790916683036403	0.26790916683036403
NK cell	PTC	234	0.2818909470816601	0.31142277774976324	0.16599663834895995	0.4369076051983754	0.27091096684941546	0.0	0.04849717228968337	0.0	0.1016883908457479	0.1016883908457479	0.15205819504927104	0.19565763991162755	0.0	0.3040388286320988	0.3040388286320988
T cell	ATC	12038	0.5949253449484422	0.6358587006728686	0.29881096893656306	0.9378521159410182	0.6390411470044552	0.0	0.0498156097282206	0.0	0.10089901629537386	0.10089901629537386	0.2494605897586502	0.26183658018756567	0.1105114218515186	0.40149912486535533	0.2909877030138367
T cell	PTC	1781	0.4076868104455773	0.4511536105984814	0.23687407156967402	0.6239116834098576	0.3870376118401836	0.0	0.04941098472707131	0.0	0.09480718779324367	0.09480718779324367	0.1943379488095657	0.22455816461323058	0.0	0.3537253566276523	0.3537253566276523
