outcome	lineage	HT13_HR	HT13_p	HT13_fdr	DM1_HR	DM1_p	DM1_fdr	n	events	ICI_lineage
OS	acute myeloid leukemia	1.1987432724875096	0.3271251136595369	0.47301102262979533	0.1869152933057183	0.0255671758127002	0.2045374065016019	149	92	False
OS	adrenocortical cancer	0.725956640230848	0.2521642812899564	0.464900726736357	0.0185256989843778	0.0592433427486822	0.2588660703365645	77	27	False
OS	bladder urothelial carcinoma	0.9189002133700743	0.3399766725151654	0.47301102262979533	0.5985215011875384	0.4419050137640876	0.5656384176180321	423	188	True
OS	brain lower grade glioma	2.1212580729960817	2.2806416108956294e-09	7.298053154866014e-08	35.94598766219502	1.7363558383082505e-05	0.0005556338682586	537	142	False
OS	breast invasive carcinoma	0.8326887022453175	0.052406927534427036	0.1397518067584721	2.820681680051756	0.16534814964724	0.3200842202665915	1176	186	False
OS	cervical & endocervical cancer	0.6564560403748946	0.0034524900196588083	0.02029086844889631	7.618246284316131	0.058294210542203	0.2588660703365645	296	73	False
OS	cholangiocarcinoma	0.8732162308181668	0.6019656357686232	0.6879607265927122	0.3984839970869551	0.5356252406861548	0.6348151000724798	45	23	False
OS	colon adenocarcinoma	1.0392110986716498	0.7716037643179264	0.8230440152724549	1.6482678841761291	0.6087877349639829	0.695757411387409	461	103	False
OS	diffuse large B-cell lymphoma	2.7445947174109318	0.2874795517790626	0.47301102262979533	2.759319318519782	0.7092747432750444	0.7565597261600473	47	9	False
OS	esophageal carcinoma	0.81930306503733	0.2487029236862779	0.464900726736357	0.2543978092196917	0.2285399774506955	0.3849094357064345	171	68	True
OS	glioblastoma multiforme	1.3428226598284874	0.037563687261233006	0.10927618112358693	6.416002506364569	0.0575842104671796	0.2588660703365645	172	139	False
OS	head & neck squamous cell carcinoma	0.7721756507839505	0.003804537834168058	0.02029086844889631	1.6180995344663107	0.5328887744947808	0.6348151000724798	489	221	True
OS	kidney chromophobe	0.7588068392778529	0.48756086024668377	0.6000749049189954	34.659779706608724	0.2495161625328683	0.3992258600525893	89	12	False
OS	kidney clear cell carcinoma	1.017243514932023	0.8484135523226045	0.8757817314297853	2.935811743484077	0.0778760285515189	0.2665022352541331	601	201	True
