lineage	outcome	n	events	covariates	HR	HR_lower95	HR_upper95	p	concordance_HT13only	concordance_full	ICI_lineage	concordance_HT13_plus_DM1	DM1_HR_in_combined	DM1_p_in_combined	HT13_HR_in_combined	HT13_p_in_combined	concordance_DM1only	fdr
brain lower grade glioma	DSS	529	129	HT13_score+age	2.1037696460385353	1.62155607189023	2.7293824742267123	2.155139762392245e-08	0.6670669777655778	0.762180894866868	False	0.7022714795498216	11.834400530605045	0.008284298764165789	1.9017554892609099	1.1770323180624781e-05	0.6828163601427395	6.249905310937511e-07
skin cutaneous melanoma	DSS	405	169	HT13_score+age+stage_int	0.5901609386357715	0.4877099248955855	0.7141333725493092	5.9335565051869095e-08	0.621269321176722	0.6797054491899853	True	0.6219103924780968	1.2705439025230199	0.7342999129036478	0.6431208868828846	5.983237942597181e-07	0.512477146995275	8.603656932521019e-07
cervical & endocervical cancer	DSS	292	56	HT13_score+age	0.6054951222712582	0.43833162774431517	0.836408599993024	0.0023368635578209567	0.6580890107572243	0.6530267875975533	False	0.6719046614638262	6.787157238416816	0.10641864840391113	0.5882007763891637	0.0014061309225935088	0.5613794558110103	0.022589681058935916
lung adenocarcinoma	DSS	508	125	HT13_score+age+stage_int	0.7137800949411962	0.5630312142926511	0.9048912582481539	0.005342458220104135	0.6058378996026696	0.705632662179899	True	0.6433895135949308	24.879826222764567	9.954199160201589e-05	0.7044033044456756	0.0013584837197734582	0.5976315994494508	0.03873282209575498
head & neck squamous cell carcinoma	DSS	463	133	HT13_score+age+stage_int	0.741713033572181	0.5922638189118861	0.9288735975490914	0.009250594889527586	0.5842504889366108	0.6193418232253184	True	0.6212562794800015	16.01323725940886	0.004383114513623564	0.6847391071796106	0.0003171076592214437	0.5564673850519615	0.050939142212333345
uveal melanoma	DSS	79	20	HT13_score+age+stage_int	2.028788945315348	1.179760993377642	3.4888291846721815	0.010539132871517243	0.6359832635983264	0.7794594594594595	True	0.6673640167364017	30.72238341436059	0.20521992283245089	1.893098309116477	0.019436167574897245	0.6098326359832636	0.050939142212333345
sarcoma	DSS	259	82	HT13_score+age	0.6860718357048484	0.4946717370409106	0.9515291222479786	0.02396533836278558	0.5787760933407413	0.6167949837288673	False	0.5788554647194222	1.080090796255577	0.9461104392910898	0.745607953149465	0.07279734554298213	0.538772918485594	0.08687435156509772
thyroid carcinoma	DSS	563	10	HT13_score+age+stage_int	0.34133217911076863	0.13645961783325739	0.8537885298701977	0.02156835586672058	0.7107969151670951	0.9455190199871051	False	0.7059768637532133	0.8242933354879237	0.8067831657950694	0.27001393440370824	0.021078175803477185	0.5735861182519281	0.08687435156509772
uterine corpus endometrioid carcinoma	DSS	549	60	HT13_score+age	0.6876089597831987	0.48749289485971575	0.9698727644229368	0.032819628095611106	0.5915953076275801	0.5938042992602889	False	0.6449042221452259	0.09648852818531377	0.0032800911026727355	0.6940282517837458	0.038921263914975295	0.6160966193139633	0.10575213497474689
glioblastoma multiforme	DSS	159	124	HT13_score+age	1.3817022523355869	1.0095053538280427	1.8911252990089902	0.04348279215658456	0.5662974513388537	0.6153349822561566	False	0.5673728357887945	9.17675542223877	0.022969154801496337	1.342222529367754	0.06978082199607184	0.5333906871706635	0.1261000972540952
breast invasive carcinoma	DSS	1149	101	HT13_score+age+stage_int	0.7741395763793688	0.60055160526587	0.9979027255309995	0.048135467086567324	0.5892886182534377	0.760748801461076	False	0.610971577254576	9.492542656489762	0.03097076757416561	0.6817983374679244	0.0021659964570187014	0.5405742370308801	0.12690259504640478
colon adenocarcinoma	DSS	446	63	HT13_score+age+stage_int	1.3722447366037462	0.9630435101122091	1.9553172804386383	0.079853842215107	0.49012177252286393	0.8113065461782583	False	0.5599514931029256	6.789867021170436	0.11351604477244932	1.0654714852954557	0.7095485629413566	0.564195846596938	0.17239963552469978
