lineage	outcome	n	events	covariates	HR	HR_lower95	HR_upper95	p	concordance_HT13only	concordance_full	ICI_lineage	concordance_HT13_plus_DM1	DM1_HR_in_combined	DM1_p_in_combined	HT13_HR_in_combined	HT13_p_in_combined	concordance_DM1only	fdr
prostate adenocarcinoma	DSS	548	5	HT13_score+age	0.3136206171764947	0.08478621999618041	1.1600693075195052	0.08230174859778273	0.7276084949215144	0.8513388734995383	False	0.7229916897506925	18.8437351598413	0.5722458269864861	0.3413555009656535	0.090765396184053	0.5069252077562327	0.17239963552469978
uterine carcinosarcoma	DSS	54	31	HT13_score+age	0.5574792492925036	0.28780563243847457	1.0798368008248442	0.08322741025330334	0.5644355644355644	0.6363636363636364	False	0.5784215784215784	0.2352251867139032	0.21977374983657527	0.6475890822120691	0.1945896313582311	0.5594405594405595	0.17239963552469978
bladder urothelial carcinoma	DSS	407	127	HT13_score+age+stage_int	0.8315887500679919	0.6681309668444608	1.035036367953042	0.09862338219915237	0.5448405132016935	0.6857245010726126	True	0.5518210903920111	1.5474478606284665	0.5946686876838505	0.8353229537844202	0.11491635648884023	0.497560029732088	0.19067187225169457
mesothelioma	DSS	65	43	HT13_score+age+stage_int	0.702324178511305	0.44920143203399765	1.0980803188629356	0.12122663916931087	0.5809585492227979	0.5971502590673575	False	0.6256476683937824	16.448618315273404	0.2728006402659756	0.6968827391688842	0.11601329989851127	0.5576424870466321	0.21972328349437595
adrenocortical cancer	DSS	76	26	HT13_score+age+stage_int	0.6698360995537576	0.3724464517917474	1.2046843193347698	0.180854397237732	0.6347305389221557	0.7788753799392097	False	0.6369760479041916	0.16610978462019071	0.36449669824847575	0.5378861054476706	0.06187966220721292	0.5516467065868264	0.2913765288830127
kidney papillary cell carcinoma	DSS	286	31	HT13_score+age+stage_int	1.386558510564125	0.8626042937242663	2.228767602022105	0.1771360376444941	0.5647093193105464	0.9173974044195019	True	0.588664913818288	0.22415554061481308	0.21415614198205712	1.4228944835186637	0.15638286095294227	0.5048203330411919	0.2913765288830127
ovarian serous cystadenocarcinoma	DSS	286	156	HT13_score+age	0.8947278776751576	0.7188911762486783	1.113573238256259	0.3190648050532223	0.5141816415735794	0.5865954346770277	False	0.5619232637202526	0.2857336276290271	0.17643054709790773	0.9430047595642546	0.6051250103910278	0.5596406022340942	0.48699364981807625
esophageal carcinoma	DSS	168	40	HT13_score+age+stage_int	0.8224437845928525	0.5281983142803232	1.2806057129073511	0.38692099147465486	0.5216637781629117	0.7783665835411472	True	0.5414981706142885	2.044918005721706	0.5845195472950201	1.0128167373008157	0.942121322172946	0.5420758713652994	0.5610354376382496
pheochromocytoma & paraganglioma	DSS	187	6	HT13_score+age	0.5547240598181712	0.1374928306933941	2.2380714760856137	0.40767051557178313	0.5574229691876751	0.5910364145658263	False	0.5896358543417367	0.27927238602846777	0.7310063752796465	0.6217757013716015	0.528343853415601	0.6008403361344538	0.5629735691229386
cholangiocarcinoma	DSS	43	20	HT13_score+age+stage_int	0.8376277958179885	0.47017840226476126	1.492242776246906	0.547592280053385	0.4922737306843267	0.5496688741721855	False	0.5011037527593819	1.0216832506172033	0.989477235134545	0.8255385761895773	0.5823140224246798	0.5452538631346578	0.7218261873430984
pancreatic adenocarcinoma	DSS	173	74	HT13_score+age+stage_int	1.0768890501488488	0.8287020692642045	1.3994052498989968	0.5794348535120135	0.4924232081911263	0.5562246184007842	False	0.5677815699658703	10.27612751903813	0.1493028235760194	1.065809660779802	0.6539040455832419	0.5797952218430034	0.7305917718194953
kidney chromophobe	DSS	89	10	HT13_score+age+stage_int	0.8278692050841906	0.33546067038863125	2.0430634086932793	0.6819166247266084	0.4991869918699187	0.9479674796747968	False	0.7008130081300813	1054.169521941309	0.107697281782302	0.534793917782592	0.2589873147874122	0.6195121951219512	0.8239825882113184
kidney clear cell carcinoma	DSS	587	125	HT13_score+age+stage_int	0.9723086296504698	0.7810875717294302	1.2103432515250119	0.8015520433170822	0.5188893392784759	0.8404128703931708	True	0.5240575597892176	1.9310880500120715	0.494006041843166	1.1645578896749194	0.30175383376347165	0.5112890149979733	0.8940388175459764
stomach adenocarcinoma	DSS	384	93	HT13_score+age+stage_int	0.9636375834494271	0.7446593473264173	1.2470096502115162	0.7782387550734021	0.510968552330537	0.6412501814311288	True	0.5773630613251985	0.21785372395949515	0.10640978884447223	1.0586209293421531	0.6567987992209434	0.5792023686689696	0.8940388175459764
liver hepatocellular carcinoma	DSS	377	77	HT13_score+age+stage_int	1.0038758146218218	0.7399945946606351	1.3618567736225056	0.9801667555063501	0.5583178917026972	0.6953592814371258	True	0.6370702079472925	17.776584809660868	0.0020051996561566625	0.7602502293935887	0.06763106370350368	0.5828186123121268	0.9801667555063502
lung squamous cell carcinoma	DSS	477	98	HT13_score+age+stage_int	0.9920755772076849	0.7591471930252828	1.2964731476774132	0.9535330043289306	0.5126980238445207	0.6505424000675362	True	0.5794136861015842	12.953729175633246	0.012256389132251761	0.9554343094549294	0.7320463680160425	0.5788829005389515	0.9801667555063502
rectum adenocarcinoma	DSS	148	13	HT13_score+age+stage_int	0.9890365565672518	0.510106151310072	1.9176269639450085	0.9739673768019194	0.6101382488479262	0.767491926803014	False	0.6423963133640553	32.54737429770321	0.17798959398955083	0.8693694336521028	0.7090376809576225	0.6036866359447005	0.9801667555063502
brain lower grade glioma	OS	537	142	HT13_score+age	2.1212580729960817	1.657630453799653	2.714559087604036	2.2806416108956294e-09	0.6605849625462344	0.7638392440866565	False	0.6924439747614459	9.718603039901073	0.010451083725048658	1.9061457300204432	2.4074704967797408e-06	0.6726447642433097	7.298053154866014e-08
skin cutaneous melanoma	OS	410	191	HT13_score+age+stage_int	0.5995800337492128	0.5010160166727422	0.7175343799548145	2.370613184170986e-08	0.619569400279505	0.6862300206726163	True	0.6197516861442489	1.1010588571184206	0.8787132393794266	0.6543208956203911	3.186221717141072e-07	0.5182994754217892	3.7929810946735777e-07
uveal melanoma	OS	79	22	HT13_score+age+stage_int	2.281266165893503	1.3740485417356565	3.787475596078059	0.0014304097925411125	0.6538461538461539	0.7881873727087576	True	0.6824457593688363	49.16817014090911	0.15011104768015168	2.0911246712936893	0.004510424964386793	0.6094674556213018	0.015257704453771866
cervical & endocervical cancer	OS	296	73	HT13_score+age	0.6564560403748946	0.4950967701760643	0.8704046540062019	0.0034524900196588083	0.6361441627866874	0.6359717192619417	False	0.664597344369719	11.060804158104853	0.023486968839979007	0.6388863721484929	0.001984814199124981	0.5775995861355406	0.02029086844889631
head & neck squamous cell carcinoma	OS	489	221	HT13_score+age+stage_int	0.7721756507839505	0.6481415746298406	0.9199459794014048	0.003804537834168058	0.564457866310471	0.6177545372536428	True	0.5814274928857657	3.2010659844157843	0.09936442571229132	0.751257503558147	0.00042504906292682146	0.5250711423427609	0.02029086844889631
lung adenocarcinoma	OS	544	203	HT13_score+age+stage_int	0.7524605584026193	0.6232613999081223	0.9084420951386483	0.0030862386257734724	0.5940202580299617	0.6871185190153598	True	0.6237141821962477	13.427084659804805	7.57089909836335e-05	0.7312322820847678	0.00039513539742442997	0.5830878530583954	0.02029086844889631
sarcoma	OS	265	99	HT13_score+age	0.653575044698709	0.48503613724193034	0.8806773480464546	0.0051897199913838	0.5889115993868166	0.62704394481349	False	0.5976622381195708	0.40959936387119045	0.34171734036054086	0.7489203368958286	0.049236478233609444	0.5744123658661217	0.023724434246325945
thyroid carcinoma	OS	569	20	HT13_score+age+stage_int	0.483473755789824	0.27697079387064066	0.8439405082063994	0.010560443644331206	0.6063348416289592	0.9265707797123391	False	0.5750377073906485	0.5944990604190434	0.31958890901989045	0.6693992472735572	0.2060041693471534	0.541289592760181	0.04224177457732482
uterine corpus endometrioid carcinoma	OS	551	91	HT13_score+age	0.7209087629709581	0.5464815749995577	0.9510100034548055	0.020592962479441448	0.5820588829751397	0.6229137103858369	False	0.6141615576365964	0.13496734906642788	0.0027859777017252563	0.7091488706507089	0.016577542136605238	0.5870107121201913	0.07321942214912515
glioblastoma multiforme	OS	172	139	HT13_score+age	1.3428226598284874	1.0171003163529988	1.7728562923020834	0.037563687261233006	0.5528554070473876	0.613695538968929	False	0.5607533414337789	9.464827064209578	0.014220959825950447	1.2611708022032038	0.11357307606092364	0.5384481860788057	0.10927618112358693
thymoma	OS	121	9	HT13_score+age	2.4256993125144874	1.0634882009373237	5.532752643186146	0.0351803552973377	0.7623089983022071	0.8234295415959253	False	0.7758913412563667	4.412264182855593	0.5715570611937353	2.3794065413281404	0.06022462964574304	0.5636672325976231	0.10927618112358693
breast invasive carcinoma	OS	1176	186	HT13_score+age+stage_int	0.8326887022453175	0.6920504805007909	1.0019073671406817	0.052406927534427036	0.5703497700288801	0.736503579004685	False	0.5723285912931865	1.26152378833925	0.747991666273681	0.7556948748310273	0.0026044306943913322	0.49979676970799014	0.1397518067584721
adrenocortical cancer	OS	77	27	HT13_score+age+stage_int	0.725956640230848	0.4196099949777975	1.2559592235717512	0.2521642812899564	0.6145404663923183	0.7782577393808495	False	0.6131687242798354	0.20353807660349854	0.4109403112092025	0.605506846120162	0.11127849868664665	0.532235939643347	0.464900726736357
esophageal carcinoma	OS	171	68	HT13_score+age+stage_int	0.81930306503733	0.5839491971107806	1.1495135462138832	0.2487029236862779	0.5070307007265057	0.6563891178895301	True	0.5406608858682915	1.1300006084569854	0.9073614798233364	1.0008880375010383	0.9950384826395737	0.5396062807593157	0.464900726736357
kidney papillary cell carcinoma	OS	288	46	HT13_score+age+stage_int	1.2709811452952144	0.8474506152310749	1.9061795963832828	0.24623334083728599	0.5483460559796438	0.8212765957446808	True	0.5645385149201944	0.42410922252326505	0.39939521629234076	1.3696457947327687	0.12377446073290152	0.5004626416840158	0.464900726736357
ovarian serous cystadenocarcinoma	OS	310	185	HT13_score+age	0.8830129309611886	0.7201574882139653	1.0826962838064795	0.23165570989444195	0.5201478881129328	0.5995817305896852	False	0.5593606453299473	0.27849909967568276	0.12959469894550882	0.9329401312415916	0.5110419809274769	0.5557754789558202	0.464900726736357
pheochromocytoma & paraganglioma	OS	187	8	HT13_score+age	0.4511405168864961	0.13731792686876906	1.4821645696058365	0.18966558703822647	0.6044624746450304	0.6866125760649088	False	0.6186612576064908	0.262619756026152	0.6734111751513775	0.5213000040364173	0.3160855483605798	0.5841784989858012	0.464900726736357
prostate adenocarcinoma	OS	550	10	HT13_score+age	0.618852085312207	0.26778862252359226	1.4301500186458695	0.2615066587892008	0.6262158406669754	0.6433534043538676	False	0.6919870310328856	1437.8010485203122	0.09433646517730948	0.5370829402179831	0.16099586357444187	0.5937934228809634	0.464900726736357
acute myeloid leukemia	OS	149	92	HT13_score+age	1.1987432724875096	0.8341881529748278	1.7226154893348449	0.3271251136595369	0.547165013984236	0.6708619374523265	False	0.5764047800661073	0.19434469548712413	0.02437588500458368	1.4929880223821486	0.024571781830636328	0.5560640732265446	0.47301102262979533
bladder urothelial carcinoma	OS	423	188	HT13_score+age+stage_int	0.9189002133700743	0.7723622052186081	1.0932404465500443	0.3399766725151654	0.5331383605453628	0.6575794334844325	True	0.5329700387140212	1.0506339348680016	0.9397136063296956	0.9203655776384648	0.368103600014529	0.5280255849183639	0.47301102262979533
diffuse large B-cell lymphoma	OS	47	9	HT13_score+age	2.7445947174109318	0.4270878341991295	17.63759011531063	0.2874795517790626	0.6446280991735537	0.6074380165289256	False	0.6570247933884298	4.269945052151763	0.6395322351632701	2.4003851367879085	0.3175941282827592	0.4834710743801653	0.47301102262979533
lung squamous cell carcinoma	OS	539	242	HT13_score+age+stage_int	1.0856251430633883	0.9173321535428058	1.2847930236606557	0.33909452347175134	0.518863063489632	0.5839332647697406	True	0.5217040121436629	0.9348616445109328	0.9208598309801088	1.0717488914116335	0.41529920803051446	0.5108554876265545	0.47301102262979533
uterine carcinosarcoma	OS	56	35	HT13_score+age	0.7411896279810161	0.422022529351824	1.3017363444325858	0.29728433898396245	0.5251989389920424	0.6224580017683466	False	0.5641025641025641	0.2094989859913944	0.17261021789002487	0.8659638646203645	0.5940757733879081	0.5658709106984969	0.47301102262979533
stomach adenocarcinoma	OS	403	155	HT13_score+age+stage_int	0.911955662920774	0.745593407177026	1.1154378822663151	0.36979228041689904	0.4927186783804431	0.6337759402083167	True	0.5485103132161956	0.47639404490339937	0.30952448036961566	0.9936105692013116	0.948427201549795	0.5487012987012987	0.4930563738891987
mesothelioma	OS	85	73	HT13_score+age+stage_int	0.8708168607118337	0.6237758821403404	1.215696256639499	0.4164595711591058	0.5362450712769185	0.5577797998180164	False	0.5720351835001517	4.477749062114124	0.4347351974882925	0.8778393427087887	0.45134132516938263	0.5450409463148317	0.5330682510836554
kidney chromophobe	OS	89	12	HT13_score+age+stage_int	0.7588068392778529	0.34809482388183066	1.654111982803601	0.48756086024668377	0.5554106910039114	0.8983050847457628	False	0.6792698826597132	3091.70041360125	0.0515758825547431	0.4202967440717686	0.09900876671640824	0.6140808344198174	0.6000749049189954
cholangiocarcinoma	OS	45	23	HT13_score+age+stage_int	0.8732162308181668	0.5246514496784281	1.4533583891393898	0.6019656357686232	0.4851138353765324	0.5779334500875657	False	0.4991243432574431	1.3227112731673014	0.8483453956052571	0.820293920183643	0.5140787277284096	0.5148861646234676	0.6879607265927122
pancreatic adenocarcinoma	OS	179	95	HT13_score+age+stage_int	1.0653421841080213	0.8428950037540222	1.3464950725597813	0.596327336905108	0.49476466402358443	0.5554977092877967	False	0.5536240723797906	7.309005007254425	0.15928647186256978	1.0660965332539218	0.6164836960271736	0.5666361695638914	0.6879607265927122
rectum adenocarcinoma	OS	154	23	HT13_score+age+stage_int	1.1388847406133868	0.6700216036834236	1.9358457179163797	0.6308859029540552	0.504293893129771	0.7161290322580646	False	0.4904580152671756	0.24026405829809702	0.44422563302808304	1.0216625379412685	0.9361957585280547	0.48950381679389315	0.6961499618803368
colon adenocarcinoma	OS	461	103	HT13_score+age+stage_int	1.0392110986716498	0.8015292586893714	1.3473740301985289	0.7716037643179264	0.5285629765974231	0.740534600113443	False	0.5352353405206416	1.924119434843175	0.5041070266572063	0.9482870770061889	0.6833439789289524	0.5240928214567446	0.8230440152724549
kidney clear cell carcinoma	OS	601	201	HT13_score+age+stage_int	1.017243514932023	0.8536706249586042	1.2121588097533929	0.8484135523226045	0.5169431091859912	0.7565295026917541	True	0.5293434049970948	3.113811946628644	0.13042899018322746	1.0502907455391357	0.6669040204992659	0.5221198034969098	0.8757817314297853
liver hepatocellular carcinoma	OS	388	143	HT13_score+age+stage_int	1.0028373638579828	0.8033342509297269	1.2518858460045943	0.9800268696824852	0.5289745495553221	0.6218417399352152	True	0.5731347874003639	4.092659721072615	0.04616618662628244	0.8557089007052804	0.17503250656033315	0.5452751364789707	0.9800268696824852
brain lower grade glioma	PFI	537	218	HT13_score+age	1.568404058087312	1.2759814361279214	1.927842537340909	1.9120995790928617e-05	0.6055212795871446	0.6398597350182774	False	0.627007625254313	13.175985876572712	0.000521236840169809	1.3769109897584288	0.004868820797943453	0.607357295267711	0.0006118718653097158
skin cutaneous melanoma	PFI	408	274	HT13_score+age+stage_int	0.7519754340661903	0.646126456983586	0.8751646791850843	0.00023081055743147174	0.564561627330073	0.6509142887025642	True	0.5673541710964632	1.9449168749670311	0.2632261592499833	0.7940421208536703	0.0009986565136476174	0.5068821319724999	0.003692968918903548
glioblastoma multiforme	PFI	172	139	HT13_score+age	1.5059450945267543	1.153767234707825	1.965622319222387	0.0025924891835824074	0.5749611070171129	0.577171866044379	False	0.6059936133628101	11.222004992464576	0.009341321639708336	1.4049661822573607	0.014551591278557102	0.5789732252517809	0.027653217958212347
breast invasive carcinoma	PFI	1176	162	HT13_score+age+stage_int	0.7502704000285225	0.6129082760482044	0.9184174780415063	0.0053558912866038	0.5708190879761159	0.6963123868632014	False	0.5777627967448355	3.9783705210078857	0.08882817658204517	0.6893527754737152	0.00020498914294569482	0.5193239273847932	0.03532035301410747
liver hepatocellular carcinoma	PFI	389	189	HT13_score+age+stage_int	0.7579549077217423	0.6213747747037434	0.9245557842501423	0.006261744525074033	0.578513579842932	0.6639310022851808	True	0.6013579842931938	5.117564888946329	0.008401701957928909	0.6679168522604652	0.00012119862779109567	0.528611747382199	0.03532035301410747
lung adenocarcinoma	PFI	544	222	HT13_score+age+stage_int	0.780508431774868	0.6526674249889902	0.9333902516767099	0.00662256619014515	0.5758135850551191	0.6328902018709995	True	0.6011617928576144	10.01600034953913	0.00026790110408920505	0.7747384602211707	0.002603592430461712	0.5617004422734174	0.03532035301410747
head & neck squamous cell carcinoma	PFI	489	193	HT13_score+age+stage_int	0.7771163892286576	0.6445358529346936	0.936968641322388	0.008238823801575004	0.5544986473514268	0.6054075299281071	True	0.6003266303467019	16.33520077059253	0.00042181122285291995	0.7446348477047098	0.0008051316325986905	0.558712428160024	0.037663194521485734
cervical & endocervical cancer	PFI	296	73	HT13_score+age	0.6876279602417805	0.5167220292232994	0.9150610675859906	0.010204656935039419	0.6004456263925825	0.6055487673398979	False	0.6184863077697118	3.548326989138616	0.19224718528651064	0.6712910613659435	0.006595034478879459	0.5397829368216776	0.040818627740157674
uterine corpus endometrioid carcinoma	PFI	551	126	HT13_score+age	0.7364767882706947	0.580700406799713	0.9340411222556523	0.01164470529826136	0.5587943684314892	0.5599160313777484	False	0.5776323616894705	0.3786049470360531	0.0979998510927841	0.729900267478304	0.009310924260143483	0.5501795668363187	0.041403396616040394
adrenocortical cancer	PFI	77	40	HT13_score+age+stage_int	0.5794984461230693	0.360716685751988	0.9309756446640923	0.02409190437620015	0.6597938144329897	0.7362948960302458	False	0.660690273419991	1.0775568043799812	0.9647744928278299	0.43511542108969753	0.0016843223563142347	0.5463917525773195	0.07709409400384049
kidney papillary cell carcinoma	PFI	286	57	HT13_score+age+stage_int	1.5021029940197794	1.0373219795333932	2.1751331304655452	0.03124419912164577	0.5600090409101183	0.8116735066119471	True	0.5662623370752656	0.4947146487408753	0.44044282274495317	1.3488033046399948	0.10463011656315771	0.4964213064115121	0.08331786432438872
thymoma	PFI	121	23	HT13_score+age	1.8977140233557097	1.0598068749120026	3.3980894063740976	0.031131353992312795	0.6457858769931663	0.6526195899772209	False	0.6702733485193622	25.773345139741057	0.04990932072028471	1.7418151919726534	0.058584855442116245	0.6275626423690205	0.08331786432438872
bladder urothelial carcinoma	PFI	424	181	HT13_score+age+stage_int	0.8254578225217558	0.6894540388146922	0.9882901229120168	0.03678029852341268	0.5379626426841924	0.6651655571509376	True	0.536514181943964	0.8358360159134934	0.7906947947151998	0.8425959454817468	0.06769862143244777	0.5034806295399515	0.09053611944224658
cholangiocarcinoma	PFI	45	24	HT13_score+age+stage_int	0.5638804839223	0.32086272431294344	0.9909571167211485	0.0464213813235384	0.595679012345679	0.6111111111111112	False	0.6280864197530864	0.24531339019299742	0.27190090144415285	0.6185408678449323	0.09677642529224705	0.6141975308641975	0.09903228015688192
mesothelioma	PFI	83	59	HT13_score+age+stage_int	0.675280644110859	0.46076160943915606	0.9896743543061877	0.04409530854909289	0.5994130594277329	0.6045487894350697	False	0.5997798972853998	0.6349689262265096	0.8255941816021108	0.6878589558122351	0.05232747624925884	0.5018341892883346	0.09903228015688192
esophageal carcinoma	PFI	171	74	HT13_score+age+stage_int	0.7599088925937674	0.5490125931766933	1.051818359396424	0.09785051988745858	0.5474204510349089	0.6438122332859175	True	0.545669858922871	2.728989373866595	0.30507535193011237	0.8631626822846037	0.2866219883476157	0.5090104005766657	0.18418921390580437
uterine carcinosarcoma	PFI	56	37	HT13_score+age	0.645917391883801	0.38506200611627367	1.0834859594327022	0.09769297761775975	0.5700787401574803	0.6291338582677165	False	0.6236220472440945	0.07621452098282977	0.01982802545565566	0.748914046282273	0.24558978594190467	0.6165354330708661	0.18418921390580437
uveal melanoma	PFI	78	29	HT13_score+age+stage_int	1.4601512473640685	0.876029111531012	2.433756637896125	0.14644509329573652	0.552	0.68	True	0.612	253.57197393845692	0.021393639596143637	1.2288983359088699	0.41936285993824995	0.616	0.2603468325257538
sarcoma	PFI	265	142	HT13_score+age	0.8791269039044839	0.6976770853623175	1.1077676612631187	0.2747312819232364	0.5207660947851197	0.5309155766944114	False	0.5235264141328351	2.1159689476966923	0.4030135574158088	0.869344145779396	0.24263977452385221	0.5086206896551724	0.46270531692334554
ovarian serous cystadenocarcinoma	PFI	310	217	HT13_score+age	0.9359709992544931	0.7795483830612717	1.1237810641146546	0.4781964997421	0.5074001590116812	0.5282245734205859	False	0.5011620084398508	1.1329298719772296	0.874977779333545	0.9375324740105765	0.4992317935364654	0.4772796770839704	0.6955585450794182
pancreatic adenocarcinoma	PFI	179	107	HT13_score+age+stage_int	1.0890042835593776	0.8645024204338223	1.3718068354459354	0.4691516116537453	0.49579269458787534	0.5268743244571091	False	0.5278255880665519	8.843010737527184	0.11401715420432286	1.0885127995726416	0.4990403432601328	0.5458022566456301	0.6955585450794182
thyroid carcinoma	PFI	569	65	HT13_score+age+stage_int	1.1253440284262983	0.8276115125197582	1.530185555852204	0.4513468323398665	0.5531503525665327	0.6582798069248603	False	0.5838198498748958	1.5598866334597916	0.1312376010343931	1.0339981354590948	0.8354103453743008	0.5796497080900751	0.6955585450794182
prostate adenocarcinoma	PFI	550	95	HT13_score+age	1.0815884857676998	0.8311596399301332	1.4074716773345748	0.559432808957858	0.5320498658671295	0.5547735521540161	False	0.5715638314659933	33.805049062043395	0.007188707251154993	1.0207695130433325	0.8797186382208005	0.5708063752564305	0.7783412994196285
colon adenocarcinoma	PFI	460	126	HT13_score+age+stage_int	1.06526975551454	0.8410448953559495	1.3492735741933666	0.6000329713134975	0.5259924629600949	0.7143711272964453	False	0.5132414433947654	0.5711090374562977	0.5229518942225702	0.9759566949569238	0.8401236219337606	0.5135769965412215	0.8000439617513301
lung squamous cell carcinoma	PFI	540	163	HT13_score+age+stage_int	0.9568308529792374	0.7843580297731988	1.1672287991718575	0.6634546558941244	0.5217525201716385	0.6122159691956163	True	0.5494692754634858	2.526914853090143	0.25007418147756627	0.9447282183211011	0.5725836666081425	0.5448703471780237	0.8492219595444793
diffuse large B-cell lymphoma	PFI	47	12	HT13_score+age	1.1540056335700377	0.3167150903481911	4.204817019761528	0.8281093945754494	0.6037735849056604	0.5534591194968553	False	0.6037735849056604	24.484827802542476	0.33521215894469164	1.2387102296254706	0.748763324541939	0.5754716981132075	0.8862384116013514
kidney clear cell carcinoma	PFI	599	192	HT13_score+age+stage_int	0.9725369546671466	0.8207216517484661	1.1524347215383612	0.7477724357024589	0.5245723953789622	0.803928371273785	True	0.5263832712083961	0.8081535171605823	0.7677468799566345	1.1535688018468588	0.22067635220457768	0.5120152272186533	0.8862384116013514
pheochromocytoma & paraganglioma	PFI	186	22	HT13_score+age	1.1097783048407688	0.5364963262439199	2.295650176242392	0.7788118212915738	0.4874888293118856	0.5218945487042002	False	0.631367292225201	0.02030993406751699	0.043097760521179085	1.2780308344022926	0.5046860971592999	0.644325290437891	0.8862384116013514
rectum adenocarcinoma	PFI	153	35	HT13_score+age+stage_int	0.9457433185952827	0.619991356152253	1.4426498301824238	0.7956937456688637	0.502262443438914	0.6872690628149143	False	0.5662141779788838	6.279622062919511	0.252312473613585	0.9227149425081116	0.735489625275337	0.5598793363499246	0.8862384116013514
stomach adenocarcinoma	PFI	405	134	HT13_score+age+stage_int	1.0224118221249048	0.8236410934839271	1.2691522342567128	0.8407411744521331	0.5148981106227525	0.5849919144172161	True	0.5791141046863405	0.2000668890687661	0.03702439695255959	1.0807426205214734	0.4717969759005488	0.5768308693418575	0.8862384116013514
testicular germ cell tumor	PFI	82	14	HT13_score+age+stage_int	0.944737263077229	0.5056020160356476	1.7652787527329115	0.8585434612388092	0.5456263498920086	0.528	False	0.5242980561555075	0.1250937278134924	0.4493023241225038	1.0621095748267355	0.7657497350444631	0.5280777537796977	0.8862384116013514
