label	group	n	dm2_n	pct_dm2	ci_lo	ci_hi	color	qref	comment
TCGA-THCA primary (US)	Primary PTC	500	360.0	72.0	67.90813332381924	75.75639569587244	#7ccfcd	v17 R1A leak-free	Western reference baseline
GSE213647 PTC (Lee 2024 KR)	Primary PTC	351	214.0	60.96866096866097	55.77288528770108	65.92694659099409	#1abc9c	Q7	분당 SNUBH+CNUH+KRIBB; DM2 estimated from monotonic gradient (panel z>0)
PRJEB11591 SNU GMI (Yoo KR)	Primary PTC	107	95.0	88.78504672897196	81.41461014738314	93.46711811845225	#1abc9c	Q13	live K2 v4 / 88.8% DM2
GSE193581 PTC malignant (Lu CN)	Primary PTC	8621	6983.0	80.99988400417585	80.15803315472483	81.8141204845009	#7ccfcd	Q14	scRNA cell-level, 81% DM1=well-differentiated
Wang 2023 Chinese	Primary PTC	438					#1abc9c	Q8	DNA only — no DM call
GSE213647 Normal (Lee KR)	Normal thyroid	262	240.0	91.6030534351145	87.6142144134295	94.38954864409929	#2ECC71	Q7	matched-normal panel z>0
GSE193581 NORM cells (Lu CN)	Normal thyroid	675	629.0	93.18518518518518	91.02944282233307	94.85217098080837	#2ECC71	Q14	scRNA, 93% DM1
GSE213647 PDFP (Lee KR)	PDFP	9	1.0	11.11111111111111	1.9890887638544907	43.4999705576656	#F5A623	Q7	n=9 — power limited
Pozdeyev 2018 advanced PTC (US)	Advanced/refractory PTC	468					#E67E22	Q9	DNA only — TERT 50.6%
Yoo 2019 advanced PTC (KR)	Advanced/refractory PTC	125					#E67E22	Q8	DNA only — TERT 23.8%
GSE213647 UTC/ATC (Lee KR)	ATC	8	0.0	0.0	0.0	32.440756488388026	#c24c4c	Q7	all DM-low
GSE193581 ATC cells (Lu CN)	ATC	6034	40.0	0.6629101756711966	0.48722001914288227	0.9013798537174754	#c24c4c	Q14	scRNA, 99.3% DM2-low (40 DM1 / 5994 DM2)
Pozdeyev 2018 ATC (US)	ATC	196					#c24c4c	Q9	DNA only — TERT 55.1%
Landa 2016 MSK PDTC/ATC	ATC	43					#c24c4c	v3 external	DNA only — TERT 60.5%
