modality	rank	anchor	figures	tables	file_count
CAR-T	1	GSE290722	7	4	8
CAR-NKT	2	GSE270430	5	3	8
TIL	3	GSE303442	5	3	8
Blinatumomab	4	GSE294241	5	3	8
