target	slide	stage	n_spots	rho	p	mean_target_z	mean_pred_z
DM1_like_score	GSM7980860_N-1	PT	200	0.39311782794569866	8.501598330290674e-09	0.09647103457555335	0.3189524934347719
DM1_like_score	GSM7980861_N-2	PT	200	0.26305857646441166	0.00016762472805882794	-0.028739463052284725	-0.21143114529550075
DM1_like_score	GSM7980862_N-3	PT	200	0.19909247731193283	0.004708997406629432	0.006042847619504488	-0.3276107643719297
DM1_like_score	GSM7980863_N-4	PT	200	0.16870321758043955	0.016939838931999268	0.09884536077808055	-0.23324439587071538
DM1_like_score	GSM7980864_PTC-1	PTC	200	0.33757957787209814	1.016387972292541e-06	0.14284653691075516	0.1533065579587128
DM1_like_score	GSM7980865_PTC-2	PTC	200	0.4724803120078002	1.621618929461089e-12	-0.07025529228095607	-0.023962745285971324
DM1_like_score	GSM7980866_PTC-3	PTC	200	0.10462990498384633	0.1403562780773025	-0.1268360018996096	-0.1710064574831631
DM1_like_score	GSM7980867_PTC-4	PTC	200	0.31336050911684055	6.238911783667644e-06	0.013794720860317206	-0.08459721663966775
DM1_like_score	GSM7980868_LPTC-1	LPTC	200	0.3213140328508213	3.4976627129384827e-06	-0.08128149655024033	-0.3319476422155276
DM1_like_score	GSM7980869_LPTC-2	LPTC	200	0.4607500882372547	6.639122017608725e-12	0.0711881233159298	0.6041352113336325
DM1_like_score	GSM7980870_LPTC-3	LPTC	200	0.4080537702019225	2.0013487470418168e-09	-0.026647729864847158	0.09238357836497016
DM1_like_score	GSM7980871_LPTC-4	LPTC	200	0.33183992043800453	1.5848438858439058e-06	-0.024809738813627705	0.04663664919731673
DM1_like_score	GSM7980872_ATC-1	ATC	200	-0.026411523120878373	0.7104595972479638	0.051987112210306226	0.01078676238656044
DM1_like_score	GSM7980873_ATC-2	ATC	200	-0.10650948670481199	0.133328817777986	-0.09466383127858931	-0.16767681062279735
DM1_like_score	GSM7980874_ATC-3	ATC	200	0.043268265676417145	0.5429519001483019	-0.015822743908883274	0.11337425067089497
DM1_like_score	GSM7980875_ATC-4	ATC	200	0.3280244977562206	2.1188044040607486e-06	-0.012119438621408766	0.09652139447513036
RAI_8_score	GSM7980860_N-1	PT	200	0.39311782794569866	8.501598330290674e-09	-0.09647103457555335	-0.3189524934347719
RAI_8_score	GSM7980861_N-2	PT	200	0.26305857646441166	0.00016762472805882794	0.028739463052284725	0.21143114529550075
RAI_8_score	GSM7980862_N-3	PT	200	0.19909247731193283	0.004708997406629432	-0.006042847619504488	0.3276107643719297
RAI_8_score	GSM7980863_N-4	PT	200	0.16870321758043955	0.016939838931999268	-0.09884536077808055	0.23324439587071538
RAI_8_score	GSM7980864_PTC-1	PTC	200	0.33757957787209814	1.016387972292541e-06	-0.14284653691075516	-0.1533065579587128
RAI_8_score	GSM7980865_PTC-2	PTC	200	0.4724803120078002	1.621618929461089e-12	0.07025529228095607	0.023962745285971324
RAI_8_score	GSM7980866_PTC-3	PTC	200	0.10462990498384633	0.1403562780773025	0.1268360018996096	0.1710064574831631
RAI_8_score	GSM7980867_PTC-4	PTC	200	0.31336050911684055	6.238911783667644e-06	-0.013794720860317206	0.08459721663966775
