target	n_spots	overall_spearman_rho	overall_spearman_p	median_slide_rho	n_slides_rho_gt_0_2	n_slides_rho_gt_0_3
DM1_like_score	3200	0.3016852627119214	2.5207122156834036e-68	0.3173372709838309	10	9
RAI_8_score	3200	0.3016852627119214	2.5207122156834036e-68	0.3173372709838309	10	9
TDS_like_score	3200	0.2566422475528403	2.6489602599582943e-49	0.2513951484366207	10	7
CAF_ECM_score	3200	0.20334840111227379	3.2522409097944334e-31	0.1900210885562757	8	7
Epithelial_score	3200	0.16526601012846584	4.96234717027775e-21	0.17732270132087874	7	1
Hypoxia_score	3200	0.12900100553821414	2.3859093904626944e-13	0.14123566920586816	7	2
Proliferation_score	3200	0.05010797882179705	0.004579572808152532	0.08523568236615234	1	1
EMT_score	3200	0.02878346083386704	0.10353770320156605	0.05510501444449137	1	0
