evidence	quantile	group	n	tp	fp	fn	tn	precision	recall	jaccard	fisher_odds_ratio	fisher_p_greater
GSE230424 H&E DM1/low-RAI smoothed	0.9	P3	4062	130	277	277	3378	0.3194103194103194	0.3194103194103194	0.19005847953216373	5.723259784436133	1.7523237523318106e-39
GSE230424 H&E DM1/low-RAI smoothed	0.9	P4	4626	179	284	284	3879	0.38660907127429806	0.38660907127429806	0.23962516733601072	8.60867139456457	4.0466339471138716e-71
GSE230424 H&E DM1/low-RAI coord+QC residual	0.8	P1	3647	213	517	517	2400	0.29178082191780824	0.29178082191780824	0.17080994386527668	1.9125366176685161	1.601593419212283e-11
GSE230424 H&E DM1/low-RAI coord+QC residual	0.8	P2	3154	193	438	438	2085	0.3058637083993661	0.3058637083993661	0.18054256314312442	2.0975636454619377	6.408320960886131e-13
GSE230424 H&E DM1/low-RAI coord+QC residual	0.8	P3	4062	131	682	682	2567	0.16113161131611317	0.16113161131611317	0.08762541806020067	0.7229835484730953	0.9993525521350737
GSE230424 H&E DM1/low-RAI coord+QC residual	0.8	P4	4626	345	581	581	3119	0.37257019438444927	0.37257019438444927	0.22893165228931653	3.187734957533601	8.830765961370621e-44
GSE230424 H&E DM1/low-RAI coord+QC residual	0.9	P1	3647	73	292	292	2990	0.2	0.2	0.1111111111111111	2.559931506849315	8.622300656981747e-10
GSE230424 H&E DM1/low-RAI coord+QC residual	0.9	P2	3154	36	280	280	2558	0.11392405063291139	0.11392405063291139	0.06040268456375839	1.174591836734694	0.22140722941703764
GSE230424 H&E DM1/low-RAI coord+QC residual	0.9	P3	4062	18	389	389	3266	0.044226044226044224	0.044226044226044224	0.022613065326633167	0.388498622134403	0.9999957348198631
GSE230424 H&E DM1/low-RAI coord+QC residual	0.9	P4	4626	126	337	337	3826	0.27213822894168466	0.27213822894168466	0.1575	4.244785108612385	1.628721742137536e-29
