target	mode	neighbor_autocorr_pooled	neighbor_autocorr_weighted_sample	block_variance_fraction	target_sd
actual_DM1_RAI	raw_smoothed	0.9337626024938914	0.9001765899559482	0.3166525269012589	0.23892934928069415
loo_drop_DIO1	raw_smoothed	0.9347346973612528	0.900517444066252	0.32931466003048576	0.2588243242146853
loo_drop_FOXE1	raw_smoothed	0.9350489730368894	0.9079843193099407	0.3126621962140751	0.2472829879936425
loo_drop_NKX2-1	raw_smoothed	0.9334410048106546	0.898662951554891	0.2977151096975978	0.23870419561327091
loo_drop_PAX8	raw_smoothed	0.9308453917838597	0.889271004049391	0.3008036265155013	0.23291041989508382
loo_drop_SLC5A5	raw_smoothed	0.9332248665017164	0.9001413196478706	0.3251277256523167	0.2665092669464852
loo_drop_TG	raw_smoothed	0.9240499197628963	0.8915205601363957	0.2886295384825244	0.22104432629928755
loo_drop_TPO	raw_smoothed	0.9320779742801149	0.8987469605654446	0.3420494788392738	0.2423885376480688
loo_drop_TSHR	raw_smoothed	0.930020911149709	0.8989285223788692	0.3068691586656032	0.23492339411264454
null_random_matched_001	raw_smoothed	0.9220306690943034	0.8999818536261018	0.24966108492425032	0.19807428201097546
null_random_matched_002	raw_smoothed	0.9170543255737192	0.9019517840944669	0.2463643511291908	0.17028471932269734
null_random_matched_003	raw_smoothed	0.9076791167536086	0.8869379121775043	0.250462093521224	0.16558238489232663
null_random_matched_004	raw_smoothed	0.926905184604733	0.9034470650455549	0.2998246963542641	0.2107131159332652
null_random_matched_005	raw_smoothed	0.9104359513223148	0.8919421436393767	0.2762449558852499	0.17517325700956712
null_random_matched_006	raw_smoothed	0.9124902534188558	0.8908467726599628	0.23292995505614447	0.16323104584965975
null_random_matched_007	raw_smoothed	0.9272906300553037	0.9046303837432498	0.25161025836517686	0.19441523005276234
null_random_matched_008	raw_smoothed	0.9187235087491114	0.9026832529658643	0.20901427473952422	0.1666849689097561
null_random_matched_009	raw_smoothed	0.9252662826737873	0.9060726107346991	0.211339160954536	0.18412761302365108
null_random_matched_010	raw_smoothed	0.9166918620603169	0.8975938903463516	0.2662120563764493	0.18171699750578615
null_random_matched_011	raw_smoothed	0.9223974935251753	0.9012063422920091	0.23921232624565247	0.18436352812493753
null_random_matched_012	raw_smoothed	0.9244377806321372	0.9052540800052039	0.3251363534750915	0.17905217266261095
null_random_matched_013	raw_smoothed	0.9156519585581258	0.8999872712047385	0.22876748047915002	0.17380530150732898
null_random_matched_014	raw_smoothed	0.9131305197786321	0.8834383240447116	0.29527388291027706	0.19052344957763137
null_random_matched_015	raw_smoothed	0.920362930009694	0.8997927578254938	0.29127332044205895	0.18168925229427094
null_random_matched_016	raw_smoothed	0.9204538764161697	0.9020383994372323	0.2541262488002865	0.1771857030170361
null_random_matched_017	raw_smoothed	0.9216163151447262	0.8972658258368056	0.2200615023971342	0.182060470185717
null_random_matched_018	raw_smoothed	0.9251356715184563	0.901911604809891	0.23221041677978196	0.1988297870572925
null_random_matched_019	raw_smoothed	0.9192319165543531	0.9029159389559905	0.316788103840577	0.16457174437965352
null_random_matched_020	raw_smoothed	0.9263150483059771	0.9052578200382981	0.28665499600478683	0.1983396821985092
null_random_matched_021	raw_smoothed	0.9331252897955389	0.9172724399269672	0.2643607186993935	0.19983199790363854
null_random_matched_022	raw_smoothed	0.9216497947471969	0.9029000942412685	0.2697848742518298	0.19322743087065086
null_random_matched_023	raw_smoothed	0.92658533246455	0.9056184212980246	0.26622037174921104	0.19685280863599727
null_random_matched_024	raw_smoothed	0.925037496271552	0.8995658994719672	0.2980466120369267	0.17953189699266217
null_random_matched_025	raw_smoothed	0.9272851099238976	0.9043559785744708	0.29942062654775187	0.19616697195827998
null_random_matched_026	raw_smoothed	0.9317058517941634	0.9133226829878257	0.26399831645740934	0.19741898313099648
null_random_matched_027	raw_smoothed	0.9311526146693005	0.9147462698465464	0.2765859689823911	0.19988529201137958
null_random_matched_028	raw_smoothed	0.9224097002716267	0.9010525835683215	0.25590567739698983	0.18833320472305712
null_random_matched_029	raw_smoothed	0.9193248670574115	0.8942625014725823	0.2653393213258154	0.20574713495384983
null_random_matched_030	raw_smoothed	0.9310901807217071	0.9107331385108088	0.2473478270269418	0.18655622465780744
null_random_matched_031	raw_smoothed	0.9087431486708152	0.8856387445747979	0.279408424287765	0.16910372076527713
null_random_matched_032	raw_smoothed	0.923268994072341	0.9000282285948719	0.248242310402274	0.18815184091287188
null_random_matched_033	raw_smoothed	0.9275531032170927	0.9123569810633447	0.2827355056003811	0.20169932759671316
null_random_matched_034	raw_smoothed	0.9233735462729543	0.8963205953557982	0.26962769178991874	0.20836961568358078
null_random_matched_035	raw_smoothed	0.9201848855166854	0.8980394234748887	0.23801195326557348	0.1842841433831328
null_random_matched_036	raw_smoothed	0.9170394585735263	0.8893179758263459	0.2798531137248436	0.18209939571548325
null_random_matched_037	raw_smoothed	0.9248429681879864	0.9022927921502873	0.2806956410871947	0.2011442239535477
null_random_matched_038	raw_smoothed	0.9131237500930032	0.8946008067751512	0.23785303934898333	0.1801794145238862
null_random_matched_039	raw_smoothed	0.9148835483828076	0.8952116324750375	0.24737706205853116	0.17695975208707576
null_random_matched_040	raw_smoothed	0.9158742994690404	0.8967186668289477	0.23892727722954854	0.1744542972008062
null_random_matched_041	raw_smoothed	0.9247227859474824	0.9058857871389074	0.26625447544889524	0.1876519175261596
null_random_matched_042	raw_smoothed	0.9216392741134376	0.898625439193645	0.2536255082082917	0.19002664851741116
null_random_matched_043	raw_smoothed	0.9092339486206232	0.8843612851860324	0.23682635949969558	0.15427554998497905
null_random_matched_044	raw_smoothed	0.9192534129554878	0.8982828928553178	0.23242964249863102	0.17772614846242557
null_random_matched_045	raw_smoothed	0.9134937123087948	0.8921337257579364	0.3095497246934501	0.19188306604529173
null_random_matched_046	raw_smoothed	0.9164132531150446	0.897102726688699	0.2759299725156627	0.18691822754045853
null_random_matched_047	raw_smoothed	0.9212241567251058	0.8959807332534788	0.26031937073684863	0.1844130783019231
null_random_matched_048	raw_smoothed	0.9128047171031196	0.8942289293223488	0.27818305087222533	0.19363611193170957
null_random_matched_049	raw_smoothed	0.9245046878289602	0.9059721644778338	0.2147527040369931	0.1892506263256631
null_random_matched_050	raw_smoothed	0.9213211957560368	0.9004564482676389	0.2860107809348263	0.1723739123164712
null_random_matched_051	raw_smoothed	0.9248195247210793	0.9091421337741223	0.25829378732178965	0.19955432172492424
null_random_matched_052	raw_smoothed	0.9122100075018654	0.8938847895538342	0.25777118353001527	0.1744962782953963
null_random_matched_053	raw_smoothed	0.9036641343341472	0.8869703491039648	0.24609176976508565	0.1718323460012672
null_random_matched_054	raw_smoothed	0.9206616719506072	0.9060676768667	0.2652866665304905	0.18522079027656618
null_random_matched_055	raw_smoothed	0.9235095225876017	0.909306631072034	0.31140075324305644	0.17871429726448806
null_random_matched_056	raw_smoothed	0.9282981090219171	0.9084381875263867	0.2553452484919334	0.20052535705094504
null_random_matched_057	raw_smoothed	0.9211954034594206	0.9074892597560924	0.2764487231748225	0.19391121084745083
null_random_matched_058	raw_smoothed	0.9184000056884298	0.902109910333431	0.3447669521215978	0.1781208481941645
null_random_matched_059	raw_smoothed	0.9313613381006394	0.9105546847462541	0.27807009228060553	0.20590066445716315
null_random_matched_060	raw_smoothed	0.928532804859165	0.9088747792140343	0.24954214150677656	0.1865867384557167
null_random_matched_061	raw_smoothed	0.926008716447931	0.9094949742973903	0.26350443468392715	0.20279025447820145
null_random_matched_062	raw_smoothed	0.9208846586255691	0.9062749074733469	0.2758583526980373	0.185826434244858
null_random_matched_063	raw_smoothed	0.9330563922651577	0.9140112980451055	0.2982124802274941	0.20879924228005273
null_random_matched_064	raw_smoothed	0.9260265862298169	0.9046609260396175	0.2428314815643854	0.1941487798604925
null_random_matched_065	raw_smoothed	0.9297556729343153	0.909231712191806	0.24204016876893575	0.19631939820066444
null_random_matched_066	raw_smoothed	0.917764005339529	0.9022684043243479	0.24353068267213138	0.1886723591330994
null_random_matched_067	raw_smoothed	0.9226978580367359	0.9043122419534728	0.29437714933901854	0.19416898374290953
null_random_matched_068	raw_smoothed	0.9236472110366893	0.907288575851621	0.2759983603266913	0.19126258858739975
null_random_matched_069	raw_smoothed	0.9222594679802101	0.9008846320288949	0.19837510657049787	0.19317963192789828
null_random_matched_070	raw_smoothed	0.9226160882324923	0.9017735767927765	0.263343141109256	0.18000860598816854
null_random_matched_071	raw_smoothed	0.9355216051814126	0.9102531284071269	0.2587481207564452	0.2161234393182688
null_random_matched_072	raw_smoothed	0.9285886017945049	0.909948747825619	0.2583159876855107	0.18510214028517508
null_random_matched_073	raw_smoothed	0.9217470812872847	0.9046889590133835	0.24611695961563596	0.1846734290983075
null_random_matched_074	raw_smoothed	0.9155901667184011	0.8961361051719007	0.21821472676902728	0.16723965111485634
null_random_matched_075	raw_smoothed	0.9389596594139805	0.9272203045218846	0.2672661425670073	0.20856230378868446
null_random_matched_076	raw_smoothed	0.9293738298775975	0.9110650969025277	0.25158015338317324	0.20353756052250532
null_random_matched_077	raw_smoothed	0.926380235429237	0.9082475852497929	0.2712666473958136	0.21139519924953357
null_random_matched_078	raw_smoothed	0.9268734683644148	0.9038707438392117	0.24345114584982738	0.1856864123391425
null_random_matched_079	raw_smoothed	0.9208315613725642	0.9008077486345678	0.25674782647578526	0.18573156700554788
null_random_matched_080	raw_smoothed	0.9309104670275109	0.9055125745597326	0.281987924972323	0.20622255374350196
null_random_matched_081	raw_smoothed	0.9165242791508642	0.8957643190218552	0.23907776130573324	0.17046691009055875
null_random_matched_082	raw_smoothed	0.9244429631587623	0.8998355977970702	0.2851983151420324	0.19029120000319985
null_random_matched_083	raw_smoothed	0.914770302849223	0.9038064121018783	0.20851794747250973	0.17905347830931148
null_random_matched_084	raw_smoothed	0.9188882989130915	0.9074336802858671	0.2561169681814662	0.18417883771500762
null_random_matched_085	raw_smoothed	0.9229163110647204	0.9077256681924502	0.2588418822027488	0.19601063997672752
null_random_matched_086	raw_smoothed	0.9250399797085571	0.9089373590775477	0.2720655691297988	0.19502974870635362
null_random_matched_087	raw_smoothed	0.9284281950373718	0.9051405583675538	0.25403378643331725	0.20170180159028808
null_random_matched_088	raw_smoothed	0.9193028843278792	0.900523337446733	0.2855621414812687	0.18197306112422412
null_random_matched_089	raw_smoothed	0.9174791494145493	0.89139749016009	0.2413191623474063	0.17162569978692052
null_random_matched_090	raw_smoothed	0.9099970440793592	0.8876895047726936	0.26053212106063656	0.1623416104204201
null_random_matched_091	raw_smoothed	0.9225155958925335	0.9005949284978791	0.26189975671773363	0.18401759604098314
null_random_matched_092	raw_smoothed	0.9300581095891243	0.910116328486036	0.2864977312504587	0.20447517727381725
null_random_matched_093	raw_smoothed	0.9129640889256602	0.8909949136367783	0.298645076571662	0.1778400307375617
null_random_matched_094	raw_smoothed	0.9186912498446976	0.8981099817608444	0.2737891713906862	0.1930722691299568
null_random_matched_095	raw_smoothed	0.9253445976979446	0.9053202955787447	0.25601473679347325	0.19095912197455364
null_random_matched_096	raw_smoothed	0.9288868333408072	0.9119505592189278	0.25345694922624906	0.19192565512306936
null_random_matched_097	raw_smoothed	0.9209491387608733	0.8933935085851112	0.3067145166419652	0.19269418339786146
null_random_matched_098	raw_smoothed	0.9152770909854053	0.8935613358149055	0.23066628577534123	0.1782201936866727
null_random_matched_099	raw_smoothed	0.9255404143169494	0.9029603612756018	0.27313980875197674	0.183263943150369
null_random_matched_100	raw_smoothed	0.9159450574793994	0.896880686700664	0.2313848845468991	0.18311360295390255
null_random_matched_101	raw_smoothed	0.9226305390806188	0.9040027093831321	0.23387431434182215	0.18663555984450425
null_random_matched_102	raw_smoothed	0.9216128919190725	0.9029089664011548	0.24846441893936042	0.17705944848292954
null_random_matched_103	raw_smoothed	0.9184496220554588	0.8992163134337574	0.24237690998762212	0.17675256971079573
null_random_matched_104	raw_smoothed	0.9263415363085791	0.9111660471821946	0.32530602422116517	0.1929493966093157
null_random_matched_105	raw_smoothed	0.9338504958741242	0.916000268325641	0.2757720239389687	0.2049896309184062
