target	mode	n	pooled_rho	pooled_p	sample_centered_rho	sample_centered_p	median_sample_rho	samples_rho_gt_0_2	class
actual_DM1_RAI	raw_smoothed	3200	0.339628254506171	3.2144527130565126e-87	0.41768177363826126	2.4766552207892346e-135	0.35364031535162954	11	actual_dm1
loo_drop_DIO1	raw_smoothed	3200	0.3463231276561225	7.662388060786864e-91	0.4321630076243293	8.88848739708704e-146	0.37092355263617127	12	panel_loo
loo_drop_FOXE1	raw_smoothed	3200	0.34309692236607325	4.377951093751305e-89	0.42046476377902914	2.6674472804591844e-137	0.35881065786884503	12	panel_loo
loo_drop_NKX2-1	raw_smoothed	3200	0.3151280057048348	1.0448980563928354e-74	0.3859093559760397	3.801315024179538e-114	0.30863925709594864	10	panel_loo
loo_drop_PAX8	raw_smoothed	3200	0.33155267465701954	5.744637934383859e-83	0.4000849907994435	2.5880060916191784e-123	0.3568146444722259	11	panel_loo
loo_drop_SLC5A5	raw_smoothed	3200	0.3492227207106726	1.9387482157869638e-92	0.4238866205195748	9.572142449986296e-140	0.3525472136836949	12	panel_loo
loo_drop_TG	raw_smoothed	3200	0.3015246973449169	2.9904935648168307e-68	0.37748946871816413	6.523767929146897e-109	0.33649741359374075	11	panel_loo
loo_drop_TPO	raw_smoothed	3200	0.34673501030976006	4.555800778488916e-91	0.4259376425983753	3.175538826511088e-141	0.36734863757453995	11	panel_loo
loo_drop_TSHR	raw_smoothed	3200	0.3375156670059026	4.283838856997303e-86	0.4155636337644119	7.57043863400768e-134	0.35616549312779255	11	panel_loo
null_random_matched_001	raw_smoothed	3200	0.3273285751041509	8.567521126610615e-81	0.38341736409677585	1.397290336226289e-112	0.41525530883290684	11	random_matched
null_random_matched_002	raw_smoothed	3200	0.21909588578967254	4.410303212000191e-36	0.2700812486871009	1.3146135838049204e-54	0.3158290565292987	10	random_matched
null_random_matched_003	raw_smoothed	3200	0.22195101539020465	5.2450191025248e-37	0.29620259891343154	8.113948641638969e-66	0.2926174619309294	11	random_matched
null_random_matched_004	raw_smoothed	3200	0.3708107371308411	7.2075716501133e-105	0.42221556861798415	1.5086906882434664e-138	0.4290933812735665	14	random_matched
