gene	total_counts	detected_spots	n_spots	detect_frac	mean_count	log1p_mean_count
MIR1302-2HG	1.0	1	3200	0.0003125	0.0003125	0.00031245118204514246
FAM138A	0.0	0	3200	0.0	0.0	0.0
OR4F5	0.0	0	3200	0.0	0.0	0.0
AL627309.1	18.0	18	3200	0.005625	0.005625	0.005609238764510603
AL627309.3	0.0	0	3200	0.0	0.0	0.0
AL627309.2	0.0	0	3200	0.0	0.0	0.0
AL627309.5	15.0	14	3200	0.004375	0.0046875	0.004676547883901846
AL627309.4	0.0	0	3200	0.0	0.0	0.0
AP006222.2	3.0	3	3200	0.0009375	0.0009375	0.0009370608213402288
AL732372.1	0.0	0	3200	0.0	0.0	0.0
OR4F29	0.0	0	3200	0.0	0.0	0.0
AC114498.1	0.0	0	3200	0.0	0.0	0.0
OR4F16	0.0	0	3200	0.0	0.0	0.0
AL669831.2	0.0	0	3200	0.0	0.0	0.0
LINC01409	47.0	46	3200	0.014375	0.0146875	0.014580683315028037
FAM87B	4.0	4	3200	0.00125	0.00125	0.0012492194004319248
LINC01128	190.0	174	3200	0.054375	0.059375	0.057679111586678024
LINC00115	23.0	22	3200	0.006875	0.0071875	0.0071617930276199355
FAM41C	33.0	30	3200	0.009375	0.0103125	0.010259688937615169
AL645608.6	0.0	0	3200	0.0	0.0	0.0
AL645608.2	2.0	2	3200	0.000625	0.000625	0.0006248047688420805
AL645608.4	0.0	0	3200	0.0	0.0	0.0
LINC02593	36.0	35	3200	0.0109375	0.01125	0.011187189390564393
SAMD11	127.0	113	3200	0.0353125	0.0396875	0.03892018723065881
NOC2L	1079.0	748	3200	0.23375	0.3371875	0.2905685276289989
KLHL17	172.0	167	3200	0.0521875	0.05375	0.05235523033392816
PLEKHN1	90.0	84	3200	0.02625	0.028125	0.02773675497159966
PERM1	4.0	4	3200	0.00125	0.00125	0.0012492194004319248
AL645608.7	41.0	39	3200	0.0121875	0.0128125	0.012731114353729464
HES4	1627.0	1037	3200	0.3240625	0.5084375	0.41107434687267497
ISG15	4924.0	1336	3200	0.4175	1.53875	0.9316718339124574
AL645608.1	1.0	1	3200	0.0003125	0.0003125	0.00031245118204514246
AGRN	2778.0	1453	3200	0.4540625	0.868125	0.6249352540560653
AL645608.5	0.0	0	3200	0.0	0.0	0.0
AL645608.8	0.0	0	3200	0.0	0.0	0.0
RNF223	5.0	5	3200	0.0015625	0.0015625	0.0015612805669524994
C1orf159	225.0	216	3200	0.0675	0.0703125	0.06795066190850775
AL390719.3	0.0	0	3200	0.0	0.0	0.0
LINC01342	0.0	0	3200	0.0	0.0	0.0
AL390719.2	131.0	118	3200	0.036875	0.0409375	0.04012174940586174
TTLL10-AS1	0.0	0	3200	0.0	0.0	0.0
TTLL10	14.0	13	3200	0.0040625	0.004375	0.004365457509639981
TNFRSF18	116.0	104	3200	0.0325	0.03625	0.03560842746736768
TNFRSF4	235.0	203	3200	0.0634375	0.0734375	0.0708661158686318
SDF4	3391.0	1697	3200	0.5303125	1.0596875	0.7225542722649019
B3GALT6	625.0	515	3200	0.1609375	0.1953125	0.17840765747281828
C1QTNF12	68.0	62	3200	0.019375	0.02125	0.02102736719207559
AL162741.1	0.0	0	3200	0.0	0.0	0.0
UBE2J2	1089.0	805	3200	0.2515625	0.3403125	0.2929027957290625
LINC01786	1.0	1	3200	0.0003125	0.0003125	0.00031245118204514246
SCNN1D	82.0	81	3200	0.0253125	0.025625	0.02530218286221829
ACAP3	474.0	414	3200	0.129375	0.148125	0.13813017698725305
PUSL1	348.0	305	3200	0.0953125	0.10875	0.1032332546416522
INTS11	1829.0	1184	3200	0.37	0.5715625	0.45207034738414686
AL139287.1	0.0	0	3200	0.0	0.0	0.0
CPTP	660.0	559	3200	0.1746875	0.20625	0.1875163736710586
TAS1R3	9.0	9	3200	0.0028125	0.0028125	0.002808552322038955
DVL1	1242.0	900	3200	0.28125	0.388125	0.32795391566655485
MXRA8	4864.0	1807	3200	0.5646875	1.52	0.924258901523332
AURKAIP1	4674.0	1806	3200	0.564375	1.460625	0.900415382715865
CCNL2	1862.0	1172	3200	0.36625	0.581875	0.45861085231725146
MRPL20-AS1	307.0	273	3200	0.0853125	0.0959375	0.09161016135236018
MRPL20	4114.0	1689	3200	0.5278125	1.285625	0.8266395099215086
AL391244.2	27.0	26	3200	0.008125	0.0084375	0.00840210326414391
ANKRD65	149.0	135	3200	0.0421875	0.0465625	0.04551098400638667
AL391244.1	0.0	0	3200	0.0	0.0	0.0
TMEM88B	0.0	0	3200	0.0	0.0	0.0
LINC01770	9.0	9	3200	0.0028125	0.0028125	0.002808552322038955
VWA1	1628.0	1036	3200	0.32375	0.50875	0.41128149342960424
ATAD3C	556.0	446	3200	0.139375	0.17375	0.16020375154033561
ATAD3B	515.0	440	3200	0.1375	0.1609375	0.14922786836404164
ATAD3A	597.0	462	3200	0.144375	0.1865625	0.1710604714439844
TMEM240	97.0	96	3200	0.03	0.0303125	0.029862154283913138
SSU72	3721.0	1705	3200	0.5328125	1.1628125	0.7714094580540455
AL645728.1	22.0	20	3200	0.00625	0.006875	0.0068514749491017735
FNDC10	412.0	343	3200	0.1071875	0.12875	0.12111082574905813
AL691432.4	12.0	12	3200	0.00375	0.00375	0.003742986278834377
AL691432.2	302.0	267	3200	0.0834375	0.094375	0.09018342405797924
MIB2	961.0	719	3200	0.2246875	0.3003125	0.2626046201951233
MMP23B	148.0	140	3200	0.04375	0.04625	0.04521234282154803
CDK11B	86.0	81	3200	0.0253125	0.026875	0.026520209809395474
FO704657.1	16.0	16	3200	0.005	0.005	0.004987541511039074
SLC35E2B	483.0	416	3200	0.13	0.1509375	0.14057682765724738
CDK11A	129.0	124	3200	0.03875	0.0403125	0.03952114878720703
SLC35E2A	375.0	325	3200	0.1015625	0.1171875	0.11081436634029011
NADK	771.0	600	3200	0.1875	0.2409375	0.21586714234343354
GNB1	4202.0	1636	3200	0.51125	1.313125	0.8385994241582835
AL109917.1	8.0	8	3200	0.0025	0.0025	0.002496880198587199
CALML6	5.0	5	3200	0.0015625	0.0015625	0.0015612805669524994
TMEM52	17.0	17	3200	0.0053125	0.0053125	0.0052984384512084325
CFAP74	4.0	3	3200	0.0009375	0.00125	0.0012492194004319248
AL391845.2	5.0	5	3200	0.0015625	0.0015625	0.0015612805669524994
GABRD	107.0	100	3200	0.03125	0.0334375	0.03289062419397487
AL391845.1	1.0	1	3200	0.0003125	0.0003125	0.00031245118204514246
PRKCZ	747.0	577	3200	0.1803125	0.2334375	0.2098049868750292
AL590822.2	1.0	1	3200	0.0003125	0.0003125	0.00031245118204514246
PRKCZ-AS1	10.0	10	3200	0.003125	0.003125	0.003120127336243634
FAAP20	4184.0	1633	3200	0.5103125	1.3075	0.8361646873948703
AL590822.1	0.0	0	3200	0.0	0.0	0.0
SKI	505.0	431	3200	0.1346875	0.1578125	0.14653244894236933
AL590822.3	61.0	59	3200	0.0184375	0.0190625	0.01888308700150122
MORN1	218.0	198	3200	0.061875	0.068125	0.06590477488771829
AL589739.1	3.0	3	3200	0.0009375	0.0009375	0.0009370608213402288
AL513477.2	26.0	26	3200	0.008125	0.008125	0.008092169897336255
RER1	2972.0	1474	3200	0.460625	0.92875	0.6568721246952335
PEX10	585.0	489	3200	0.1528125	0.1828125	0.16789507708373122
PLCH2	99.0	92	3200	0.02875	0.0309375	0.030468582440763507
AL139246.1	0.0	0	3200	0.0	0.0	0.0
AL139246.4	0.0	0	3200	0.0	0.0	0.0
PANK4	266.0	247	3200	0.0771875	0.083125	0.07985038148773348
HES5	22.0	20	3200	0.00625	0.006875	0.0068514749491017735
AL139246.5	84.0	79	3200	0.0246875	0.02625	0.025911381784500923
TNFRSF14-AS1	199.0	174	3200	0.054375	0.0621875	0.06033046090829809
TNFRSF14	1018.0	770	3200	0.240625	0.318125	0.276210272250902
AL139246.3	6.0	6	3200	0.001875	0.001875	0.0018732443816803477
PRXL2B	349.0	297	3200	0.0928125	0.1090625	0.10351506385867856
MMEL1	10.0	8	3200	0.0025	0.003125	0.003120127336243634
AL831784.1	0.0	0	3200	0.0	0.0	0.0
TTC34	13.0	13	3200	0.0040625	0.0040625	0.004054270328040545
AC242022.2	2.0	2	3200	0.000625	0.000625	0.0006248047688420805
AC242022.1	0.0	0	3200	0.0	0.0	0.0
AL592464.2	0.0	0	3200	0.0	0.0	0.0
AL592464.3	0.0	0	3200	0.0	0.0	0.0
AL592464.1	0.0	0	3200	0.0	0.0	0.0
AL589702.1	0.0	0	3200	0.0	0.0	0.0
ACTRT2	0.0	0	3200	0.0	0.0	0.0
PRDM16-DT	213.0	179	3200	0.0559375	0.0665625	0.06444086011888912
PRDM16	179.0	167	3200	0.0521875	0.0559375	0.05442899792647203
AL008733.1	1.0	1	3200	0.0003125	0.0003125	0.00031245118204514246
AL590438.1	1.0	1	3200	0.0003125	0.0003125	0.00031245118204514246
AL354743.2	1.0	1	3200	0.0003125	0.0003125	0.00031245118204514246
AL354743.1	2.0	2	3200	0.000625	0.000625	0.0006248047688420805
ARHGEF16	253.0	241	3200	0.0753125	0.0790625	0.07609260860217441
AL512413.1	3.0	3	3200	0.0009375	0.0009375	0.0009370608213402288
MEGF6	248.0	223	3200	0.0696875	0.0775	0.0746435429957658
AL513320.1	2.0	2	3200	0.000625	0.000625	0.0006248047688420805
TPRG1L	1089.0	839	3200	0.2621875	0.3403125	0.2929027957290625
WRAP73	434.0	386	3200	0.120625	0.135625	0.1271831601682986
TP73	36.0	35	3200	0.0109375	0.01125	0.011187189390564393
AL136528.1	0.0	0	3200	0.0	0.0	0.0
AL136528.2	0.0	0	3200	0.0	0.0	0.0
CCDC27	0.0	0	3200	0.0	0.0	0.0
SMIM1	1612.0	951	3200	0.2971875	0.50375	0.4079619883067516
LRRC47	1077.0	788	3200	0.24625	0.3365625	0.2901010194390907
AL365330.1	17.0	17	3200	0.0053125	0.0053125	0.0052984384512084325
CEP104	330.0	299	3200	0.0934375	0.103125	0.09814706113952454
DFFB	75.0	73	3200	0.0228125	0.0234375	0.02316705928153438
C1orf174	378.0	331	3200	0.1034375	0.118125	0.11165317528084655
LINC01134	3.0	3	3200	0.0009375	0.0009375	0.0009370608213402288
LINC01346	0.0	0	3200	0.0	0.0	0.0
LINC01345	0.0	0	3200	0.0	0.0	0.0
LINC02780	0.0	0	3200	0.0	0.0	0.0
AL805961.1	0.0	0	3200	0.0	0.0	0.0
LINC01777	0.0	0	3200	0.0	0.0	0.0
AL355602.1	0.0	0	3200	0.0	0.0	0.0
Z98747.1	0.0	0	3200	0.0	0.0	0.0
LINC01646	0.0	0	3200	0.0	0.0	0.0
AJAP1	65.0	64	3200	0.02	0.0203125	0.020108952922713523
