target	mode	n	pooled_rho	pooled_p	sample_centered_rho	sample_centered_p	median_sample_rho	samples_rho_gt_0_2	class	neighbor_autocorr_pooled	neighbor_autocorr_weighted_sample	block_variance_fraction	target_sd	smoothness_expected_rho	smoothness_adjusted_residual
actual_DM1_RAI	raw_smoothed	3200	0.339628254506171	3.2144527130565126e-87	0.41768177363826126	2.4766552207892346e-135	0.35364031535162954	11	actual_dm1	0.9337626024938914	0.9001765899559482	0.3166525269012589	0.23892934928069415	0.4911263425932655	-0.07344456895500423
loo_drop_DIO1	raw_smoothed	3200	0.3463231276561225	7.662388060786864e-91	0.4321630076243293	8.88848739708704e-146	0.37092355263617127	12	panel_loo	0.9347346973612528	0.900517444066252	0.32931466003048576	0.2588243242146853	0.5534600428756429	-0.12129703525131358
loo_drop_FOXE1	raw_smoothed	3200	0.34309692236607325	4.377951093751305e-89	0.42046476377902914	2.6674472804591844e-137	0.35881065786884503	12	panel_loo	0.9350489730368894	0.9079843193099407	0.3126621962140751	0.2472829879936425	0.5206496156662096	-0.10018485188718046
loo_drop_NKX2-1	raw_smoothed	3200	0.3151280057048348	1.0448980563928354e-74	0.3859093559760397	3.801315024179538e-114	0.30863925709594864	10	panel_loo	0.9334410048106546	0.898662951554891	0.2977151096975978	0.23870419561327091	0.49636792389645956	-0.11045856792041986
loo_drop_PAX8	raw_smoothed	3200	0.33155267465701954	5.744637934383859e-83	0.4000849907994435	2.5880060916191784e-123	0.3568146444722259	11	panel_loo	0.9308453917838597	0.889271004049391	0.3008036265155013	0.23291041989508382	0.47559732926355724	-0.07551233846411376
loo_drop_SLC5A5	raw_smoothed	3200	0.3492227207106726	1.9387482157869638e-92	0.4238866205195748	9.572142449986296e-140	0.3525472136836949	12	panel_loo	0.9332248665017164	0.9001413196478706	0.3251277256523167	0.2665092669464852	0.580421246896278	-0.15653462637670323
loo_drop_TG	raw_smoothed	3200	0.3015246973449169	2.9904935648168307e-68	0.37748946871816413	6.523767929146897e-109	0.33649741359374075	11	panel_loo	0.9240499197628963	0.8915205601363957	0.2886295384825244	0.22104432629928755	0.4400177564488508	-0.0625282877306867
loo_drop_TPO	raw_smoothed	3200	0.34673501030976006	4.555800778488916e-91	0.4259376425983753	3.175538826511088e-141	0.36734863757453995	11	panel_loo	0.9320779742801149	0.8987469605654446	0.3420494788392738	0.2423885376480688	0.4944633012900691	-0.0685256586916938
loo_drop_TSHR	raw_smoothed	3200	0.3375156670059026	4.283838856997303e-86	0.4155636337644119	7.57043863400768e-134	0.35616549312779255	11	panel_loo	0.930020911149709	0.8989285223788692	0.3068691586656032	0.23492339411264454	0.4808352996550187	-0.06527166589060679
null_random_matched_001	raw_smoothed	3200	0.3273285751041509	8.567521126610615e-81	0.38341736409677585	1.397290336226289e-112	0.41525530883290684	11	random_matched	0.9220306690943034	0.8999818536261018	0.24966108492425032	0.19807428201097546	0.37627493553219626	0.007142428564579584
null_random_matched_002	raw_smoothed	3200	0.21909588578967254	4.410303212000191e-36	0.2700812486871009	1.3146135838049204e-54	0.3158290565292987	10	random_matched	0.9170543255737192	0.9019517840944669	0.2463643511291908	0.17028471932269734	0.28471514337843756	-0.014633894691336635
null_random_matched_003	raw_smoothed	3200	0.22195101539020465	5.2450191025248e-37	0.29620259891343154	8.113948641638969e-66	0.2926174619309294	11	random_matched	0.9076791167536086	0.8869379121775043	0.250462093521224	0.16558238489232663	0.26699175556154675	0.029210843351884785
null_random_matched_004	raw_smoothed	3200	0.3708107371308411	7.2075716501133e-105	0.42221556861798415	1.5086906882434664e-138	0.4290933812735665	14	random_matched	0.926905184604733	0.9034470650455549	0.2998246963542641	0.2107131159332652	0.4025397390549138	0.019675829563070346
null_random_matched_005	raw_smoothed	3200	0.3025729674952212	9.7800218607359e-69	0.35015799840687317	5.872715713888311e-93	0.3493606335716102	11	random_matched	0.9104359513223148	0.8919421436393767	0.2762449558852499	0.17517325700956712	0.29097130068067817	0.059186697726195
null_random_matched_006	raw_smoothed	3200	0.17527527991672512	1.7096148762557902e-23	0.21242513784434003	5.679802379692829e-34	0.15790882950432594	6	random_matched	0.9124902534188558	0.8908467726599628	0.23292995505614447	0.16323104584965975	0.2649510835015706	-0.052525945657230566
null_random_matched_007	raw_smoothed	3200	0.3700949724101893	1.929624323944541e-104	0.4387846324667719	1.0001727356307607e-150	0.496450753560297	14	random_matched	0.9272906300553037	0.9046303837432498	0.25161025836517686	0.19441523005276234	0.3636672983243752	0.07511733414239669
null_random_matched_008	raw_smoothed	3200	0.28853609131631275	2.1119019143499758e-62	0.32189188013434206	4.785233844386257e-78	0.234473084190425	10	random_matched	0.9187235087491114	0.9026832529658643	0.20901427473952422	0.1666849689097561	0.2847041927307192	0.03718768740362288
null_random_matched_009	raw_smoothed	3200	0.20207386460273977	7.74610883582339e-31	0.26784562450435406	1.0535034346365784e-53	0.2463355539179527	9	random_matched	0.9252662826737873	0.9060726107346991	0.211339160954536	0.18412761302365108	0.3423143426095166	-0.07446871810516253
null_random_matched_010	raw_smoothed	3200	0.29026127120893275	3.675396804785481e-63	0.35162644261443643	8.93111073031499e-94	0.35585065299845114	13	random_matched	0.9166918620603169	0.8975938903463516	0.2662120563764493	0.18171699750578615	0.3162880408504331	0.035338401764003324
null_random_matched_011	raw_smoothed	3200	0.2436378900996847	1.8412365374542503e-44	0.30846457000815447	1.677447540120438e-71	0.3133205958744411	9	random_matched	0.9223974935251753	0.9012063422920091	0.23921232624565247	0.18436352812493753	0.3339392772762181	-0.025474707268063612
null_random_matched_012	raw_smoothed	3200	0.22302034540695725	2.3444958915446647e-37	0.2699338234199666	1.508919758639348e-54	0.23826086742766767	9	random_matched	0.9244377806321372	0.9052540800052039	0.3251363534750915	0.17905217266261095	0.2888932951533893	-0.018959471733422717
null_random_matched_013	raw_smoothed	3200	0.245165218983369	5.140994186514849e-45	0.28790431934800537	3.994200182500105e-62	0.23024720906348212	8	random_matched	0.9156519585581258	0.8999872712047385	0.22876748047915002	0.17380530150732898	0.30200203239322043	-0.014097713045215066
null_random_matched_014	raw_smoothed	3200	0.2903072926412903	3.5073099699819976e-63	0.340035328367816	1.9470268270585227e-87	0.3314831560477912	12	random_matched	0.9131305197786321	0.8834383240447116	0.29527388291027706	0.19052344957763137	0.3356775862288062	0.0043577421390098015
null_random_matched_015	raw_smoothed	3200	0.2760871550301922	4.44443266246273e-57	0.3372979570566961	5.5877986010271416e-86	0.35344260351520873	11	random_matched	0.920362930009694	0.8997927578254938	0.29127332044205895	0.18168925229427094	0.3082742884080539	0.029023668648642198
null_random_matched_016	raw_smoothed	3200	0.27842897192211236	4.648395322951205e-58	0.3286537489050549	1.7975162909088274e-81	0.3141906867973583	11	random_matched	0.9204538764161697	0.9020383994372323	0.2541262488002865	0.1771857030170361	0.3052560192720335	0.02339772963302139
null_random_matched_017	raw_smoothed	3200	0.3185289538616631	2.243440080222892e-76	0.3639688949089579	7.97536044106334e-101	0.3546758027719459	12	random_matched	0.9216163151447262	0.8972658258368056	0.2200615023971342	0.182060470185717	0.3322000917231474	0.03176880318581049
null_random_matched_018	raw_smoothed	3200	0.34005526993347934	1.899753273489494e-87	0.3857539310734675	4.7639055948785876e-114	0.37284073006824575	12	random_matched	0.9251356715184563	0.901911604809891	0.23221041677978196	0.1988297870572925	0.38447779797604215	0.0012761330974253582
null_random_matched_019	raw_smoothed	3200	0.11296434575890486	1.4719674737429714e-10	0.14225508657574581	6.207857998376393e-16	0.13553748554154704	6	random_matched	0.9192319165543531	0.9029159389559905	0.316788103840577	0.16457174437965352	0.24314549695938176	-0.10089041038363594
null_random_matched_020	raw_smoothed	3200	0.31115973643253975	8.670778224890418e-73	0.37117705357654296	4.349981047061155e-105	0.3691536591444422	13	random_matched	0.9263150483059771	0.9052578200382981	0.28665499600478683	0.1983396821985092	0.36556535448428457	0.005611699092258393
null_random_matched_021	raw_smoothed	3200	0.30675097453796013	1.0855817437035954e-70	0.3766886449713331	2.015380294614641e-108	0.3978825168175264	14	random_matched	0.9331252897955389	0.9172724399269672	0.2643607186993935	0.19983199790363854	0.37826346105721886	-0.0015748160858857774
