dataset	histology	n
GSE29265	ATC	9
GSE29265	PTC	20
GSE29265	normal	20
GSE33630	ATC	11
GSE33630	PTC	49
GSE33630	normal	45
GSE53157	DROP_pool	1
GSE53157	FTC	4
GSE53157	FVPTC	8
GSE53157	PDTC	5
GSE53157	PTC	7
GSE53157	normal	2
GSE65144	ATC	12
GSE65144	normal	13
TCGA-THCA	FVPTC	102
TCGA-THCA	cPTC	380
TCGA-THCA	unknown	31
