	histology	source_file	n_cells	n_genes_streamed	median_umi_per_cell	mean_umi_per_cell
PT10	PTC	GSM7324266_PT10.count.tsv.gz	4709	28745	4606.0	7701.062858356339
PT12	PTC	GSM7324267_PT12.count.tsv.gz	4118	28745	4226.0	6087.795046138903
PT3	PTC	GSM7324268_PT3.count.tsv.gz	8540	28745	7031.5	7975.841451990632
PT5	PTC	GSM7324269_PT5.count.tsv.gz	8962	28745	4700.5	10033.422115599196
PT7	PTC	GSM7324270_PT7.count.tsv.gz	9479	28745	6663.0	9435.091570840807
PT8	PTC	GSM7324271_PT8.count.tsv.gz	8209	28745	7094.0	9730.122792057498
PT9	PTC	GSM7324272_PT9.count.tsv.gz	5421	28745	4781.0	9227.253089835824
AT9	ATC	GSM7324273_AT9.count.tsv.gz	3197	28745	11884.0	16026.77134813888
AT13	ATC	GSM7324274_AT13.count.tsv.gz	7143	28745	5794.0	9272.079518409631
AT16	ATC	GSM7324275_AT16.count.tsv.gz	8708	28745	5783.0	9573.902158934314
AT17	ATC	GSM7324276_AT17.count.tsv.gz	9923	28745	3132.0	4896.618462158622
AT20	ATC	GSM7324277_AT20.count.tsv.gz	6395	28745	7225.0	9777.946207974981
