sample_id	histology	n_cells	median_umi_per_cell	RAI_8_score	DM1_like_score	THYROID_NONOVERLAP_score	TF_collapse_score	STAT3_AP1_DNMT_score
PT10	PTC	4709	4606.0	-0.05160334990923143	0.05160334990923143	-0.2750780447095779	-0.59307903675696	0.425106875446883
PT12	PTC	4118	4226.0	-0.3000837040704959	0.3000837040704959	-0.5667314953660533	-0.6944899975102826	-0.4547403650145789
PT3	PTC	8540	7031.5	0.28115035533178967	-0.28115035533178967	0.4665924544603581	0.5767593236120279	0.24620842032519663
PT5	PTC	8962	4700.5	-0.1380985034535358	0.1380985034535358	-0.5797656882819556	-0.5964100280372913	-0.058099541917084656
PT7	PTC	9479	6663.0	1.3663818469395514	-1.3663818469395514	1.6864825729004713	1.6477418892712041	0.9895829813055403
PT8	PTC	8209	7094.0	1.0279534661683551	-1.0279534661683551	0.918422035243854	1.40090416897949	0.016723626844485986
PT9	PTC	5421	4781.0	-0.11952803145155527	0.11952803145155527	-0.21298290574343082	-0.10715205068435052	0.35143655142579305
AT9	ATC	3197	11884.0	0.05088639419787354	-0.05088639419787354	0.4616781321991289	0.9930899857568962	-0.5336186810071054
AT13	ATC	7143	5794.0	-0.9783485925741752	0.9783485925741752	-0.8934600839243112	-1.029245336399429	0.01916248458591822
AT16	ATC	8708	5783.0	-0.9061188212826903	0.9061188212826903	-0.4101982667278011	-1.0835234021119757	-0.3860070557280606
AT17	ATC	9923	3132.0	-0.8723917782521013	0.8723917782521013	-0.9266469533982459	-0.9283768207565257	-0.9215401542298137
AT20	ATC	6395	7225.0	0.6398007183562155	-0.6398007183562155	0.3316882433475631	0.4137813046371961	0.30578485796282656
