gene_symbol	present	mean_log2_rpkm_dmso	mean_log2_rpkm_THZ531_100nM	delta_THZ531_100nM_minus_dmso	mean_log2_rpkm_THZ531_400nM	delta_THZ531_400nM_minus_dmso
DIO1	True	3.932598509672065	1.1081757318505172	-2.824422777821548	2.3316763507656013	-1.6009221589064637
DIO2	True	0.7134502327419024	2.105473302510063	1.3920230697681606	1.2823620303668275	0.568911797624925
DNMT1	True	14.157490528180155	14.550439638667468	0.3929491104873133	14.609524278172247	0.45203374999209167
DNMT3B	True	8.95664736495542	8.351769851669527	-0.6048775132858939	6.705804268961623	-2.2508430959937975
DUOX1	True	5.230350176705444	1.4678033444506389	-3.762546832254805	3.7527583335467964	-1.4775918431586472
DUOX2	True	3.7267445136979216	4.657466394037014	0.9307218803390924	5.115486337612639	1.3887418239147173
FOSL1	True	14.672686892565773	13.771838955181362	-0.9008479373844107	14.03983557432788	-0.6328513182378934
FOXE1	True	6.68721274575214	4.866234272341355	-1.8209784734107846	3.8588413858585846	-2.828371359893555
GLIS3	True	6.363324007622052	6.901636562743194	0.5383125551211423	6.438861675833664	0.07553766821161201
HHEX	True	11.725116988503698	14.130982954957565	2.4058659664538666	13.599354102010754	1.8742371135070552
IYD	True	0.4415531958397979	2.4910282052066712	2.049475009366873	2.9553289504611597	2.5137757546213617
JUNB	False					
NKX2-1	False					
PAX8	True	11.2350311884809	12.184636534530874	0.9496053460499745	10.729897814164758	-0.5051333743161415
SLC26A4	True	4.417005643721034	2.6249411853925544	-1.79206445832848	0.0	-4.417005643721034
SLC5A5	True	0.4415531958397979	0.0	-0.4415531958397979	2.577139986972979	2.135586791133181
STAT3	True	11.84276179365124	11.718731367131632	-0.12403042651960838	12.080454625295701	0.23769283164446087
TACSTD2	True	0.4415531958397979	2.332986004004199	1.8914328081644012	2.66225479027931	2.220701594439512
TFF3	True	1.9294617501711957	5.777883042599701	3.848421292428505	6.275032636081599	4.345570885910403
TG	True	1.1447839610630968	0.8844855598309177	-0.26029840123217907	2.774374547897843	1.6295905868347462
TPO	True	1.1447839610630968	1.3549007228650287	0.21011676180193195	1.2437349959259159	0.09895103486281909
TSHR	True	3.0776236005665223	0.84284146493592	-2.2347821356306024	0.0	-3.0776236005665223
