axis	dataset	contrast	cohens_d	expected_sign	direction_consistent
RAI_8_score	GSE33630	ATC_vs_PTC	-3.906222721293721	-1	True
RAI_8_score	GSE33630	ATC_vs_normal	-5.480962694826568	-1	True
RAI_8_score	GSE29265	ATC_vs_PTC	-1.5646096055745051	-1	True
RAI_8_score	GSE29265	ATC_vs_normal	-2.293572041424231	-1	True
RAI_8_score	GSE65144	ATC_vs_normal	-2.792109428622088	-1	True
RAI_8_score	GSE53157	PDTC_vs_PTC	-0.2792958526875265	-1	True
DM1_like_score	GSE33630	ATC_vs_PTC	3.906222721293721	1	True
DM1_like_score	GSE33630	ATC_vs_normal	5.480962694826568	1	True
DM1_like_score	GSE29265	ATC_vs_PTC	1.5646096055745051	1	True
DM1_like_score	GSE29265	ATC_vs_normal	2.293572041424231	1	True
DM1_like_score	GSE65144	ATC_vs_normal	2.792109428622088	1	True
DM1_like_score	GSE53157	PDTC_vs_PTC	0.2792958526875265	1	True
THYROID_NONOVERLAP_score	GSE33630	ATC_vs_PTC	-4.216006245412538	-1	True
THYROID_NONOVERLAP_score	GSE33630	ATC_vs_normal	-6.72256263528777	-1	True
THYROID_NONOVERLAP_score	GSE29265	ATC_vs_PTC	-1.514696075443147	-1	True
THYROID_NONOVERLAP_score	GSE29265	ATC_vs_normal	-2.6629003334151977	-1	True
THYROID_NONOVERLAP_score	GSE65144	ATC_vs_normal	-3.531113263095904	-1	True
THYROID_NONOVERLAP_score	GSE53157	PDTC_vs_PTC	0.1548726127053753	-1	False
TDS_like_score	GSE33630	ATC_vs_PTC	-4.201519360482372	-1	True
TDS_like_score	GSE33630	ATC_vs_normal	-4.80813781058698	-1	True
TDS_like_score	GSE29265	ATC_vs_PTC	-2.2089842757219	-1	True
TDS_like_score	GSE29265	ATC_vs_normal	-2.6299922128444626	-1	True
TDS_like_score	GSE65144	ATC_vs_normal	-2.934456776891928	-1	True
TDS_like_score	GSE53157	PDTC_vs_PTC	-0.1991001231458425	-1	True
TF_collapse_score	GSE33630	ATC_vs_PTC	-4.201519360482372	-1	True
TF_collapse_score	GSE33630	ATC_vs_normal	-4.80813781058698	-1	True
TF_collapse_score	GSE29265	ATC_vs_PTC	-2.2089842757219	-1	True
TF_collapse_score	GSE29265	ATC_vs_normal	-2.6299922128444626	-1	True
TF_collapse_score	GSE65144	ATC_vs_normal	-2.934456776891928	-1	True
TF_collapse_score	GSE53157	PDTC_vs_PTC	-0.1991001231458425	-1	True
STAT3_AP1_DNMT_score	GSE33630	ATC_vs_PTC	1.1874656318240644	1	True
STAT3_AP1_DNMT_score	GSE33630	ATC_vs_normal	1.655310147218713	1	True
STAT3_AP1_DNMT_score	GSE29265	ATC_vs_PTC	1.1954259570816692	1	True
STAT3_AP1_DNMT_score	GSE29265	ATC_vs_normal	1.1413363730705752	1	True
STAT3_AP1_DNMT_score	GSE65144	ATC_vs_normal	1.1995985115670176	1	True
STAT3_AP1_DNMT_score	GSE53157	PDTC_vs_PTC	-1.0800923602760826	1	False
