dataset	contrast	score	group_a	group_b	n_a	n_b	mean_a	mean_b	cohen_d_a_minus_b	p_mwu	expected_sign_for_a_minus_b	direction_match	note
GSE60542	PTC_primary_vs_normal_thyroid	RAI_8_score	PTC_primary	normal_thyroid	33	30	0.035741484544471444	0.6510870975978572	-2.1242068786296446	2.236732349651e-09	-1	True	PTC primary vs normal thyroid
GSE60542	PTC_primary_vs_normal_thyroid	DM1_like_score	PTC_primary	normal_thyroid	33	30	-0.035741484544471444	-0.6510870975978572	2.1242068786296446	2.236732349651e-09	1	True	PTC primary vs normal thyroid
GSE60542	PTC_primary_vs_normal_thyroid	THYROID_NONOVERLAP_score	PTC_primary	normal_thyroid	33	30	-0.011470096280008609	0.7660622658803109	-2.404113356157452	1.462735096700009e-09	-1	True	PTC primary vs normal thyroid
GSE60542	PTC_primary_vs_normal_thyroid	TF_collapse_score	PTC_primary	normal_thyroid	33	30	0.1635880018630952	0.4924641361393489	-1.0067796201002426	0.00013401111106587242	-1	True	PTC primary vs normal thyroid
GSE60542	PTC_primary_vs_normal_thyroid	STAT3_AP1_DNMT_score	PTC_primary	normal_thyroid	33	30	0.14562069919703713	-0.14841202760742628	0.6695301525978241	0.000461015911563602	1	True	PTC primary vs normal thyroid
GSE60542	LNM_vs_PTC_primary	RAI_8_score	LNM	PTC_primary	23	33	-0.4500373440672308	0.035741484544471444	-0.8536377387298217	0.005996056096492168	-1	True	Lymph-node metastasis vs primary PTC; lymphoid confounded
GSE60542	LNM_vs_PTC_primary	DM1_like_score	LNM	PTC_primary	23	33	0.4500373440672308	-0.035741484544471444	0.8536377387298217	0.005996056096492168	1	True	Lymph-node metastasis vs primary PTC; lymphoid confounded
GSE60542	LNM_vs_PTC_primary	THYROID_NONOVERLAP_score	LNM	PTC_primary	23	33	-0.5641231787927319	-0.011470096280008609	-0.9755151124634291	0.0027192278245043535	-1	True	Lymph-node metastasis vs primary PTC; lymphoid confounded
GSE60542	LNM_vs_PTC_primary	TF_collapse_score	LNM	PTC_primary	23	33	-0.4031641512013139	0.1635880018630952	-0.7827218795075348	0.01647353151050867	-1	True	Lymph-node metastasis vs primary PTC; lymphoid confounded
GSE60542	LNM_vs_PTC_primary	STAT3_AP1_DNMT_score	LNM	PTC_primary	23	33	0.03472873965159999	0.14562069919703713	-0.26971692781488865	0.4535837814017116	1	False	Lymph-node metastasis vs primary PTC; lymphoid confounded
GSE60542	PTC_N1_vs_PTC_N0	RAI_8_score	PTC_primary:N1	PTC_primary:N0	19	14	0.032118801442761205	0.04065798303964962	-0.028864826754736988	0.5723448299778278	-1	True	N1 primary PTC vs N0 primary PTC
GSE60542	PTC_N1_vs_PTC_N0	DM1_like_score	PTC_primary:N1	PTC_primary:N0	19	14	-0.032118801442761205	-0.04065798303964962	0.028864826754736988	0.5723448299778278	1	True	N1 primary PTC vs N0 primary PTC
GSE60542	PTC_N1_vs_PTC_N0	THYROID_NONOVERLAP_score	PTC_primary:N1	PTC_primary:N0	19	14	0.0038520345114294117	-0.03226441663981734	0.09792479032482072	0.7021112948557404	-1	False	N1 primary PTC vs N0 primary PTC
GSE60542	PTC_N1_vs_PTC_N0	TF_collapse_score	PTC_primary:N1	PTC_primary:N0	19	14	0.17860750127552766	0.14320439551765113	0.1135847036788716	0.7021112948557404	-1	False	N1 primary PTC vs N0 primary PTC
GSE60542	PTC_N1_vs_PTC_N0	STAT3_AP1_DNMT_score	PTC_primary:N1	PTC_primary:N0	19	14	0.08278999554669741	0.2308909398653554	-0.4094140567660518	0.3344013453480985	1	False	N1 primary PTC vs N0 primary PTC
GSE60542	LNM_vs_normal_lymph_node	RAI_8_score	LNM	normal_lymph_node	23	4	-0.4500373440672308	-2.2819609386937216	2.366627289816481	0.0013675213675213675	-1	False	LNM vs normal lymph node; tissue-composition control
