sample_id	group	n_probes	mean_beta	median_beta	detection_fail_rate_p001	detection_fail_rate_p005
NT1	normal_thyroid	865918	0.5507263025316604	0.667906375284191	0.0009654493843527909	0.0005289184426238975
NT2	normal_thyroid	865918	0.5523463665135341	0.6588544770999787	0.0012633990747391785	0.0008880748523532251
NT3	normal_thyroid	865918	0.556379446758433	0.6682597119532234	0.0010555271977254197	0.0007795195388015956
NT4	normal_thyroid	865918	0.5762109595328284	0.7727995211759281	0.0011040306356952967	0.0007829840700851582
Case1	ATC	865918	0.5244118801980665	0.561354640492128	0.0011467598548592361	0.0008395714143833481
Case12	ATC	865918	0.5018874844510898	0.5630449362843729	0.14420187592820569	0.05219662831815484
Case7	ATC	865918	0.5408895821260299	0.6359078385499974	0.02724738370145903	0.00808044179702928
Case9	ATC	865918	0.5184961200752902	0.5789331944111872	0.004181689259260115	0.0016317942345580067
Case4	ATC	865918	0.5470339752556649	0.6625771196440126	0.006703868033693721	0.0013119025127090555
Case13	ATC	865918	0.5197271970877629	0.6299635683227683	0.0039368623818883544	0.0011144242295459848
Case8	ATC	865918	0.5356968803904223	0.5983650134807676	0.010527555726985697	0.003515344409054899
Case2	ATC	865918	0.4862749292793987	0.516396610429993	0.0250335482112625	0.008351830080908354
Case3	ATC	865918	0.49424875443207256	0.5343390468597055	0.014984097801408447	0.004054656445529484
Case14	ATC	865918	0.4931757584207305	0.5275713740949548	0.0062199884977561385	0.002156093302137154
