dataset	sample_id	histology	gene_symbol	present_in_file	n_cells	mean_raw_count	pct_cells_detected	mean_log1p_cpm10k
GSE232237	PT10	PTC	DIO1	True	4709	0.006370779358674878	0.0027606710554257804	0.002127902794379019
GSE232237	PT10	PTC	DIO2	True	4709	0.11233807602463368	0.03164153748141856	0.0357739304428694
GSE232237	PT10	PTC	DNMT1	True	4709	0.6572520705032916	0.37545126353790614	0.421364068913006
GSE232237	PT10	PTC	DNMT3B	True	4709	0.008282013166277342	0.007857294542365683	0.005656998665794064
GSE232237	PT10	PTC	DUOX1	True	4709	0.08409428753450839	0.041197706519430874	0.023575626182136347
GSE232237	PT10	PTC	DUOX2	True	4709	0.02314716500318539	0.01444043321299639	0.008383267928441495
GSE232237	PT10	PTC	FOSL1	True	4709	0.27734126141431303	0.12529199405393926	0.10878470461211835
GSE232237	PT10	PTC	FOXE1	True	4709	0.3881928222552559	0.06370779358674877	0.07561798787363147
GSE232237	PT10	PTC	GLIS3	True	4709	0.10108303249097472	0.062433637715013805	0.04526037919181123
GSE232237	PT10	PTC	HHEX	True	4709	0.21320874920365257	0.104480781482268	0.08747006087692431
GSE232237	PT10	PTC	IYD	True	4709	0.4733489063495434	0.053514546612868974	0.07246314236259874
GSE232237	PT10	PTC	JUNB	True	4709	13.51985559566787	0.9152686345296241	2.5300587707915416
GSE232237	PT10	PTC	NKX2-1	True	4709	0.4223826714801444	0.06285835633892546	0.07432537290081079
GSE232237	PT10	PTC	PAX8	True	4709	0.7564238691866638	0.08069653854321512	0.11544116031280112
GSE232237	PT10	PTC	SLC26A4	True	4709	0.05308982798895732	0.010830324909747292	0.012907180813633142
GSE232237	PT10	PTC	SLC5A5	True	4709	0.004034826927160756	0.0036101083032490976	0.003878235694093674
GSE232237	PT10	PTC	STAT3	True	4709	1.7636440857931621	0.6770014865151837	0.9902266827795684
GSE232237	PT10	PTC	TACSTD2	True	4709	2.5767678912720324	0.12975153960501168	0.21723013279759626
GSE232237	PT10	PTC	TFF3	True	4709	1.1359099596517308	0.050116797621575705	0.0750510688974846
GSE232237	PT10	PTC	TG	True	4709	3.9571034189849223	0.1146740284561478	0.2291804748417215
GSE232237	PT10	PTC	TPO	True	4709	0.18878742832873222	0.022085368443406243	0.03006936960511161
GSE232237	PT10	PTC	TSHR	True	4709	0.4584837545126354	0.057974092163941386	0.08184121808375162
GSE232237	PT12	PTC	DIO1	True	4118	0.0048567265662943174	0.0031568722680913063	0.002032175885389833
GSE232237	PT12	PTC	DIO2	True	4118	0.030354541039339485	0.011898980087421079	0.010613816901393127
GSE232237	PT12	PTC	DNMT1	True	4118	0.501699854298203	0.2955318115590092	0.3628946542318403
GSE232237	PT12	PTC	DNMT3B	True	4118	0.003885381253035454	0.0029140359397765905	0.0017289455088411445
GSE232237	PT12	PTC	DUOX1	True	4118	0.06313744536182612	0.027197668771248178	0.018591128963888936
GSE232237	PT12	PTC	DUOX2	True	4118	0.0398251578436134	0.016755706653715396	0.0118465653228911
GSE232237	PT12	PTC	FOSL1	True	4118	0.11364740165128703	0.047595920349684316	0.04225401063012011
GSE232237	PT12	PTC	FOXE1	True	4118	0.19936862554638174	0.0398251578436134	0.04322934962494339
GSE232237	PT12	PTC	GLIS3	True	4118	0.05026711996114619	0.02962603205439534	0.020202310353439966
GSE232237	PT12	PTC	HHEX	True	4118	0.1789703739679456	0.09082078678970373	0.09751832995279631
GSE232237	PT12	PTC	IYD	True	4118	0.1590577950461389	0.03011170471102477	0.03610053614695492
GSE232237	PT12	PTC	JUNB	True	4118	11.337542496357456	0.8047595920349684	2.3305034208596593
GSE232237	PT12	PTC	NKX2-1	True	4118	0.29261777561923263	0.04541039339485187	0.057416904429740734
GSE232237	PT12	PTC	PAX8	True	4118	0.45944633317144246	0.06459446333171442	0.08427792514222301
GSE232237	PT12	PTC	SLC26A4	True	4118	0.06410879067508499	0.017727051966974258	0.015892977772536038
GSE232237	PT12	PTC	SLC5A5	True	4118	0.0029140359397765905	0.0029140359397765905	0.00299179483276084
GSE232237	PT12	PTC	STAT3	True	4118	1.4939290917921322	0.5990772219524041	0.9385098978430516
GSE232237	PT12	PTC	TACSTD2	True	4118	0.46308887809616317	0.04176784847013113	0.05356007367230897
GSE232237	PT12	PTC	TFF3	True	4118	0.2850898494414764	0.021855269548324428	0.03528542591106501
