gene_symbol	mean_log1p_cpm10k_atc	mean_log1p_cpm10k_ptc	delta_atc_minus_ptc	p_mwu
DIO1	0.0006744837656123106	0.0015162955141198	-0.0008418117485074895	0.07323232323232323
DIO2	0.08025835751233185	0.07139422078054566	0.008864136731786182	1.0
DNMT1	0.3355018365252391	0.3627617664685646	-0.02725992994332549	0.3434343434343435
DNMT3B	0.006813675905440161	0.004702197233114302	0.002111478672325859	0.148989898989899
DUOX1	0.022980688416103876	0.07929302023661815	-0.056312331820514275	0.10606060606060606
DUOX2	0.013032075611195066	0.07095019165690195	-0.05791811604570688	0.030303030303030304
FOSL1	0.06821530640222932	0.13731154379329455	-0.06909623739106523	0.07323232323232323
FOXE1	0.05196146608164687	0.1674552027929729	-0.11549373671132604	0.07323232323232323
GLIS3	0.05301757161133682	0.06381287108540384	-0.010795299474067023	0.8762626262626263
HHEX	0.11578614445505522	0.15438146909890718	-0.03859532464385196	0.20202020202020204
IYD	0.13024247492035512	0.08961673702301079	0.04062573789734433	0.10377055126579915
JUNB	2.1156311060122652	2.5084175436589686	-0.3927864376467034	0.030303030303030304
NKX2-1	0.19820470186877615	0.23719124047747517	-0.03898653860869902	0.4318181818181819
PAX8	0.20051072713197318	0.34012580714400664	-0.13961508001203346	0.26767676767676774
SLC26A4	0.016981801049178936	0.030575805737555646	-0.01359400468837671	0.26767676767676774
SLC5A5	0.001356692079849303	0.0026467329249199698	-0.0012900408450706668	0.4318181818181819
STAT3	0.7369995505640736	0.8681504337822743	-0.13115088321820068	0.148989898989899
TACSTD2	0.43041121857817066	0.4877648009515303	-0.057353582373359635	0.5303030303030304
TFF3	0.007523835164730014	0.05029903024223852	-0.04277519507750851	0.005050505050505051
TG	0.23907568868381954	0.7665022726816465	-0.5274265839978269	0.148989898989899
TPO	0.020005689110594756	0.03115873738017804	-0.011153048269583285	0.3434343434343435
TSHR	0.16488142403687026	0.24668423754685873	-0.08180281350998847	0.20202020202020204
