sample_id	histology	source_file	n_cells	n_epithelial_enriched	pct_epithelial_enriched	n_immune_like	n_stromal_like	median_umi_all	median_umi_epithelial
PT10	PTC	GSM7324266_PT10.count.tsv.gz	4709	378	0.08027181991930346	3576	690	4606.0	19025.5
PT12	PTC	GSM7324267_PT12.count.tsv.gz	4118	187	0.04541039339485187	3610	178	4226.0	19305.0
PT3	PTC	GSM7324268_PT3.count.tsv.gz	8540	3628	0.42482435597189694	2885	1953	7031.5	11198.5
PT5	PTC	GSM7324269_PT5.count.tsv.gz	8962	642	0.07163579558134345	7809	405	4700.5	22873.5
PT7	PTC	GSM7324270_PT7.count.tsv.gz	9479	3767	0.39740478953476105	3211	2446	6663.0	13659.0
PT8	PTC	GSM7324271_PT8.count.tsv.gz	8209	3075	0.3745888658789134	4132	931	7094.0	13131.0
PT9	PTC	GSM7324272_PT9.count.tsv.gz	5421	899	0.16583656152001475	3163	1242	4781.0	21844.0
AT9	ATC	GSM7324273_AT9.count.tsv.gz	3197	1103	0.3450109477635283	696	1389	11884.0	24039.0
AT13	ATC	GSM7324274_AT13.count.tsv.gz	7143	218	0.030519389612207754	6194	583	5794.0	2710.5
AT16	ATC	GSM7324275_AT16.count.tsv.gz	8708	76	0.008727606798346348	6341	2242	5783.0	12459.5
AT17	ATC	GSM7324276_AT17.count.tsv.gz	9923	819	0.08253552353119016	8517	230	3132.0	3088.0
AT20	ATC	GSM7324277_AT20.count.tsv.gz	6395	2234	0.3493354182955434	2629	1509	7225.0	14140.0
