	source_file	title	treatment	replicate
GSM4085080	GSM4085080_DMSO_rep1.txt.gz	DMSO rep1	DMSO	rep1
GSM4085081	GSM4085081_DMSO_rep2.txt.gz	DMSO rep2	DMSO	rep2
GSM4085082	GSM4085082_100_rep1.txt.gz	100 rep1	THZ531_100nM	rep1
GSM4085083	GSM4085083_100_rep2.txt.gz	100 rep2	THZ531_100nM	rep2
GSM4085084	GSM4085084_400_rep1.txt.gz	400 rep1	THZ531_400nM	rep1
GSM4085085	GSM4085085_400_rep2.txt.gz	400 rep2	THZ531_400nM	rep2
