gene_symbol	PT10	PT12	PT3	PT5	PT7	PT8	PT9	AT9	AT13	AT16	AT17	AT20
DIO1	0.002127902794379019	0.002032175885389833	0.0013052679733452249	0.0007624352178928137	0.002650185534633775	0.0009243236422268058	0.0008117775509711311	0.0004566365054864675	0.00021218468715506188	0.0008825735290349036	0.00012559207577000496	0.001695432030615115
DIO2	0.0357739304428694	0.010613816901393127	0.09027245751006815	0.02912168995850875	0.15117498172939045	0.12516789718295096	0.057634771738638804	0.09772649363987652	0.022668300980503167	0.17495623204642038	0.007825745240217724	0.09811501565464141
DNMT1	0.421364068913006	0.3628946542318403	0.36113353536382437	0.351782057807459	0.3098536478117748	0.3338617826854436	0.39844261846660434	0.26581401122013665	0.4722609350332351	0.3018943862527833	0.2751320503616805	0.36240779975835996
DNMT3B	0.005656998665794064	0.0017289455088411445	0.006688467802855742	0.004049393757037188	0.006326609142565442	0.0043782982571390185	0.004086667497567516	0.009693989932524688	0.006054957708689693	0.008795479446151252	0.002368634492894354	0.007155317946940826
DUOX1	0.023575626182136347	0.018591128963888936	0.14034593628593045	0.025317971825014565	0.14860586896329062	0.1659998381914375	0.03261477124462858	0.07672463118221172	0.0009789871842964461	0.004027980348105296	0.007089016019433614	0.026082827346472316
DUOX2	0.008383267928441495	0.0118465653228911	0.07325249787691082	0.012012229115657129	0.2300884874458164	0.13411672202155672	0.02695157188703999	0.05824902989440632	0.00046824727712233303	0.0003362179906964901	0.0021598194845718257	0.003947063409178356
FOSL1	0.10878470461211835	0.04225401063012011	0.12604268612195307	0.09819653490240823	0.23632455260468777	0.18656383081708913	0.16301448686468506	0.02375108356655926	0.03590186919796951	0.08545806884145685	0.05323872996071961	0.14272678044444145
FOXE1	0.07561798787363147	0.04322934962494339	0.1792798688731784	0.06731753443337014	0.34105346825732996	0.32519764235998855	0.14049056812836844	0.13865815834731673	0.0003651634593501698	0.0005223455371084304	0.012994056176259849	0.10726760688819917
GLIS3	0.04526037919181123	0.020202310353439966	0.062276270210907245	0.028375904606157232	0.13594649477049153	0.09486522966277366	0.05976350880224599	0.11143324202046564	0.012820926418930303	0.06314282265999314	0.007698089677745857	0.06999277727954917
HHEX	0.08747006087692431	0.09751832995279631	0.16621958156700886	0.0742103500239477	0.2688144310923866	0.26125508475984816	0.12518244541943824	0.34213795363119825	0.05495359042193771	0.04319877563974645	0.05032941872892951	0.08831098385346417
IYD	0.07246314236259874	0.03610053614695492	0.22087861982269233	0.03806356512914232	0.09654566938391809	0.07117581154274279	0.0920898147730264	0.03332202967875007	0.0	0.0	0.009560056513984248	0.6083302884090412
JUNB	2.5300587707915416	2.3305034208596593	2.364736206275355	2.3967257433773965	2.9610937314326486	2.476517512376316	2.499287420499866	1.803121678999127	2.061331675321493	1.9628693502161212	2.3800277433033354	2.370805082221247
NKX2-1	0.07432537290081079	0.057416904429740734	0.34216761029135523	0.08877932535501465	0.4823290659107246	0.4836553081092804	0.13166509634539952	0.4924629110915997	0.002115816732519325	0.0	0.04652654546029403	0.4499182360594677
PAX8	0.11544116031280112	0.08427792514222301	0.4848117303728055	0.1456079678257223	0.7291003971586741	0.54813739450425	0.2735040746915707	0.3527715295876132	0.03085941132388405	0.010970535597243957	0.0578946495555015	0.5500575095956233
SLC26A4	0.012907180813633142	0.015892977772536038	0.027265084896999834	0.019409432566609028	0.06984366452505898	0.06468811342193206	0.0040241861661204446	0.0332264140299854	0.0003778077130967225	0.00038497325432284375	0.0015578135591655655	0.04936199668932416
SLC5A5	0.003878235694093674	0.00299179483276084	0.001185954625775322	0.005373547111959745	0.0008354707754998444	0.0008126958442239464	0.0034494315901264184	0.0	0.0017738352525848297	0.0016685594913120325	0.0020809469747522366	0.0012601186805974163
STAT3	0.9902266827795684	0.9385098978430516	0.6722952757642283	0.962416447640006	0.9067012422433998	0.684489839808427	0.9224136503972392	0.6369650223810187	0.9466569771795518	0.8014384050602442	0.6257467039029332	0.6741906442966199
TACSTD2	0.21723013279759626	0.05356007367230897	1.0515865188670888	0.1577680721701201	1.0418816323009898	0.526948615895056	0.36537856095755206	0.8605388880129755	0.06792275744062772	0.044332618073475764	0.19401460160870315	0.9852472277550711
TFF3	0.0750510688974846	0.03528542591106501	0.04726892169711395	0.01194129785896353	0.11864101924039006	0.01770200699914008	0.04620347109151238	0.010543419209462801	0.006757130393110133	0.0	0.005207769192215111	0.015110857028862022
TG	0.2291804748417215	0.13964600795223361	0.9762406003416263	0.2614212916629512	2.05649772098144	1.291000354160874	0.41152945883067876	0.5122722368375748	0.002184684074903144	0.003175594207957158	0.10784417193646922	0.5699017563621932
TPO	0.03006936960511161	0.019156106261190495	0.013738381884911775	0.024159653434370303	0.0420094116380624	0.06718198260219563	0.021796256235404064	0.03681429043720137	0.003034011075775364	0.0005002809929470118	0.003142883438954101	0.056536979608095936
TSHR	0.08184121808375162	0.07000266827393607	0.32733945275742715	0.11699780380504478	0.4725191349576012	0.5744360306217486	0.08365335432850159	0.30650852612950746	0.008601198429414592	0.0076242176988948205	0.031282079809340564	0.47039109811719376
