dataset	x	y	rho	p	n
GSE60542	DM1_like_score	THYROID_NONOVERLAP_score	-0.9080498743892853	8.930918920102071e-36	92
GSE60542	DM1_like_score	TF_collapse_score	-0.7765054020313487	9.504348022662353e-20	92
