class	n	DM1_n	DM2_n	age_mean	PFI_events	PFI_n	PFI_event_rate
Class1_BRAF_V600E	291	1	0	48.283695327337064	34	291	0.11683848797250859
Class2_RAS_hotspot	54	0	0	46.051838363488436	7	54	0.12962962962962962
Class4_DICER1_EIF1AX	7	1	6	52.58511782536423	1	7	0.14285714285714285
Class5_TERT_only	5	4	1	54.37426420260097	2	5	0.4
Class6_True_driver_neg	125	76	48	46.354057966135926	6	125	0.048
