gene	DM1_n	DM1_pct	DM2_n	DM2_pct	OR_DM1_vs_DM2	p
DICER1	0	0.0	2	3.6363636363636362	0.0	0.16176470588235292
TP53	0	0.0	2	3.6363636363636362	0.0	0.16176470588235292
EIF1AX	1	1.2345679012345678	3	5.454545454545454	0.21666666666666667	0.3029104807673265
CHEK2	2	2.4691358024691357	0	0.0	inf	0.514705882352941
BRAF	1	1.2345679012345678	1	1.8181818181818181	0.675	1.0
