driver_class	DM1	DM2	
Class1_BRAF_V600E	1	0	290
Class2_RAS_hotspot	0	0	54
Class4_DICER1_EIF1AX	1	6	0
Class5_TERT_only	4	1	0
Class6_True_driver_neg	76	48	1
