class	n	events	rate
True driver-neg	125	6	4.8
BRAF V600E	291	34	11.683848797250858
RAS hotspot	54	7	12.962962962962962
DICER1/EIF1AX	7	1	14.285714285714285
TERT-only	5	2	40.0
