sample	n_cells	r	p
PTC5	1588	0.8861954929529338	0.0
PTC3	216	0.8830643603120951	2.9550029109646684e-72
PTC8	5225	0.8783672797922467	0.0
PTC9	4346	0.851600388898553	0.0
PTC1	37	0.8410284578613733	7.226143318657432e-11
PTC10	10409	0.7978235784843946	0.0
