cohort	group	n	events	median_os_days
MSK-thyroid-2016	BRAF-/TERT-	0	0	
MSK-thyroid-2016	BRAF+/TERT-	17	4	2330.182
MSK-thyroid-2016	BRAF-/TERT+	0	0	
MSK-thyroid-2016	BRAF+/TERT+	26	18	398.003
TCGA-THCA	BRAF-/TERT-	208	7	910.0
TCGA-THCA	BRAF+/TERT-	253	3	963.0
TCGA-THCA	BRAF-/TERT+	10	1	721.0
TCGA-THCA	BRAF+/TERT+	26	5	1364.5
COMBINED	BRAF-/TERT-	208	7	910.0
COMBINED	BRAF+/TERT-	270	7	1018.0
COMBINED	BRAF-/TERT+	10	1	721.0
COMBINED	BRAF+/TERT+	52	23	808.5524
