sample_id	stage	n_spots	HT13_pb	HT13_breadth	CXCL13_mean	CD79A_mean	HLA_DRA_mean	IFNG_mean	TLS_coverage_pct	n_TLS_spots	MAPK_z_within	TDS_z_within	G8_z_within	HT_z_within	inferred_driver
GSM7980860_N-1	PT	3395	0.15990429042050472	0.00471281296023564	0.003933332394808531	0.010081043466925621	0.5801680684089661	0.001327452133409679	0.0	0	-1.592719956548997	1.2476669219350771	1.2282036404009604	-1.4180754184239293	RAS_like
GSM7980861_N-2	PT	3780	0.23294035530684945	0.034656084656084656	0.002237089443951845	0.007279917597770691	0.6446967124938965	0.000981765566393733	0.07936507936507936	3	-1.5505197770419852	1.4404684783467494	1.3180532984765074	-1.0286586340913204	RAS_like
GSM7980862_N-3	PT	4538	0.15168677497422323	0.008373732921992068	0.0	0.009217693470418453	0.477604478597641	0.0004503161762841046	0.0	0	-1.3217483661907183	1.1336089874530122	1.1893298661878864	-1.461889915347801	RAS_like
GSM7980863_N-4	PT	3027	0.15432059330767237	0.004625041295011563	0.0	0.009353131987154484	0.4355809986591339	0.00020901943207718432	0.0	0	-1.388285312449796	1.5837141105552122	1.6238224659337397	-1.4478468111974874	RAS_like
GSM7980864_PTC-1	PTC	2262	0.6116961765891085	0.2917771883289125	0.06339695304632187	0.26226741075515747	2.2106568813323975	0.004631859250366688	2.8735632183908044	65	-0.1467754348502921	-0.4823805252293717	-0.4075484692179498	0.9908076966935676	ambiguous
GSM7980865_PTC-2	PTC	4947	0.48930866066187334	0.22215484131797048	0.0005319308838807046	0.036859750747680664	1.4931548833847046	0.0007899365737102926	0.0	0	0.8219830057504542	0.0619768383532592	0.0860261147365518	0.3382567553332177	BRAF_like
GSM7980866_PTC-3	PTC	4516	0.3967268702153188	0.1379539415411869	0.004509699996560812	0.033743735402822495	1.3299413919448853	0.0005576845142059028	0.24357838795394152	11	0.791767354171954	0.4032189716820483	0.1972910254978168	-0.1553747564350645	ambiguous
GSM7980867_PTC-4	PTC	4498	0.2535153637962559	0.026678523788350377	0.000971888774074614	0.004493636079132557	0.9308322072029114	0.0	0.0	0	0.0244283678707119	-0.0702403222823642	-0.0476111642072367	-0.9189559323366588	ambiguous
GSM7980868_LPTC-1	LPTC	1520	0.578309416027668	0.3888157894736842	0.001836727955378592	0.005509214475750923	1.9596258401870728	0.0	0.0	0	0.8433552983956827	0.2540048183055328	0.2266095887540452	0.8127947525768356	ambiguous
GSM7980869_LPTC-2	LPTC	4071	0.5963740930646264	0.22328666175386883	0.006697432603687048	0.07897815108299255	2.127403497695923	0.0026376252062618732	0.09825595676737901	4	0.527766494760376	-0.4010960856906763	-0.3810925303079971	0.9091127627638096	BRAF_like
GSM7980870_LPTC-3	LPTC	3336	0.5532157470633348	0.18375299760191846	0.0031744793523103	0.012310265563428402	1.9942576885223389	0.00017007964197546244	0.0	0	0.2419248484520921	-0.2729487429212088	-0.1621108756380042	0.6789992655061093	ambiguous
GSM7980871_LPTC-4	LPTC	4707	0.33843110385127007	0.13023157000212449	0.001236277399584651	0.03666646406054497	1.2176661491394043	0.0004912808653898537	0.08497981729339282	4	1.0787176924013602	0.0018927105911049	0.1463321261490043	-0.466198592755103	BRAF_like
GSM7980872_ATC-1	ATC	4715	0.5479196597947381	0.1919406150583245	0.09147340804338455	0.008367464877665043	2.28402042388916	0.0070795523934066296	0.06362672322375398	3	0.79974824073311	-1.422197583537453	-1.464701730059281	0.6507613630822704	BRAF_like
GSM7980873_ATC-2	ATC	2354	0.5992373188671011	0.3220050977060323	0.1197187751531601	0.01952342316508293	2.489189624786377	0.07666803151369095	0.2548853016142736	6	-0.6152187360941614	-1.5353885857186331	-1.5699888927735954	0.9243790313744328	ambiguous
GSM7980874_ATC-3	ATC	1621	0.4410603238121929	0.5459592843923504	0.02494218945503235	0.005329207517206669	1.3030654191970825	0.006964694708585739	0.0	0	1.3455237462427323	-1.5210940528744228	-1.5694018533052687	0.0810042292745208	BRAF_like
GSM7980875_ATC-4	ATC	2586	0.7092377902545894	0.257153905645785	0.02351994439959526	0.012383625842630863	2.3291819095611572	0.00017074833158403635	0.038669760247486466	1	0.1400525343974779	-0.4212059389678662	-0.413212610627179	1.5108842039825991	ambiguous
