subset	n	metric	HIGH_n	LOW_n	HIGH_mean	LOW_mean	delta	MWU_p	rho	rho_p
ALL_PTLPTC_n8	8	HLA_DRA_mean	4	4	2.072985976934433	1.2428986579179764	0.8300873190164566	0.02857142857142857	0.9761904761904763	3.314396026200098e-05
ALL_PTLPTC_n8	8	CXCL13_mean	4	4	0.0187763982394244	0.001812449263525175	0.016963948975899226	0.11428571428571428	0.7142857142857144	0.046528232284167255
ALL_PTLPTC_n8	8	CD79A_mean	4	4	0.08976626046933231	0.027940896572545098	0.06182536389678721	0.6857142857142857	0.5952380952380953	0.11952980613879269
ALL_PTLPTC_n8	8	HT13_breadth	4	4	0.271908159289596	0.129254719162408	0.142653440127188	0.05714285714285714	0.9047619047619048	0.002008275505429469
ALL_PTLPTC_n8	8	TLS_coverage_pct	4	4	0.7429547937895459	0.08213955131183356	0.6608152424777123	0.8777822803462348	0.38050971707388076	0.35241936229409265
ALL_PTLPTC_n8	8	HT13_pb	4	4	0.5848988581861845	0.3694954996311795	0.21540335855500498	0.02857142857142857		
ALL_PTLPTC_n8	8	IFNG_mean	4	4	0.00185989102465095	0.000459725488326475	0.001400165536324475	0.7715034091403082	0.5628843430992317	0.14633153260555073
MAPKhigh_PTLPTC	7	HLA_DRA_mean	4	3	1.8936104774475098	1.1594799160957336	0.7341305613517761	0.05714285714285714	0.9642857142857145	0.00045414916919416935
MAPKhigh_PTLPTC	7	CXCL13_mean	4	3	0.003060142698814125	0.0022392887234066665	0.0008208539754074587	0.8571428571428571	0.5714285714285715	0.18020198891152767
MAPKhigh_PTLPTC	7	CD79A_mean	4	3	0.0334143454674631	0.024967945180833267	0.008446400286629834	0.6285714285714286	0.39285714285714296	0.3833168704269727
MAPKhigh_PTLPTC	7	HT13_breadth	4	3	0.2545025725368604	0.09828801177722053	0.1562145607596399	0.05714285714285714	0.9285714285714288	0.0025194724037946887
MAPKhigh_PTLPTC	7	TLS_coverage_pct	4	3	0.02456398919184475	0.10951940174911141	-0.08495541255726666	0.4352793432181422	0.03940552031195504	0.9331550374892811
MAPKhigh_PTLPTC	7	HT13_pb	4	3	0.5543019792043756	0.3295577792876149	0.2247441999167607	0.05714285714285714		
MAPKhigh_PTLPTC	7	IFNG_mean	4	3	0.00089941035548685	0.00034965512653190007	0.0005497552289549499	0.7212766990291557	0.34235623582431246	0.4522512215909064
BRAFlike_PTLPTC_n3	3	HLA_DRA_mean	2	1	1.8102791905403137	1.2176661491394043	0.5926130414009094	0.6666666666666666	1.0	0.0
