inferred_driver	n_samples	total_TLS_spots	mean_TLS_coverage	mean_HLA_DRA	mean_CXCL13	mean_HT13_pb
BRAF_like	3	8.0	0.061078591353590596	1.612741510073344	0.0028218802957174333	0.4747046191925899
ambiguous	5	76.0	0.6234283212689492	1.6850628018379212	0.014777949824929198	0.4786927147383372
