driver_class	n	metric	HIGH_HT_n	LOW_HT_n	HIGH_mean	LOW_mean	delta	MWU_p	rho_vs_HT13	rho_p
BRAF_like	3	HLA_DRA_mean_log1p	2.0	1.0	1.8102791905403137	1.2176661491394043	0.5926130414009094	0.6666666666666666	1.0	0.0
BRAF_like	3	CXCL13_mean_log1p	2.0	1.0	0.0036146817437838503	0.0012362773995846	0.0023784043441992505	1.0	0.5	0.6666666666666666
BRAF_like	3	CD79A_mean_log1p	2.0	1.0	0.05791895091533655	0.0366664640605449	0.021252486854791655	0.6666666666666666	1.0	0.0
BRAF_like	3	HT13_breadth_frac	2.0	1.0	0.22272075153591958	0.1302315700021244	0.09248918153379518	0.6666666666666666	1.0	0.0
BRAF_like	3	TLS_coverage_pct	2.0	1.0	0.0491279783836895	0.0849798172933928	-0.035851838909703296	1.0	0.5	0.6666666666666666
BRAF_like	3	MoranI_HT13_z	2.0	1.0	0.31627918441204905	0.328916919578202	-0.012637735166152964	0.6666666666666666	-1.0	0.0
BRAF_like	3	MoranI_CXCL13	2.0	1.0	-0.0016792502019948	-0.0015450398440846	-0.00013421035791020002	1.0	-0.5	0.6666666666666666
BRAF_like	3	DM1_like_mean	2.0	1.0	1.1577602099244189e-08	-5.8756226550826796e-09	1.7453224754326868e-08	0.6666666666666666	1.0	0.0
RAS_like	0	HLA_DRA_mean_log1p								
RAS_like	0	CXCL13_mean_log1p								
RAS_like	0	CD79A_mean_log1p								
RAS_like	0	HT13_breadth_frac								
RAS_like	0	TLS_coverage_pct								
RAS_like	0	MoranI_HT13_z								
RAS_like	0	MoranI_CXCL13								
RAS_like	0	DM1_like_mean								
ambiguous	5	HLA_DRA_mean_log1p	3.0	2.0	2.0548468033472695	1.1303867995738983	0.9244600037733712	0.2	0.8999999999999998	0.03738607346849874
ambiguous	5	CXCL13_mean_log1p	3.0	2.0	0.022802720118003533	0.0027407943853177	0.020061925732685833	0.8	0.6	0.28475697986529386
ambiguous	5	CD79A_mean_log1p	3.0	2.0	0.09336229693144558	0.01911868574097745	0.07424361119046813	0.8	0.6	0.28475697986529386
ambiguous	5	HT13_breadth_frac	3.0	2.0	0.28811532513483834	0.0823162326647686	0.20579909247006972	0.2	0.8999999999999998	0.03738607346849874
ambiguous	5	TLS_coverage_pct	3.0	2.0	0.9578544061302682	0.12178919397697074	0.8360652121532974	1.0	0.44721359549995787	0.45018485575210104
ambiguous	5	MoranI_HT13_z	3.0	2.0	0.4067380500226984	0.3304674259832939	0.07627062403940449	0.8	0.7	0.1881204043741873
ambiguous	5	MoranI_CXCL13	3.0	2.0	0.0876664711370403	0.019095599621652352	0.06857087151538796	0.8	0.19999999999999998	0.7470600781046621
ambiguous	5	DM1_like_mean	3.0	2.0	1.035129285990403e-08	-4.248456253463929e-08	5.2835855394543315e-08	0.2	0.6	0.28475697986529386
ALL	8	HLA_DRA_mean_log1p	4.0	4.0	2.072985976934433	1.2428986579179764	0.8300873190164566	0.02857142857142857	0.9761904761904763	3.314396026200098e-05
ALL	8	CXCL13_mean_log1p	4.0	4.0	0.0187763982394244	0.001812449263525175	0.016963948975899226	0.11428571428571428	0.7142857142857144	0.046528232284167255
ALL	8	CD79A_mean_log1p	4.0	4.0	0.08976626046933231	0.027940896572545098	0.06182536389678721	0.6857142857142857	0.5952380952380953	0.11952980613879269
ALL	8	HT13_breadth_frac	4.0	4.0	0.271908159289596	0.129254719162408	0.142653440127188	0.05714285714285714	0.9047619047619048	0.002008275505429469
ALL	8	TLS_coverage_pct	4.0	4.0	0.7429547937895459	0.08213955131183356	0.6608152424777123	0.8777822803462348	0.38050971707388076	0.35241936229409265
ALL	8	MoranI_HT13_z	4.0	4.0	0.3816347752257606	0.3290212973834851	0.05261347784227549	0.8857142857142857	0.4047619047619048	0.3198886412288163
ALL	8	MoranI_CXCL13	4.0	4.0	0.06500587872711579	0.009065889374472075	0.055939989352643715	0.6857142857142857	-0.023809523809523815	0.9553740118158806
ALL	8	DM1_like_mean	4.0	4.0	1.2829352025178764e-08	-2.198826826171896e-08	3.481762028689772e-08	0.11428571428571428	0.523809523809524	0.1827207505397148
