mode	target	metric	value	p	n
UNI_image_only	Macrophage_TAM_z	spearman	0.47512020716392783	6.352386038256635e-180	3200
UNI_image_only	TACSTD2_z	spearman	0.5067478782035818	2.2307688471936115e-208	3200
UNI_image_only	t00_spatial_cnv_signature	spearman	0.08621971215524532	1.0368344593682725e-06	3200
UNI_image_only	t00_territory_high	AUROC	0.5343820063769621		3200
UNI_image_only	t00_territory_high	average_precision	0.389116211095091		3200
UNI_image_only	t00_territory_high	balanced_accuracy@0.5	0.5098510805834336		3200
UNI_plus_cell_morph	Macrophage_TAM_z	spearman	0.47010100134692917	1.1212279469863136e-175	3200
UNI_plus_cell_morph	TACSTD2_z	spearman	0.49884451529005597	5.519212115666817e-201	3200
UNI_plus_cell_morph	t00_spatial_cnv_signature	spearman	0.0750329622834924	2.1488301265195646e-05	3200
UNI_plus_cell_morph	t00_territory_high	AUROC	0.5371833847693861		3200
UNI_plus_cell_morph	t00_territory_high	average_precision	0.3881297996724036		3200
UNI_plus_cell_morph	t00_territory_high	balanced_accuracy@0.5	0.5168771217638238		3200
cell_morph_only	Macrophage_TAM_z	spearman	0.03828781782145339	0.03032387699728593	3200
cell_morph_only	TACSTD2_z	spearman	-0.13628156944628347	9.756931296210828e-15	3200
cell_morph_only	t00_spatial_cnv_signature	spearman	-0.18776610974479727	8.852326839647191e-27	3200
cell_morph_only	t00_territory_high	AUROC	0.5552680707238266		3200
cell_morph_only	t00_territory_high	average_precision	0.37336363418235985		3200
cell_morph_only	t00_territory_high	balanced_accuracy@0.5	0.5444639416856274		3200
stage_text_only	Macrophage_TAM_z	spearman	0.46958572713981434	3.0315667658547485e-175	3200
stage_text_only	TACSTD2_z	spearman	0.370658214786414	8.892321520172139e-105	3200
stage_text_only	t00_spatial_cnv_signature	spearman	-0.2790577152909341	2.525887979333958e-58	3200
stage_text_only	t00_territory_high	AUROC	0.4622702803637912		3200
stage_text_only	t00_territory_high	average_precision	0.3265311627869345		3200
stage_text_only	t00_territory_high	balanced_accuracy@0.5	0.47851324441056586		3200
