mode	target	sample_id	metric	value	n
UNI_image_only	Macrophage_TAM_z	GSM7980860_N-1	spearman	0.0029115503817505237	200
UNI_image_only	Macrophage_TAM_z	GSM7980861_N-2	spearman	-0.013281106500983592	200
UNI_image_only	Macrophage_TAM_z	GSM7980862_N-3	spearman	0.07055696430424002	200
UNI_image_only	Macrophage_TAM_z	GSM7980863_N-4	spearman	0.04722620776694244	200
UNI_image_only	Macrophage_TAM_z	GSM7980864_PTC-1	spearman	0.2633491423075468	200
UNI_image_only	Macrophage_TAM_z	GSM7980865_PTC-2	spearman	0.17326181505161387	200
UNI_image_only	Macrophage_TAM_z	GSM7980866_PTC-3	spearman	0.13828187569838454	200
UNI_image_only	Macrophage_TAM_z	GSM7980867_PTC-4	spearman	0.010315126626608152	200
UNI_image_only	Macrophage_TAM_z	GSM7980868_LPTC-1	spearman	0.18294402184894998	200
UNI_image_only	Macrophage_TAM_z	GSM7980869_LPTC-2	spearman	0.12240573449621553	200
UNI_image_only	Macrophage_TAM_z	GSM7980870_LPTC-3	spearman	0.04599306020616115	200
UNI_image_only	Macrophage_TAM_z	GSM7980871_LPTC-4	spearman	0.12322291654998209	200
UNI_image_only	Macrophage_TAM_z	GSM7980872_ATC-1	spearman	-0.04338860098575307	200
UNI_image_only	Macrophage_TAM_z	GSM7980873_ATC-2	spearman	0.12854676149973335	200
UNI_image_only	Macrophage_TAM_z	GSM7980874_ATC-3	spearman	-0.0981924548113703	200
UNI_image_only	Macrophage_TAM_z	GSM7980875_ATC-4	spearman	0.015276709470398426	200
UNI_image_only	TACSTD2_z	GSM7980860_N-1	spearman		200
UNI_image_only	TACSTD2_z	GSM7980861_N-2	spearman	0.03795762810049198	200
UNI_image_only	TACSTD2_z	GSM7980862_N-3	spearman	0.08025570566802333	200
UNI_image_only	TACSTD2_z	GSM7980863_N-4	spearman	0.17376005507891767	200
UNI_image_only	TACSTD2_z	GSM7980864_PTC-1	spearman	0.15985636818995455	200
UNI_image_only	TACSTD2_z	GSM7980865_PTC-2	spearman	0.23322021130949286	200
UNI_image_only	TACSTD2_z	GSM7980866_PTC-3	spearman	0.20565817737977735	200
UNI_image_only	TACSTD2_z	GSM7980867_PTC-4	spearman	0.3177303169317269	200
UNI_image_only	TACSTD2_z	GSM7980868_LPTC-1	spearman	0.02608167074283633	200
UNI_image_only	TACSTD2_z	GSM7980869_LPTC-2	spearman	0.4304103218718135	200
UNI_image_only	TACSTD2_z	GSM7980870_LPTC-3	spearman	0.3104099032583679	200
UNI_image_only	TACSTD2_z	GSM7980871_LPTC-4	spearman	0.4062175621029407	200
UNI_image_only	TACSTD2_z	GSM7980872_ATC-1	spearman	0.0030390159472576442	200
UNI_image_only	TACSTD2_z	GSM7980873_ATC-2	spearman	-0.07539542733323532	200
UNI_image_only	TACSTD2_z	GSM7980874_ATC-3	spearman		200
UNI_image_only	TACSTD2_z	GSM7980875_ATC-4	spearman	-0.09538471465653327	200
UNI_image_only	t00_spatial_cnv_signature	GSM7980860_N-1	spearman	0.1268236705917648	200
UNI_image_only	t00_spatial_cnv_signature	GSM7980861_N-2	spearman	0.2158973974349359	200
UNI_image_only	t00_spatial_cnv_signature	GSM7980862_N-3	spearman	0.030065251631290785	200
