sample_id	condition	median_ARI_leave_arm_out	min_ARI_leave_arm_out	max_ARI_leave_arm_out
GSM7980860_N-1	N	0.8712295730793485	0.8362744670215913	0.881833224378628
GSM7980861_N-2	N	0.8920736072372818	0.8744508784770927	0.906162168230091
GSM7980862_N-3	N	0.8443859926954832	0.8051865978184245	0.8511395568439738
GSM7980863_N-4	N	0.8229253800079396	0.8155194749911022	0.8493494618351535
GSM7980864_PTC-1	PTC	0.8712960528698556	0.8295795847082126	0.8835775706117224
GSM7980865_PTC-2	PTC	0.8523593924117087	0.8336953553254184	0.876687128675012
GSM7980866_PTC-3	PTC	0.7908312154572965	0.7683960413941002	0.8245120906351224
GSM7980867_PTC-4	PTC	0.9105168768043171	0.8878091622543068	0.9211414720324902
GSM7980868_LPTC-1	LPTC	0.8362164782046294	0.8076182102596651	0.8601809088228034
GSM7980869_LPTC-2	LPTC	0.8940506805864322	0.8657438904880485	0.9037028343594329
GSM7980870_LPTC-3	LPTC	0.9312704636939433	0.9008995927992074	0.9434867657949562
GSM7980871_LPTC-4	LPTC	0.9239996478450979	0.9029181135802392	0.939927520268879
GSM7980872_ATC-1	ATC	0.8690283031300257	0.8442933750374817	0.8834417188401169
GSM7980873_ATC-2	ATC	0.9381034541582256	0.9220112503954518	0.9613246465614141
GSM7980874_ATC-3	ATC	0.7049308701763066	0.6780916962730494	0.7622981521578086
GSM7980875_ATC-4	ATC	0.8029601013385619	0.7481019126847752	0.8175684786964497
