scope	condition	axis	n_high	n_low	mean_high	mean_low	delta_high_low	cohen_d	mw_p
GSM7980864_PTC-1	PTC	TACSTD2_z	746	698	2.2994107582027414	1.2339614086084203	1.0654493495943211	0.4325332835532512	2.168782245131874e-24
GSM7980864_PTC-1	PTC	CAF_ECM_z	746	698	1.488896702446875	0.2680900659113489	1.2208066365355261	1.211449370651696	9.834766772413486e-94
GSM7980864_PTC-1	PTC	TLS_B_z	746	698	2.5726773806249703	0.878744664643965	1.6939327159810054	0.76811415859082	4.8848553263162494e-79
GSM7980864_PTC-1	PTC	Tcell_cytotoxic_z	746	698	0.3345804407316502	-0.04017749643852851	0.37475793717017875	0.6673735206064918	9.448609276978335e-62
GSM7980864_PTC-1	PTC	Macrophage_TAM_z	746	698	1.3687082631241436	0.38019590668303277	0.9885123564411109	0.9291351581652199	4.004069185482509e-91
GSM7980864_PTC-1	PTC	RAI_thyroid_z	746	698	-1.5304859737063865	-1.8001115179561753	0.2696255442497888	0.4055819132857335	0.00018078198114923535
GSM7980864_PTC-1	PTC	EMT_stress_z	746	698	1.1111110332514738	0.607778537692356	0.5033324955591177	1.17716651681925	1.0607319686353065e-91
GSM7980864_PTC-1	PTC	DM1_like_score	64	56	-0.045136167393749996	0.24077366998214283	-0.2859098373758928	-0.7112243927404865	0.0004495250861229643
GSM7980864_PTC-1	PTC	RAI_8_score	64	56	0.045136167393749996	-0.24077366998214283	0.2859098373758928	0.7112243927404865	0.0004495250861229643
GSM7980864_PTC-1	PTC	TROP2_raw	746	698	7.048679485424182	2.41354997123929	4.635129514184891	1.0343101944617836	2.655542340788108e-82
GSM7980864_PTC-1	PTC	n_lym	64	56	0.0	0.0	0.0		1.0
GSM7980864_PTC-1	PTC	n_fib	64	56	97.46875	76.01785714285714	21.45089285714286	0.9870834230368292	6.719554775324709e-07
GSM7980865_PTC-2	PTC	TACSTD2_z	2326	860	2.794976116294077	0.6567222006285848	2.1382539156654925	1.308711103400327	2.6451124238030817e-144
GSM7980865_PTC-2	PTC	CAF_ECM_z	2326	860	0.017044234945461294	0.5162567541069836	-0.49921251916152226	-0.7561668878656121	6.27351557704051e-32
GSM7980865_PTC-2	PTC	TLS_B_z	2326	860	0.37399181834458306	0.8216488645914254	-0.4476570462468423	-0.5902160661119189	2.586082500029737e-21
GSM7980865_PTC-2	PTC	Tcell_cytotoxic_z	2326	860	-0.00401991706726092	-0.040261904346713846	0.03624198727945292	0.09902572918444416	4.298616441123883e-18
GSM7980865_PTC-2	PTC	Macrophage_TAM_z	2326	860	0.5716302718380727	0.5236990772715739	0.04793119456649875	0.051172545318135754	1.3557437456293872e-06
GSM7980865_PTC-2	PTC	RAI_thyroid_z	2326	860	-0.919220265622717	-1.4373168888150267	0.5180966231923098	1.5806343307057755	1.600364370105945e-215
GSM7980865_PTC-2	PTC	EMT_stress_z	2326	860	0.8388156387089741	0.4205716184488103	0.41824402026016383	1.2876843144787158	5.973792282834427e-160
GSM7980865_PTC-2	PTC	DM1_like_score	97	38	-0.231063640942268	0.43707391278947366	-0.6681375537317417	-1.6737195999599732	3.291582575626561e-12
GSM7980865_PTC-2	PTC	RAI_8_score	97	38	0.231063640942268	-0.43707391278947366	0.6681375537317417	1.6737195999599732	3.291582575626561e-12
GSM7980865_PTC-2	PTC	TROP2_raw	2326	860	9.455717895006075	1.7919056386275585	7.663812256378516	2.42274826802806	0.0
GSM7980865_PTC-2	PTC	n_lym	97	38	0.0	0.0	0.0		1.0
GSM7980865_PTC-2	PTC	n_fib	97	38	108.88659793814433	68.34210526315789	40.544492674986444	1.5980471741756415	1.1137837748312852e-09
GSM7980866_PTC-3	PTC	TACSTD2_z	2217	470	3.269541215461663	0.1747512721769665	3.0947899432846966	2.0489555054851376	1.03745913151784e-155
GSM7980866_PTC-3	PTC	CAF_ECM_z	2217	470	-0.14866644675661028	1.9973910814772164	-2.146057528233827	-2.9045807634503635	1.1013558412508574e-164
GSM7980866_PTC-3	PTC	TLS_B_z	2217	470	0.22634970224104	1.0406816361251883	-0.8143319338841483	-0.9945790913060567	2.2804528408112743e-58
GSM7980866_PTC-3	PTC	Tcell_cytotoxic_z	2217	470	-0.022124860820964844	0.018175056506422132	-0.040299917327386976	-0.11002018884815369	0.030909545557027424
GSM7980866_PTC-3	PTC	Macrophage_TAM_z	2217	470	0.3727791352435122	0.7803916543524682	-0.40761251910895596	-0.4561321322484028	8.514058052116848e-09
GSM7980866_PTC-3	PTC	RAI_thyroid_z	2217	470	-0.8213401557941288	-1.557671708441006	0.7363315526468773	2.22998600598612	3.86203923544107e-157
GSM7980866_PTC-3	PTC	EMT_stress_z	2217	470	0.8022037628136832	0.4834529332800121	0.3187508295336711	0.9705270545968196	2.2029441718912245e-62
GSM7980866_PTC-3	PTC	DM1_like_score	103	15	-0.13804169782427184	0.40383378933333336	-0.5418754871576053	-1.402930177569214	0.0008987597510597164
GSM7980866_PTC-3	PTC	RAI_8_score	103	15	0.13804169782427184	-0.40383378933333336	0.5418754871576053	1.402930177569214	0.0008987597510597164
GSM7980866_PTC-3	PTC	TROP2_raw	2217	470	9.560508189159723	0.9579754357114405	8.602532753448283	3.145664367510437	5.606730103147964e-210
GSM7980866_PTC-3	PTC	n_lym	103	15	0.0	0.0	0.0		1.0
GSM7980866_PTC-3	PTC	n_fib	103	15	115.09708737864078	83.2	31.897087378640776	1.0902231362223889	0.0023788782788467223
GSM7980867_PTC-4	PTC	TACSTD2_z	1193	1082	1.7884627900330972	0.04875910479707131	1.739703685236026	0.829285327165385	6.301105973795501e-99
GSM7980867_PTC-4	PTC	CAF_ECM_z	1193	1082	0.46012139585993894	0.8802025454967525	-0.42008114963681353	-0.3870239042647651	8.193030967963256e-22
GSM7980867_PTC-4	PTC	TLS_B_z	1193	1082	0.08200921983452313	-0.012221721922897371	0.0942309417574205	0.1978236973500093	1.3109063187387105e-13
GSM7980867_PTC-4	PTC	Tcell_cytotoxic_z	1193	1082	0.015220157893417002	-0.05709671148712049	0.0723168693805375	0.16155585050018437	7.325978676777159e-12
GSM7980867_PTC-4	PTC	Macrophage_TAM_z	1193	1082	0.6194860024614337	0.36258854867232415	0.25689745378910955	0.26546429305954305	7.358148093103817e-28
GSM7980867_PTC-4	PTC	RAI_thyroid_z	1193	1082	-1.2600888823747147	-1.921208565471824	0.6611196830971093	1.103865283381686	5.9621941130254704e-127
GSM7980867_PTC-4	PTC	EMT_stress_z	1193	1082	0.3988790702790842	-0.01613386788059439	0.4150129381596786	0.8488360223101085	1.0450577850946359e-82
GSM7980867_PTC-4	PTC	DM1_like_score	60	30	0.09799095856666667	0.4759611126666667	-0.3779701541	-1.0891217717959494	1.106019672108111e-05
GSM7980867_PTC-4	PTC	RAI_8_score	60	30	-0.09799095856666667	-0.4759611126666667	0.3779701541	1.0891217717959494	1.106019672108111e-05
GSM7980867_PTC-4	PTC	TROP2_raw	1193	1082	4.757148963371411	0.5130417393841551	4.244107223987256	1.1024632687863125	1.2649226194540294e-118
GSM7980867_PTC-4	PTC	n_lym	60	30	0.0	0.0	0.0		1.0
